title,description,avg_similarity
Research Fellow,"The Lee Kong Chian School of Medicine (LKCMedicine) trains doctors who put patients at the centre of their exemplary care. The School, which offers both undergraduate and graduate programmes, is named after local philanthropist Tan Sri Dato Lee Kong Chian. Established in 2010 by Nanyang Technological University, Singapore, in partnership with Imperial College London, LKCMedicine aims to be a model for innovative medical education and a centre for transformative research. The School’s primary clinical partner is the National Healthcare Group, a leader in public healthcare recognised for the quality of its medical expertise, facilities and teaching. The School is transitioning to an NTU medical school ahead of the 2028 successful conclusion of the NTU-Imperial partnership to set up a Joint Medical School. In August 2024, we welcomed our first intake of the NTU MBBS programme, that has been recently enhanced to include themes like precision medicine and Artificial Intelligence (AI) in healthcare, with an expanded scope in the medical humanities. Graduates from the five-year undergraduate medical degree programme will have a strong understanding of the scientific basis of medicine, with an emphasis on technology, data science and the humanities. Our research focuses on uncovering the cellular, molecular and metabolic mechanisms driving cardiovascular and skeletal diseases. We are a dynamic team of researchers studying fundamental cell biology using cutting-edge techniques, aiming to design novel and alternate therapeutic strategies for managing blood and bone diseases. We are looking for a highly motivated individual with a strong passion for research to join our team. If you're intrigued by our work and thrive in curiosity-driven research, we encourage you to reach out. We have an opening for a Research Fellow position. The successful candidate will work directly under the guidance of Assoc Prof Saravana Ramasamy. It will be a great opportunity work in multiple advance techniques related to tissue biology including 3-D tissue imaging, mouse genetics and cell biology. Key Responsibilities: Perform experiments involving advanced imaging, tissue/cell culture and mouse models, data compiling, result analysis etc. Perform research-related administrative tasks and assist in day-to-day management of laboratory. [For Research Fellow] must be able to train lab members, write manuscripts and prepare figures. Key Competencies and Requirements: PhD degree is required for Research Fellow position with publications in high-impact journals Previous research experience is required for Research Associate RCULAC training and experience with mouse models would be advantageous.",0.2947712924117746
Lecturer (NUS College),"Interested applicants are invited to apply directly at the NUSCareer Portal Your application will be processed only if you applyvia NUSCareer Portal We regret that only shortlisted candidates will be notified. Job Description NUS College is the honours college of the National University of Singapore. Our focus is a rigorous and stimulating interdisciplinary education designed to help students cultivate the necessary skills to work effectively across boundaries, We plan to hire a dedicated individual  to fill a Lecturer’s position.  This is a full-time position that includes opportunities for pedagogical research funding and for promotion to an Associate Professor on the NUS Educator Track. The primary responsibility is to offer our mandatory courses, to which you will be expected to bring your own academic and intellectual expertise. Duties & Responsibilities For a start, you will be expected to offer the following, Computational Problem Solving (NPS2001) The CPS is a common curricular course designed to introduce NUS College students to the fundamental concepts, computational tools and techniques necessary to solve complex problems. The focus is on computer science and information technology, but course objectives are more general in nature, with the goal of developing essential skills for approaching and understanding new technology to critically assess potential benefits and risks. By having a comprehensive understanding of the potential of new technologies, students will be able to formulate a problem, outline potential technological solutions and set up a team to implement the solutions that can help achieve project goals. Impact Experience Project (NEP3001) The Impact Experience (IEx) is a eight-unit capstone course that all NUS College students will have to undertake for two years. Students will work in interdisciplinary teams to collaborate with non-profit partners and innovate future solutions for the benefit of communities and society in Southeast Asia, including Singapore. Each team of 6-7 students is supervised by a lecturer who specializes in the area they are working with. Students would choose to work with lecturers clustered into three broad areas: Science and Technology, Arts and Design, Civic and Community. Applicants from any field representing the Computer Sciences are welcome to apply for this position. We are interested in candidates whose work is cross-disciplinary and can be applied to better understand and tackle social, environmental and technological problems in the Singaporean context. The selected candidate's primary responsibility will be to teach the CPS together with other course instructors to ensure that students have a common curricular experience while allowing for individual instructor creativity in their seminars. Applicants should demonstrate their ability to teach such a course by providing evidence of teaching interdisciplinary computing courses in the university. The other responsibility will be to supervise IEx student teams working on projects that involve computing for social good. Successful candidates are expected to offer 2-3 sections of Computational Problem Solving in the academic year, an elective of their own design, supervise 3-6 IEx teams, and take on a small supervision load of independent study modules. Qualifications Candidates must hold a PhD. Remuneration and benefits are highly competitive on the global research university level. Expatriate benefits may include travel assistance from overseas and limited housing benefits. Appointments begin at the level of Lecturer on the Educator Track. Although the NUS Educator Track is not a tenurable line, it offers a pathway to promotion to Associate Professorship on an open contract (and beyond), as well as opportunities for pedagogical research funding, including overseas research and conference travel. The contract is for three years in the first instance and is renewable subject to good performance. Interested applicants should prepare and submit the following documents when they apply: •    A cover letter, clearly specifying which position they are applying for. •    CV: An abridged CV (5-page maximum), including details on education, employment history, past experience of teaching and supervision, research activities (including publications) and achievements, honours and awards, and service accomplishments. •    Qualifications: Include scanned copies of academic degrees. •    Teaching Portfolio: o    A Teaching Statement that commences with a preface (maximum 300 words) that makes the case for  appointment. This should be a highly distilled summary of key contributions to student learning and, if applicable, educational leadership, guided by your teaching philosophy. The rest of the Statement, of not more than 2,000 words, should outline your teaching philosophy and your educational contribution across multiple dimensions and roles. Please include evidence on how you have impact students' learning  experience and outcomes as well as how you have influenced peers and the community. o    Teaching evaluations and peer review reports, if available. Other evidence of teaching excellence and/or other contributions to education, e.g., curriculum development, pedagogical innovation etc., should also be provided. •    A proposal, of not more than 500 words, describing a prospective syllabus for the target course. •    A statement, of not more than 500 words, highlighting how you plan to contribute to pedagogical innovation and/or advance interdisciplinary honours education at NUSC. •    FOUR referees' letters (one of whom must be the applicant's PhD supervisor). Interviews will normally be conducted online. Only shortlisted applicants will be notified. More information about NUSC and our curriculum can be found on our website: https://nuscollege.nus.edu.sg/ Additional information about Academic Appointments at NUS can be found here: https://www.nus.edu.sg/careers/",0.27457920940294817
"Principal Software Engineer (C++, Dart)","Job Description Job Description Bring more to life. Are you ready to accelerate your potential and make a real difference within life sciences, diagnostics and biotechnology? At Leica Microsystems, one of Danaher’s 15+ operating companies, our work saves lives—and we’re all united by a shared commitment to innovate for tangible impact. You’ll thrive in a culture of belonging where you and your unique viewpoint matter. And by harnessing Danaher’s system of continuous improvement, you help turn ideas into impact – innovating at the speed of life. Shape the Future with Us! At Leica Microsystems, we have been shaping the future for over 175 years with groundbreaking optical and digital solutions.  With a culture rooted in customer focus, innovation, and teamwork, we lead the market in microscopy, imaging, and analysis, unveiling the invisible and empowering our customers to build a better, healthier world. Joining Leica Microsystems means contributing to scientific discoveries and supporting surgeons in making critical decisions. Our advanced microscopes and AI-based image analysis solutions enable users to gain profound insights into development and engineering challenges. Here, you will work on meaningful projects alongside passionate colleagues, driving progress and pushing the boundaries of what’s possible. Learn about the Danaher Business System which makes everything possible. The Principal Software Engineer is responsible to design and develop full-stack solutions for real-time medical device embedded systems. Lead implementation of user interfaces and backend services, architect scalable solutions, optimize performance across the stack, and ensure code quality while maintaining regulatory compliance and embedded system constraints. This position reports to the Manager, Software and is part of the Research & Development Medical located in Singapore and will be an on-site role. In this role, you will have the opportunity to: Design and implement full-stack solutions across user interfaces and backend services, ensuring compliance with regulatory and embedded system constraints. Own the software development lifecycle from requirements refinement through design, coding, testing, documentation, and release, maintaining high standards of quality and performance. Create and review technical documentation, providing guidance to team members and ensuring clarity and accuracy in all deliverables. Provide technical support to internal teams (Customer Service, RA&QA, Production) by reproducing and resolving issues and toolchain challenges. Collaborate with global, cross-functional teams to align architecture, processes, and deliverables, while driving continuous improvement using DBS and agile methodologies. The essential requirements of the job include Bachelor’s or Master’s degree in Computer Science, Human-Computer Interaction, or a related field, coupled with strong communication and collaboration skills for distributed team environments. 8–10 years of professional software development experience, with strong programming skills in C++, Dart, or other modern object-oriented languages (e.g., C#). Proficiency in Flutter or similar cross-platform frameworks for building responsive, high-performance user interfaces, and experience with AI coding tools. Solid understanding of software development methodologies, including Scrum, Agile, and waterfall practices, as well as software testing principles. Deep UI/UX knowledge for embedded systems and familiarity with regulatory compliance requirements in medical device development. Leica Microsystems, a Danaher operating company, offers a broad array of comprehensive, competitive benefit programs that add value to our lives. Whether it’s a health care program or paid time off, our programs contribute to life beyond the job. Check out our benefits at Danaher Benefits Info .",0.2677927914171409
R&D Software Engineer (Java/Python),"Please submit your application via Thermo Fisher’s job portal. https://jobs.thermofisher.com/global/en/job/R-01336006/Software-Engineer-II Thermo Fisher Scientific Inc. is the world leader in serving science, with annual revenue exceeding $40 billion and extensive investment in R&D. Our Mission is to enable our customers to make the world healthier, cleaner and safer. The customers we serve fall within pharmaceutical and biotech companies, hospitals and clinical diagnostic labs, universities, research institutions and government agencies. Our innovations drive scientific breakthroughs, from pioneering research to routine testing and real-world applications. How will you make an impact? You will be a cornerstone in developing and ensuring reliable and innovative applications that ultimately drive excellence in our product offerings. You will collaborate with and learn from a dedicated team of software developers, revolutionizing healthcare through low-cost and high throughput diagnostic systems. What will you do? Design, prototype, and deploy innovative applications — including chatbots, copilots, and autonomous agents — optimized for safety, performance, and cost-efficiency. Integrate tools via Model Context Protocol (MCP) and other agent frameworks. Design and implement robust, multi-turn conversational agents with escalation paths, safety guardrails, and seamless integration into web/mobile/internal platforms. Using AI to quickly conduct feasibility study and POCs on new architecture designs. Involved in all phases of software development including design, implementation, testing, integration, and maintenance of the software. Development and support of GUI, analysis, communications, and instrument control software Integration of algorithms & mathematical functions for identification and quantification of data collected by instruments Understand the business needs, analyze the workflows, and carry out integrations across different sub-components. How will you get here? Education Bachelors Degree in Computer Science or Bioengineering (with software focus) or equivalent Experience and skills Required 2+ year experience in software development experience in the software industry preferably in AI application development and evaluation experience, fresh postgraduates with relevant research background are welcome Hands-on experience with major LLMs/APIs or frameworks (Open AI, LangChain or Anthropic, Hugging Face etc) Strong knowledge in using AI tools when performing development tasks. Knowledge of latest software development methodologies Experience in source control (i.e., GitHub) and CI/CD pipeline. Proven background in core Java or Python. Good understanding of data structures, design patterns, object-oriented design, and algorithms used in programming. Excellent teamwork and collaboration skills. Ability to manage high priority tasks and adapt to changes in priorities. Effectively communicates and illustrates ideas; contributes critically and positively to a team. Preferred experience and skills Previous experience of developing web applications using front-end technologies like Angular, React, VueJS and Electron is a plus. Familiar with RAG frameworks with vector search (eg. FAISS/pgvector/Pinecone), hybrid search, rerankers, citation/grounding. Experience with MLOps tools (MLflow, Kubeflow, Docker, CI/CD) and cloud services Hands-on experience of building agent or chatbot Evaluation: RAGAS/G-Eval or similar; offline/online metrics and A/B frameworks. Data systems: SQL/NoSQL, message queues, object storage; schema design for documents & metadata. Understanding AI safety principles, hallucination mitigation, and factuality evaluation techniques. Experience in using AWS Sagemaker, AWS Bedrock and AWS Step Functions to streamline the AI agents into production Experience in biotechnology industry is a plus",0.2644422615816368
"Senior Manager, Asst Director, Occupational Therapy (Mentoring role)","Our client is actively searching for a Senior Professional Offier,  Lead Professional Officer - Occupational Therapy (Mentoring role) to join their team! If you are a dynamic individual seeking a new career opportunity, read further! The Professional Officers Division (POD) houses a centralized pool of academic staff under the Professional Officers scheme. Professional Officers come with specialised and deep technical skills acquired through extensive industry experience. They form the talent pool which brings a much-needed industry perspective to student learning. They facilitate applied learning and applied research in the University, complementing the academic expertise of the faculty to bring industry practices and applications into the curriculum. Professional Officers leverage on their industry experiences to create authentic learning environments, where discovery and innovation take place. They act as coaches and mentors to students during practical learning activities such as laboratory sessions, Capstone Projects and the Integrated Work Study Programme (IWSP). Professional Officers could also lead or work with faculty on industry innovation projects to provide solutions to the industry. In addition to their role in applied learning and applied research, Professional Officers manage the centralised laboratory facilities and resources in the University. With Technical Officers, laboratory safety professionals, and administrators in POD, they jointly develop central policies and processes for the safe and seamless operation of laboratories in the campus. The responsibilities of this role are: Design and teach labs & practice modules. Mentor students in Capstone Projects and the Integrated Work Study Programme (IWSP). Lead or co-lead innovation projects with industry. Manage labs and equipment to support academic programmes and applied research. Ensure safety in labs The ideal candidate will need to have the following qualities and experience: A Master degree in Occupational Therapy or related fields with relevant professional certifications would be advantageous. Deep technical specialist with 10 or more years of working experience in relevant setting such as hospitals, occupational therapy clinics, community-based setting, long-term care or skilled nursing facilities. Have deep, hands-on competence in the areas of psychosocial domain of health involving in occupational therapy or psychology Knowledge and experience in working with people with a range of conditions, including those who have physical disabilities, mental or social problems. Possess practice knowledge on administration and application of various occupational therapy assessment tools. Extensive experience and knowledge of industry practices to bring industry perspective to the University Keen interest in innovation projects, with demonstrated ability in developing solutions to technical problems. Strong supervisory skills and enjoy working closely with students in an educational environment. Demonstrate proficiency to keep abreast of development in the field and pursue professional certification programs. Possess industrial certifications in relevant areas will be an added advantage. All applicants' CV will be treated with the strictest confidentiality. We regret to inform that only shortlisted candidates will be contacted.",0.2622786261047243
Biomedical Engineer / Senior Technical Officer,"We are seeking a highly skilled and proactive Biomedical Engineer/Senior Technical Officer to join our dynamic clinical engineering team. In this pivotal role, you will be responsible for ensuring the safety, reliability, and optimal performance of all medical equipment and systems. Your work will span the full lifecycle of medical technology—from planning preventive maintenance and managing repairs to contributing to the specification and evaluation of new equipment. The ideal candidate is a technical expert, an effective project coordinator, and a collaborative team player who can manage resources, liaise with key stakeholders, and uphold the highest standards of quality and risk management. Key Responsibilities: · Technical Maintenance & Management : Execute and manage scheduled Preventive Maintenance (PM), Corrective Maintenance (CM), and commissioning of medical equipment. Maintain the biomedical equipment database and manage vendor service contracts. · Procurement & Project Support : Assist in preparing technical specifications and tender documents. Conduct technical evaluations for new equipment and liaise with suppliers, users, and the materials management department. · Quality & Risk Assurance : Implement and monitor quality assurance and risk management activities related to medical equipment. Develop and evaluate performance plans against set benchmarks. · Operational & Team Leadership : Manage departmental resources efficiently and undertake performance management, direction, and development of staff. Foster a collaborative and harmonious work environment. · Compliance & Service : Adhere to all hospital and departmental policies. Participate in hospital committees and provide on-call support on a rotational basis, including standby and weekend shifts. Qualifications & Requirements: · Education: Degree in Electrical/Electronics/Biomedical Engineering with 2+ years of relevant experience; OR a Diploma in the same fields with 5+ years of experience. Experience from a medical equipment vendor environment will also be considered. · Experience: Proven hands-on experience with the maintenance, troubleshooting, and repair of a wide range of medical equipment. Experience in vendor management and performing in-house PM is highly preferred. · Technical Skills : A high level of technical knowledge and diagnostic skills for medical equipment. Familiarity with NEA regulatory guidelines for product clearance is a strong advantage. · Personal Attributes : Self-driven, excellent planner, and able to meet deadlines independently. Strong interpersonal skills for effective liaison and teamwork. · Work Schedule : Must be available for rotational on-call duty after office hours and for 0.5-day shifts on Saturdays. We regret that only shortlisted candidates will be notified.",0.2614846132160425
(Senior) Product Engineer - Electrical Engineer,"Join our innovative team and play a pivotal role in developing and enhancing sophisticated microscopic systems for next-generation medical imaging products. As a (Senior) Product Engineer, you’ll leverage your EE expertise to drive product design and development, system integration, and advance our product roadmap. Key Responsibilities: Maintain and develop company’s flagship microscopic imaging products. In charge of Electrical/Electronic system design, develop schematics, PCB layouts, and firmware integration for new products, focusing on power distribution, signal integrity, and hardware-software interfacing (e.g, actuators, I/O control, signal processing) Partner with software, mechanical, and QA teams to resolve integration issues and drive cost/quality improvements continuously to ensure robust system integration and safety as per the requirement of ISO14971, ISO/IEC 61010/60101, FCC etc. for compliance Create and maintain comprehensive engineering documentations adhering to good documentation practice (GDP) and regulatory standards such as ISO 13485 and ISO 14971 Diagnosis on electrical/electronic failures (e.g., PCB, power circuits, communication interfaces), implement root-cause solutions, perform hands-on system configuration, buyoff testing, commissioning/decommissioning, verification, calibration, service, and maintenance to ensure optimal system performance and minimum operational downtime Provide trainings on troubleshooting methodologies and compliance practices Other duties as assigned Requirements: Bachelor’s/Master’s in Electrical Engineering, Electronics, or related field 5+ years in electrical/electronic product development, including schematic design (Altium, Cadence), PCB layout, and prototyping Proven track record in troubleshooting complex hardware systems (e.g., power supplies, I/O control, embedded controllers) Experience documenting DHF, risk management files, and test reports with working knowledge of ISO 13485/9001, ISO 14971, IEC 62304, IEC 61010, FCC standards Strong project management, hands-on engineering skills, communication, and problem-solving abilities Excellent written/verbal communication skills. Proactive, results-driven, and able to work effectively and independently with minimum supervision Willingness and ability to travel (<30%) as required for product support or project collaboration",0.2549687964037969
Senior Firmware Engineer,"Bring more to life. Are you ready to accelerate your potential and make a real difference within life sciences, diagnostics and biotechnology? At Leica Microsystems, one of Danaher’s 15+ operating companies, our work saves lives—and we’re all united by a shared commitment to innovate for tangible impact. You’ll thrive in a culture of belonging where you and your unique viewpoint matter. And by harnessing Danaher’s system of continuous improvement, you help turn ideas into impact – innovating at the speed of life. Shape the Future with Us! At Leica Microsystems, we have been shaping the future for over 175 years with groundbreaking optical and digital solutions.  With a culture rooted in customer focus, innovation, and teamwork, we lead the market in microscopy, imaging, and analysis, unveiling the invisible and empowering our customers to build a better, healthier world. Joining Leica Microsystems means contributing to scientific discoveries and supporting surgeons in making critical decisions. Our advanced microscopes and AI-based image analysis solutions enable users to gain profound insights into development and engineering challenges. Here, you will work on meaningful projects alongside passionate colleagues, driving progress and pushing the boundaries of what’s possible. Learn about the Danaher Business System which makes everything possible. The Senior Firmware Engineer is responsible for designing firmware for Leica Microsystems’ market-leading microscopy products. This position reports to the Manager, Firmware and is part of the Research & Development Medical located in Singapore and will be an on-site role. In this role, you will have the opportunity to: Develop and deliver large-scale embedded firmware/software solutions for medical and other mission-critical systems, ensuring compliance with quality and safety standards. Lead the full firmware development lifecycle, including requirements engineering, architecture design, coding, testing, and maintenance activities. Design and implement innovative firmware solutions, assuming accountability for timely delivery and overall quality. Conduct and organise peer reviews of design and development work to uphold technical excellence and best practices. Provide technical support for system verification, validation, and field return analysis, driving effective countermeasures and continuous improvement. The essential requirements of the job include Education: Master’s degree or strong Bachelor’s degree in Software Engineering, Electronics Engineering, Computer Engineering, or Computer Science. Experience: Minimum 3 years of relevant experience in embedded software or firmware development for complex systems. In-depth knowledge of embedded development on Linux, RTOS, or embedded Windows platforms. Proficiency in C/C++ programming for embedded systems. Familiarity with coding standards, peer review, and software testing practices. Process Knowledge: Demonstrated experience in software requirement engineering, architecture design, and quality management processes. Awareness of emerging technologies and ability to leverage them for improvement. Knowledge of US and EU medical device regulatory requirements is an advantage. Leica Microsystems, a Danaher operating company, offers a broad array of comprehensive, competitive benefit programs that add value to our lives. Whether it’s a health care program or paid time off, our programs contribute to life beyond the job. Check out our benefits at Danaher Benefits Info .",0.2516757443983567
Principal Software Test Engineer,"Bring more to life. Are you ready to accelerate your potential and make a real difference within life sciences, diagnostics and biotechnology? At Leica Microsystems, one of Danaher’s 15+ operating companies, our work saves lives—and we’re all united by a shared commitment to innovate for tangible impact. You’ll thrive in a culture of belonging where you and your unique viewpoint matter. And by harnessing Danaher’s system of continuous improvement, you help turn ideas into impact – innovating at the speed of life. Shape the Future with Us! At Leica Microsystems, we have been shaping the future for over 175 years with groundbreaking optical and digital solutions.  With a culture rooted in customer focus, innovation, and teamwork, we lead the market in microscopy, imaging, and analysis, unveiling the invisible and empowering our customers to build a better, healthier world. Joining Leica Microsystems means contributing to scientific discoveries and supporting surgeons in making critical decisions. Our advanced microscopes and AI-based image analysis solutions enable users to gain profound insights into development and engineering challenges. Here, you will work on meaningful projects alongside passionate colleagues, driving progress and pushing the boundaries of what’s possible. Learn about the Danaher Business System which makes everything possible. The Principal Software Test Engineer is responsible to establish policies and procedures, coordination, preparation, and implementation of software verification to improve software quality sustainably. Works independently and result oriented. Mentor mid-level and junior test engineers. This position reports to the Manager, Software and is part of the Research & Development Medical located in Singapore and will be an on-site role. In this role, you will have the opportunity to: Design and implement scalable automated testing frameworks, leveraging AI or advanced test automation tools to enhance efficiency and accuracy in software testing. Develop and maintain software acceptance tests and scripts aligned with product requirements to ensure comprehensive validation. Manage test coverage to guarantee all functional and non-functional requirements are adequately tested and documented. Collaborate closely with development teams to ensure Leica Microsystems products meet and exceed end-user expectations, including executing system and user acceptance tests. Participate in issue triaging and root cause analysis, providing actionable insights for resolution and contributing to continuous process improvement using DBS and agile methodologies. The essential requirements of the job include Bachelor’s or Master’s degree in Computer Science, Computer Engineering, or a related field, complemented by strong communication and interpersonal skills. 8–10 years of professional software verification experience, with strong expertise in automated testing and quality assurance practices. Proficiency in at least one high-level programming language and extensive knowledge of AI-driven or automated testing tools. Solid understanding of software development and testing methodologies, including Scrum, Agile, and waterfall practices. Ability to work effectively in distributed, cross-functional teams, engaging stakeholders at multiple levels to drive quality outcomes. Leica Microsystems, a Danaher operating company, offers a broad array of comprehensive, competitive benefit programs that add value to our lives. Whether it’s a health care program or paid time off, our programs contribute to life beyond the job. Check out our benefits at Danaher Benefits Info .",0.2500721174572924
Junior Engineer,"Job Title : Junior Engineer Project support Job Description & Requirements : We invite highly motivated individuals to join our team in providing support to our clients’ biomanufacturing facilities. In this role, you will be tasked with performing junior engineer role for ongoing project at Client facility and ensuring strict adherence to pharmaceutical GMP and regulatory standards. Vendor qualification document controller Migrating vendor document to Client's approved format/portal Archival of Documentation Hands on experience on AutoCAD, Microsoft Office, PDF, shareportal, etc. Fresh graduates are welcome to apply. Able to edit/update AutoCAD drawings Ensure that all project activities comply with Singapore regulatory standards, EHS policies, and Client's quality assurance protocols.",0.24686986435332378
