title,description,avg_similarity
Research Associate (NIE-OfR),"The National Institute of Education invites suitable applications for the position of Research Associate on a 15-month contract at the Office for Research . Project Title: Perspectives on Research Impact through Stakeholder Mapping (PRISM) Project Introduction: There has been an increasingly urgent call internationally for research to have an impact on the broader society and to better showcase and communicate that impact and value. Within education, although the need for evidence-based practice in policy and practice is recognised (e.g., Lingard, 2013), much of it remains fragmented and tends to be “invisible” due to it being embedded into educational policies, technologies, and services, often without acknowledgement (Cain & Allan, 2017). To optimise impact, the mobilisation of research knowledge across multiple stakeholders is required for the application of findings in real-world contexts (Bayley et al., 2018; Cooper, 2017; Social Sciences and Humanities Research Council, 2020). This mixed-methods study seeks to examine Singapore stakeholders’ perspectives of what counts as education research impact. The first phase of the study will make use of documentary analysis and a case study approach for in-depth understanding of the stakeholders’ perspectives of impact. A follow-up survey to the larger educational community in Phase 2 will develop greater understanding of the diverse perspectives from varied stakeholders and reveal underlying, interconnected insights and trends on education research impact. Requirements: Masters in Education, Psychology, Sociology or other related fields Experience in writing literature reviews, data collection and analysis Interest and experience in knowledge mobilisation and research translation Strong communication skills, including experience in peer-review publications and research communications Responsibilities: Coordinate research administration, including IRB applications Conduct literature review, data collection and analysis Assist with writing and presentations Managing research communications Supporting research team in all other research-related matters as assigned by Principal Investigator Application Applicants (external and internal) will apply via Workday. We regret that only shortlisted candidates will be notified. Workday Job Requisition ID: R00023233 (https://ntu.wd3.myworkdayjobs.com/Careers/job/NTU-Main-Campus-Singapore/Research-Associate--Office-for-Research---NIE-_R00023233) Closing Date Closing date for advertisements will be set to 14 calendar days from date of posting.",0.3461436707883624
"Manager / Senior Manager, Policy Office (SPD)","SSG is a dynamic and forward-thinking organization dedicated to empowering individuals and shaping the future of Singapore's workforce. As a statutory board under the Ministry of Education, SSG leads the charge in driving the SkillsFuture movement, a national initiative that promotes lifelong learning and skills development. With a strong focus on innovation and collaboration, SSG works closely with employers, training providers, and individuals to create a vibrant ecosystem of learning and growth. By offering a wide range of initiatives, programs, and funding schemes, SSG enables individuals to unlock their full potential, acquire new competencies, and stay ahead in a rapidly changing job market. Join the SPD team in SSG. We drive strategic coherence across the organisation, while sparking new forms of thinking and conceptualise new national and agency level policies to advance SSG’s mission in supporting the SkillsFuture movement. We also advance research aligned to the SSG strategic priorities to facilitate evidence-based policymaking, programme development and improvements to practice. The Manager/Senior Manager in the Policy Office within the Strategic Planning Division is an individual contributor role responsible for driving high-impact SkillsFuture projects, coordinating whole-of-government policies, advancing international strategies, and conducting horizon scans on emerging trends. This role is essential in supporting Singapore's workforce skills development efforts and ensuring effective policy reviews. The position demands a strategic thinker who can synthesize information, engage stakeholders, and adapt to changing priorities. Project Management & Implementation · Conceptualize, coordinate, and implement high-impact SkillsFuture projects. · Define project scope, implementation parameters, and desired outcomes. · Track progress and evaluate results to ensure project success. Policy Planning & Coordination : · Plan and coordinate whole-of-government policies to advance the Jobs and Skills agenda. · Conduct horizon scans on emerging trends in the CET landscape to support policy reviews. · Perform secretariat duties for key meeting platforms. International Strategy & Collaboration : · Advance SSG's international strategy by collaborating with overseas counterparts. · Benchmark Singapore's progress and learn best practices from international engagements. Communication & Stakeholder Engagement : · Synthesize information with attention to detail and substantiate findings using written and visual formats. · Communicate clearly in both written and verbal forms. · Engage various stakeholders and drive fruitful collaborations. Adaptability & Resourcefulness : · Multi-task effectively, balancing competing priorities under tight deadlines and ambiguity. · Be resourceful and demonstrate a strong drive to get things done. · Anticipate needs and make judgment calls within your sphere of responsibilities. · Work agilely to support new projects or emerging needs. Requirements: · The required competencies to execute the job duties proficiently · Manager: Up to 6 years of relevant work experience in policy planning. Those with no relevant experience but have been involved in relevant projects or short stints in similar areas / functions can apply · Senior Manager: At least 6 years of relevant work experience in policy planning · Strong quantitative skills and experience in policy and planning work · Ability to synthesize broad information with attention to detail · Effective communication skills in both written and verbal formats · Proven ability to engage stakeholders and drive collaborations · Resourcefulness and adaptability in managing changing priorities Successful candidates will be offered a 1-year contract with potential for a 1-year extension and consideration for permanent tenure thereafter. Candidates are encouraged to sign up for a Careers & Skills Passport (CSP) account and include your CSP public profile in your resume.  Please check out www.myskillsfuture.gov.sg for details on the CSP.",0.3404329530790082
"Researcher / Senior Researcher, Service and Operations Management (IPAM)","Job Scope • As a researcher, you will design, plan and conduct research. You will also communicate the research insights to support the learning and development of public sector service practitioners and leaders, and help them develop and implement strategies to deliver excellent service, operations and enforcement. • Proposing research topics, designs and plans in Service, Operations and Enforcement Management, especially to develop citizens’ insights. • Conducting research on key emerging trends in Service, Operations and Enforcement Management, and drawing insights that are contextualised for the Singapore public sector. • Uncovering citizens’ insights for Service, Operations and Enforcement Management using appropriate research methods, including but not limited to surveys, ethnographic interviews, intercept interviews, focus group discussions, contextual inquiries, observations, etc. • Managing WOG quantitative research, which includes designing the study, procuring of research partners, managing vendors and stakeholders (e.g. other agencies), and sharing of results with different agencies • Translating research insights into learning products such as articles, videos, infographics, toolkits, scenarios, games, simulations, case studies and papers on the topic of Service, Operations and Enforcement Management to meet learning needs both within and beyond the classroom. • Convening and facilitating communities (both online and face-to-face) to share best practices, and pertinent issues and challenges for the public sector Service, Operations and Enforcement Management communities. • Designing and implementing learning interventions for practitioners and leaders, such as: a. Designing and facilitating discussions on Service, Operations and Enforcement Management. b. Organising roundtables, seminars and lectures helmed by practice leaders and academics to raise awareness of current and emerging Service, Operations and Enforcement Management issues. c. Providing advisory and consultancy services to public sector agencies, and managing multi-disciplinary projects. Requirements Possesses strong analytical skills Possesses strong written and oral communication skills to put across research in a way that engages our stakeholders Able to engage and manage stakeholders at various levels. Able to work both independently and in a team. Has an interest in Service, Operations and Enforcement Management 2 to 3 years of experience in customer insights /market research/ consulting will be a plus If you are keen to know more about this role, please email Mary at marymarquez@rmagroup.com.sg and send your resume in MS Word format. Note that only shortlisted candidates will be contacted. This is in partnership with the Employment and Employability Institute Pte Ltd (“e2i”). e2i is the empowering network for workers and employers seeking employment and employability solutions. e2i serves as a bridge between workers and employers, connecting with workers to offer job security through job-matching, career guidance and skills upgrading services, and partnering employers to address their manpower needs through recruitment, training, and job redesign solutions. e2i is a tripartite initiative of the National Trades Union Congress set up to support nation-wide manpower and skills upgrading initiatives. By applying for this role, you consent to RMA Group’s PDPA and e2i’s PDPA. EA Licence No: 93C4403 EA Regn No: R1326974",0.33370521387845
Lecturer (NUS College),"Interested applicants are invited to apply directly at the NUSCareer Portal Your application will be processed only if you applyvia NUSCareer Portal We regret that only shortlisted candidates will be notified. Job Description NUS College is the honours college of the National University of Singapore. Our focus is a rigorous and stimulating interdisciplinary education designed to help students cultivate the necessary skills to work effectively across boundaries, We plan to hire a dedicated individual  to fill a Lecturer’s position.  This is a full-time position that includes opportunities for pedagogical research funding and for promotion to an Associate Professor on the NUS Educator Track. The primary responsibility is to offer our mandatory courses, to which you will be expected to bring your own academic and intellectual expertise. Duties & Responsibilities For a start, you will be expected to offer the following, Computational Problem Solving (NPS2001) The CPS is a common curricular course designed to introduce NUS College students to the fundamental concepts, computational tools and techniques necessary to solve complex problems. The focus is on computer science and information technology, but course objectives are more general in nature, with the goal of developing essential skills for approaching and understanding new technology to critically assess potential benefits and risks. By having a comprehensive understanding of the potential of new technologies, students will be able to formulate a problem, outline potential technological solutions and set up a team to implement the solutions that can help achieve project goals. Impact Experience Project (NEP3001) The Impact Experience (IEx) is a eight-unit capstone course that all NUS College students will have to undertake for two years. Students will work in interdisciplinary teams to collaborate with non-profit partners and innovate future solutions for the benefit of communities and society in Southeast Asia, including Singapore. Each team of 6-7 students is supervised by a lecturer who specializes in the area they are working with. Students would choose to work with lecturers clustered into three broad areas: Science and Technology, Arts and Design, Civic and Community. Applicants from any field representing the Computer Sciences are welcome to apply for this position. We are interested in candidates whose work is cross-disciplinary and can be applied to better understand and tackle social, environmental and technological problems in the Singaporean context. The selected candidate's primary responsibility will be to teach the CPS together with other course instructors to ensure that students have a common curricular experience while allowing for individual instructor creativity in their seminars. Applicants should demonstrate their ability to teach such a course by providing evidence of teaching interdisciplinary computing courses in the university. The other responsibility will be to supervise IEx student teams working on projects that involve computing for social good. Successful candidates are expected to offer 2-3 sections of Computational Problem Solving in the academic year, an elective of their own design, supervise 3-6 IEx teams, and take on a small supervision load of independent study modules. Qualifications Candidates must hold a PhD. Remuneration and benefits are highly competitive on the global research university level. Expatriate benefits may include travel assistance from overseas and limited housing benefits. Appointments begin at the level of Lecturer on the Educator Track. Although the NUS Educator Track is not a tenurable line, it offers a pathway to promotion to Associate Professorship on an open contract (and beyond), as well as opportunities for pedagogical research funding, including overseas research and conference travel. The contract is for three years in the first instance and is renewable subject to good performance. Interested applicants should prepare and submit the following documents when they apply: •    A cover letter, clearly specifying which position they are applying for. •    CV: An abridged CV (5-page maximum), including details on education, employment history, past experience of teaching and supervision, research activities (including publications) and achievements, honours and awards, and service accomplishments. •    Qualifications: Include scanned copies of academic degrees. •    Teaching Portfolio: o    A Teaching Statement that commences with a preface (maximum 300 words) that makes the case for  appointment. This should be a highly distilled summary of key contributions to student learning and, if applicable, educational leadership, guided by your teaching philosophy. The rest of the Statement, of not more than 2,000 words, should outline your teaching philosophy and your educational contribution across multiple dimensions and roles. Please include evidence on how you have impact students' learning  experience and outcomes as well as how you have influenced peers and the community. o    Teaching evaluations and peer review reports, if available. Other evidence of teaching excellence and/or other contributions to education, e.g., curriculum development, pedagogical innovation etc., should also be provided. •    A proposal, of not more than 500 words, describing a prospective syllabus for the target course. •    A statement, of not more than 500 words, highlighting how you plan to contribute to pedagogical innovation and/or advance interdisciplinary honours education at NUSC. •    FOUR referees' letters (one of whom must be the applicant's PhD supervisor). Interviews will normally be conducted online. Only shortlisted applicants will be notified. More information about NUSC and our curriculum can be found on our website: https://nuscollege.nus.edu.sg/ Additional information about Academic Appointments at NUS can be found here: https://www.nus.edu.sg/careers/",0.3265097983414109
Research Associate (Singapore Literature),"The English Programme at Nanyang Technological University hosts a dynamic community of students and professors engaged in a wide variety of literary passions and projects. It is a research-intensive department with a particular focus in five key research areas: Singapore Literature, Modern Literature, Contemporary Literature and Culture, Period Studies, and Irish Studies. For more details, please view https://www.ntu.edu.sg/soh/about-us/english . We are looking for a Research Associate to provide research and administrative support for an MOE Tier 1-funded project, “Smart Nation: A Literary Atlas”. The project is a scholarly intervention that sets out to provide a fresh perspective on the complex negotiations between state, society, and science and technology in Singapore in order to address the vital and urgent questions pertaining to the necessary re-evaluation of these relationships in the twenty-first century and the role that culture plays in this task. Key outputs include a monograph on cultural representations of science and technology in Singaporean literature and a seminar series featuring prominent researchers working at the intersection of science and technology and literature. Key Responsibilities: Collate annotated bibliography of Singaporean literary works that engage with science and technology as well as related themes Close read Singaporean literary works that engage with science and technology as well as related themes Assist with archival research, both online and on-site Assist with the preparation of manuscripts Assist with administrative tasks pertaining to the organization of a seminar series Oversee a small team of undergraduate student research assistants Job Requirements: Master qualification degree in English Literature or related field Good written and oral communication skills Ability to work independently under strict timelines with an eye for detail Familiarity with Singaporean literature and/or literature engaging with science and technology-related issues is an advantage. Entry level candidates are welcome to apply. We regret to inform that only shortlisted candidates will be notified.",0.31898619174568116
Research Engineer I (Psychology/Behavioural Sciences/Statistics/Computer Science),"The Alibaba-NTU Global e-Sustainability CorpLab (ANGEL) represents a key collaboration between Alibaba Group and Nanyang Technological University (NTU). Supported by the Singapore RIE2025 Fund, ANGEL creates and deploys impactful green digital technologies for global sustainability. ANGEL’s mission aligns seamlessly with Singapore’s national objectives, such as the Singapore Green Plan 2030 and the Singapore Smart Nation Initiative. ANGEL’s work in developing sustainable and equitable digital solutions and promoting a sustainable and green lifestyle will contribute to a smaller carbon footprint. Its holistic approach will help to secure a brighter, more sustainable future for humanity. The key job purpose is to conduct research to understand people’s perception, decision and action in choosing transportation modes for sustainable travel behaviours and its economic impact to reduce carbon footprint. Key Responsibilities: Take charge of research & developments on project in sustainability living Behavioural experiments/recordings, data collection and analysis of people’s decision and action Reports, posters, conference papers and manuscripts preparations Communicating with the research team and liaising with the collaborators of the project Job Requirements: Bachelor's degree in Psychology, Behavioural Sciences, Statistics, Computer Science, or equivalent fields Prior research experience in experimental designs, surveys, and behavioural studies Abilities in statistical analysis and modelling and programming, good at Matlab, Python, R, or SPSS, etc We regret that only shortlisted candidates will be notified.",0.314587376423738
Lecturer,"Singapore University of Social Sciences is one of Singapore's six autonomous universities and its mission is to provide lifelong education that equips learners to serve society. Home to more than 15,000 students, SUSS provides an applied education that targets both fresh school leavers and adult learners, with a focus on the social sciences. It adopts a flexible and practice-focused learning approach and offers more than 70 degree programmes in various disciplines. Applications are invited for an open-rank faculty position in the area of Early Childhood at the Singapore University of Social Sciences. The successful candidate will join the Early Childhood cluster in S R Nathan School of Human Development and will be expected to teach and conduct research in Early Childhood and closely related fields. Since 2010, SUSS has been offering Singapore’s first and only locally awarded Bachelor of Early Childhood Education (with Minor) programme to part-time, working in-service teachers.  Moreover, since 2017 with a government mandate, it started a full-time Direct Honours Bachelor of Early Childhood Education with Minor programme to cater to a mix of fresh “A” Level holders and beginning teachers with a polytechnic diploma. This 4-year programme is currently the only locally awarded full-time early childhood education undergraduate degree in Singapore, a significant milestone in the Singapore early childhood teacher education landscape. The programme is anchored in socio-cultural perspectives, an inclusive approach, a strong belief in child agency, and children’s meaning making and inquiry.  More importantly, the programme aims to bridge the nexus between theory and practice for pre-service and beginning early childhood teachers. The programme offers field-based research and collaborative work with teachers in the field to develop child-centric learning experiences. The programme is delivered in a blended combination of online and face-to-face experiences, with an emphasis on teacher learning through regular placements in local kindergartens, child care centres and other relevant settings. In addition, and in tandem with developments in the local early childhood sector, our university is growing a postgraduate Master of Early Childhood Education programme. Required professional, teaching and/or research areas include: Child development for application in early childhood classrooms (infancy through age 6) Supporting children’s meaning making through play-based, inquiry-based experiences Inclusive pedagogies Teacher leadership, classroom coaching, and inquiry for pedagogical improvement What You Will Be Doing Essential responsibilities: Develop course materials and assessments to support a diverse range of pre-service and in-service early childhood teachers Teach interactive courses in both face-to-face and online environments Write research grant proposals (mixed-method studies that can inform programme evaluation, teacher education and preschool practices) Work with the team to shape a research agenda to support practitioners and inform practices in the EC workforce Mentor students both on campus and in their placements in the partner preschools/childcare centres Help build a network of partner preschools and organisations for forging collaborative partnerships both locally and overseas Engage in national initiatives to improve the quality of early care and education in Singapore Serve on internal and external committees Perform other duties as assigned Job Requirements Applicants should have earned a doctorate (PhD) in early childhood education or a closely related field and preferably, obtained some teaching and research experience at a university (e.g., teaching and research assistantships).  In addition, we are looking for candidates who: Have a global outlook Are keen to develop an innovative university teacher education programme that addresses the theory-practice nexus and issues related to human agency, social equity and cultural diversity Have successful experience teaching in teacher education and/or professional development programmes Have successful working experience with children, birth through six years, in diverse early childhood settings Are able to engage in collaborative work",0.3096438047514148
"Manager / Senior Manager, Events and Programmes","As part of the Events and Programmes team, you will be responsible for planning, coordinating, and executing Lifelong Learning Singapore’s (LLSG) events and outreach initiatives that inspire learning and participation in the SkillsFuture movement, while strengthening LLSG’s visibility. You will oversee the end-to-end delivery of key events, from conceptualisation and design to implementation and evaluation, ensuring each event/initiative engages individuals and enterprises, foster partnerships, and translate LLSG’s brand and mission into meaningful, memorable experiences. This role plays a pivotal part in driving public engagement, strengthening partnerships, and amplifying LLSG’s visibility through innovative, high-impact events and outreach programmes. Key Responsibilities Event Planning and Delivery Conceptualise, plan, and execute enterprise and public-facing events that advance LLSG’s outreach and engagement objectives. Manage end-to-end event logistics, budgeting, and vendor coordination to ensure seamless delivery. Contribute to the development of the annual events calendar and thematic programming. Event Design and Experience Design engaging, experiential formats that promote lifelong learning and align with LLSG’s brand identity. Drive creativity in event design, flow, design and content, integrating interactive, experiential and digital elements. Ensure events deliver clear value propositions and foster meaningful connections with LLSG’s community. Collaborative Partnerships Work closely with internal divisions (e.g. Communications, Digital Marketing, Partnerships) to ensure alignment and synergy in outreach initiatives. Engage external partners, agencies, and enterprises to co-create event activations and cross-promotional initiatives. Support partnership efforts that enhance event visibility, reach, and impact. Digital Integration & Analytics Collaborate with Communications and Digital Marketing team to leverage digital platforms for event outreach and engagement. Use analytics and performance metrics to assess event performance, audience engagement, and conversion rate. Apply data-driven insights to refine audience segmentation, event design and engagement strategies. Operations and Resource/Budget Management Track event KPIs and compile post-event reports to evaluate success, gather insights, and recommend improvements. Lead post-event debriefs and ensure learnings are documented and translated into actionable strategies. Develop and manage event budgets, ensuring cost efficiency and optimisation. Oversee resource allocation and expenditure, maintaining financial discipline while upholding quality standards. Qualifications and Requirements Background in Marketing, Communications, Events Management, Business, or a related field. Minimum 3–5 years of relevant experience in event management, outreach, or community engagement (public or private sector). Proven experience in managing medium to large-scale events or campaigns. Excellent coordination, project management, and stakeholder engagement skills. Creative, resourceful, and detail-oriented, with a strong sense of initiative. Familiarity with event management software, CRM, analytics dashboards, or hybrid event technologies is advantageous. Candidates who do not have the required qualification or relevant experience are welcome to apply. Successful candidates will be offered a 2-year contract in the first instance and may be considered for an extension or be placed on a permanent tenure. Please note that only shortlisted candidates will be notified.",0.3093522238613032
Lecturer,"About The Job Singapore University of Social Sciences is one of Singapore's six autonomous universities and its mission is to provide lifelong education that equips learners to serve society. Home to more than 15,000 students, SUSS provides an applied education that targets both fresh school leavers and adult learners, with a focus on the social sciences. It adopts a flexible and practice-focused learning approach and offers more than 70 degree programmes in various disciplines. Applications are invited for an open-rank faculty position in the area of Early Childhood at the Singapore University of Social Sciences. The successful candidate will join the Early Childhood cluster in S R Nathan School of Human Development and will be expected to teach and conduct research in Early Childhood and closely related fields. Since 2010, SUSS has been offering Singapore’s first and only locally awarded Bachelor of Early Childhood Education (with Minor) programme to part-time, working in-service teachers.  Moreover, since 2017 with a government mandate, it started a full-time Direct Honours Bachelor of Early Childhood Education with Minor programme to cater to a mix of fresh “A” Level holders and beginning teachers with a polytechnic diploma. This 4-year programme is currently the only locally awarded full-time early childhood education undergraduate degree in Singapore, a significant milestone in the Singapore early childhood teacher education landscape. The programme is anchored in socio-cultural perspectives, an inclusive approach, a strong belief in child agency, and children’s meaning making and inquiry.  More importantly, the programme aims to bridge the nexus between theory and practice for pre-service and beginning early childhood teachers. The programme offers field-based research and collaborative work with teachers in the field to develop child-centric learning experiences. The programme is delivered in a blended combination of online and face-to-face experiences, with an emphasis on teacher learning through regular placements in local kindergartens, child care centres and other relevant settings. In addition, and in tandem with developments in the local early childhood sector, our university is growing a postgraduate Master of Early Childhood Education programme. Required professional, teaching and/or research areas include: Child development for application in early childhood classrooms (infancy through age 6) Supporting children’s meaning making through play-based, inquiry-based experiences Inclusive pedagogies Teacher leadership, classroom coaching, and inquiry for pedagogical improvement What You Will Be Doing Essential responsibilities: Develop course materials and assessments to support a diverse range of pre-service and in-service early childhood teachers Teach interactive courses in both face-to-face and online environments Write research grant proposals (mixed-method studies that can inform programme evaluation, teacher education and preschool practices) Work with the team to shape a research agenda to support practitioners and inform practices in the EC workforce Mentor students both on campus and in their placements in the partner preschools/childcare centres Help build a network of partner preschools and organisations for forging collaborative partnerships both locally and overseas Engage in national initiatives to improve the quality of early care and education in Singapore Serve on internal and external committees Perform other duties as assigned Job Requirements Applicants should have earned a doctorate (PhD) in early childhood education or a closely related field and preferably, obtained some teaching and research experience at a university (e.g., teaching and research assistantships).  In addition, we are looking for candidates who: Have a global outlook Are keen to develop an innovative university teacher education programme that addresses the theory-practice nexus and issues related to human agency, social equity and cultural diversity Have successful experience teaching in teacher education and/or professional development programmes Have successful working experience with children, birth through six years, in diverse early childhood settings Are able to engage in collaborative work",0.30555222667091547
"Executive / Assistant Manager / Manager, SNEF Lab, Policy Division","Job Description & Requirements The Singapore National Employers Federation (SNEF) is a trade union of employers. SNEF represents employers in Singapore’s unique brand of tripartism, where employers, unions and workers, and the Government work together to come up with win-win solutions to national challenges. This has been key to Singapore’s economic growth. SNEF is strengthening its policy and research capabilities to enhance advocacy for employers’ interests. As part of the SNEF Lab team, you must have an interest in labour policies to support SNEF’s research and sense-making work to drive SNEF’s efforts in developing and promoting progressive workplace practices, enhancing labour market flexibility and advancing tripartism. Your responsibilities include: · Monitor and analyse global and local trends, including socioeconomic data of labour markets, to anticipate or identify emerging HR-related challenges and opportunities for employers in Singapore – to bring them to the forefront of tripartite discussions before they evolve into significant challenges for employers in Singapore · Develop research approaches to collect and analyse data to design and shape employer-centric labour policy solutions to (a) address employers’ challenges or meet employers’ needs and (b) respond to proposals from the Government or unions · Execute these research approaches, including in partnership with academics, institutions of higher learning, tripartite partners and government agencies on areas of common interest · Improve SNEF’s research capabilities, including data collection and stakeholder engagement · Plan and execute research projects in areas of salary benchmarking, benefits review, employee engagement and other talent management programmes. · Support content and delivery of workshops, events and seminars. The position will also have opportunities to work with the rest of the Policy Division to develop and shape SNEF’s positions on various workplace and workforce issues to effectively and proactively shape manpower policies in Singapore. This includes developing evidence-based policies or recommendations to further the interests of responsible employers and sustainable businesses, engaging the employer community to better understand their immediate and longer-term needs and concerns, and evaluating and devising robust and balanced responses to proposals from the Government or unions. Requirements: Bachelor’s degree in Economics, Social Sciences (political science, sociology, organisation psychology, etc) HR, Statistics or other related disciplines. Fresh graduates are welcomed. An interest in international labour and experience in planning regional/ international events is a plus. You must: · Possess good written, presentation and verbal communication skills · Be proficient in applications such as PowerPoint, Word, Excel and Canva · Be experienced with data analytics/programming applications such as Tableau/PowerBI, Stata, R or SPSS · Be versatile, resourceful and strong in stakeholders management · Be a team player, have a strategic and growth mindset and a keen eye to details If hired, your designation will be commensurate with your work scope and experience. By submitting your resume, you have given SNEF consent to collect data which will be used for the assessment and evaluation of your suitability for employment within the organisation.",0.3053672041246341
