title,description,avg_similarity
Key Account Manager,"PropertyGuru is Southeast Asia’s leading PropTech company, and the preferred destination for over 32 million property seekers monthly to connect with over 50,000 agents monthly to find their dream home. PropertyGuru empowers property seekers with more than 2.1 million real estate listings, in-depth insights, and solutions that enable them to make confident property decisions across Singapore, Malaysia, Thailand and Vietnam. PropertyGuru.com.sg was launched in Singapore in 2007 and since then, PropertyGuru Group has made the property journey a transparent one for property seekers in Southeast Asia. In the last 18 years, PropertyGuru has grown into a high-growth PropTech company with a robust portfolio including leading property marketplaces and award-winning mobile apps across its markets in Singapore, Malaysia, Vietnam, Thailand as well as the region’s biggest and most respected industry recognition platform – PropertyGuru Asia Property Awards , events and publications across Asia. About the Role As a Key Account Manager , you will play a pivotal role in growing PropertyGuru’s business by developing strategic client relationships, uncovering new opportunities, and driving value for some of our most important partners. You will combine deep market understanding with strong commercial acumen to deliver solutions that help our clients win and fuel PropertyGuru’s continued leadership in the region. As a Guru you will be accountable for: Drive strategic account growth by identifying new and existing business opportunities and expanding PropertyGuru’s presence within key client segments. Build and nurture long-term partnerships , ensuring clients receive consistent value and an exceptional service experience. Conduct detailed market and competitor analysis to identify trends, opportunities, and emerging client needs. Drive sales initiatives and conduct trainings to increase product adoption, drive revenue growth, and exceed sales targets. Develop compelling proposals and presentations that clearly communicate our value propositions and data-driven insights. Collaborate cross-functionally with Product, Marketing, Operations, to align on solutions with broader business objectives and client requirements. Support and work alongside with senior key account manager to achieve team targets We're looking for someone who: Proven experience in business development or key account management , with a track record of meeting or exceeding sales goals. Hands-on experience with cold calling and face-to-face client meetings , with the confidence and communication skills to engage prospects, pitch value propositions, and convert opportunities into revenue. You are comfortable initiating conversations, handling objections, and building rapport quickly in both virtual and in-person settings Strong strategic and commercial thinking , with the ability to identify opportunities and execute effective growth plans. Exceptional relationship management skills , including the ability to influence, consult, and build trust with clients. Analytical and data-driven mindset , capable of interpreting market insights to guide recommendations and decision-making. Highly proactive, self-motivated, and outcome-oriented , with strong leadership qualities and a passion for driving client success. Strong team player , you actively collaborate, support teammates, and contribute to a positive, high-performance team culture. Ability to work effectively with minimal supervision , demonstrating maturity, accountability, and strong organizational skills. You can prioritize tasks, manage time independently, and consistently deliver results in a fast-paced environment. Our commitment to you: Hybrid flexible working that focuses on outcomes over hours. Holistic rewards package covering your financial, physical & mental health. Multi-directional career development across all levels. Inclusive benefits like equal paternity leave, supporting all employees in work-life balance.",0.29788296490502086
Marketing Analytics Specialist,"PropertyGuru is Southeast Asia’s leading PropTech company, and the preferred destination for over 32 million property seekers monthly to connect with over 50,000 agents monthly to find their dream home. PropertyGuru empowers property seekers with more than 2.1 million real estate listings, in-depth insights, and solutions that enable them to make confident property decisions across Singapore, Malaysia, Thailand and Vietnam. PropertyGuru.com.sg was launched in Singapore in 2007 and since then, PropertyGuru Group has made the property journey a transparent one for property seekers in Southeast Asia. In the last 18 years, PropertyGuru has grown into a high-growth PropTech company with a robust portfolio including leading property marketplaces and award-winning mobile apps across its markets in Singapore, Malaysia, Vietnam, Thailand as well as the region’s biggest and most respected industry recognition platform – PropertyGuru Asia Property Awards , events and publications across Asia. For more information, please visit: PropertyGuruGroup.com ; PropertyGuru Group on LinkedIn . Recognised as a Top Employers Certified* organisation, we’re proud to be among the best workplaces in the region—celebrating an inclusive culture of excellence, growth, and well-being. About the Role We are hiring a Marketing Analytics Specialist to drive analytical thinking, data exploration, and measurement across Growth and Product Marketing. This role focuses on data analysis, insight generation, and performance measurement, enabling teams to make informed, evidence-based decisions. You will work with large, complex datasets across product, user behavior, and marketing touchpoints to uncover trends, assess impact, and translate data into clear insights for senior stakeholders. This is a individual contributor role, reporting to the Growth & Product Marketing Lead, and partnering closely with Product, Data, and Marketing teams. As a Guru, you will be accountable for : Data Analysis & Insight Generation Analyse first-party platform and marketing datasets to identify: User and agent behaviour patterns Search, intent, and engagement signals Adoption, retention, and usage trends Conduct deep-dive analyses to answer strategic questions around: Feature and product adoption Marketing effectiveness and value delivery Behavioural changes across user segments Translate complex analyses into clear, structured insights and recommendations for non-technical stakeholders Marketing & Growth Measurement Frameworks Define and own marketing and growth measurement frameworks, including: Metric definitions and success criteria Funnel, cohort, and segmentation logic Design, build, and maintain scalable dashboards and reports, ensuring: Consistent definitions across teams Data accuracy and reliability Clear interpretation of results Partner with Data and Engineering teams to: Validate data sources and pipelines Improve data quality and availability over time Experimentation & Performance Analysis Design and analyse experiments and A/B tests, including: Hypothesis definition Measurement approach Post-test analysis and readouts Evaluate growth initiatives and campaigns through: Incrementality analysis Trend and variance analysis Performance comparisons across channels and cohorts Produce structured performance summaries that inform: Prioritisation decisions Optimisation opportunities Future experimentation Analytics Enablement & Decision Support Act as a trusted analytics partner to Growth and Product Marketing stakeholders Proactively surface insights and risks, rather than responding only to ad-hoc requests Help establish a culture of data literacy and analytical rigour within Marketing What we are looking for: Experience in: Data analytics Marketing analytics Growth or product analytics Strong hands-on expertise in: Advanced SQL (complex joins, window functions, performance optimisation) Data analysis and modelling techniques Dashboarding and BI tools (e.g. Looker, Tableau, Power BI) Experience working with: Customer and behavioural data (e.g. GA4, Segment) Marketing and attribution data (e.g. Braze, AppsFlyer) Proven experience analysing: Funnels, cohorts, and user segments Experiments and A/B tests Solid understanding of paid marketing channels (e.g. Meta, SEM) from a measurement and analytics perspective Nice to Have Experience in product-led, marketplace, or platform-based businesses Familiarity with data modelling or analytics engineering concepts Strong storytelling and stakeholder communication skills Our commitment to you: Hybrid flexible working that focuses on outcomes over hours. Holistic rewards package covering your financial, physical & mental health. Multi-directional career development across all levels. Inclusive benefits like equal paternity leave, supporting all employees in work-life balance. At PropertyGuru, you’ll be part of a Top Employers Certified* company that puts people at the heart of everything we do.",0.29565811478044035
"Senior Associate, Voice of Brand","About KK39 KK39 is the investment arm of Wee Hur Holdings Ltd., a Singapore-listed group with a long-standing reputation in real estate in Singapore and Australia. We are evolving into a professionalised multi-asset investment platform spanning Private Equity, Private Credit, and Venture Capital, and are actively strengthening our industry presence and relationships with LPs, GPs, and ecosystem partners. To support this growth, KK39 is seeking a Voice of Brand (Senior Associate) who will spearhead our branding, communications, and engagement efforts to ensure KK39’s presence in the investment community is visible, credible, and differentiated. Role Overview The Voice of Brand (Senior Associate) will act as KK39’s branding and communications lead, responsible for building a consistent external voice for the firm. This role blends strategic communications, event curation, and stakeholder engagement to elevate KK39’s profile in the investment ecosystem. You will work closely with the investment team, translating KK39’s activities, perspectives, and initiatives into compelling narratives and touchpoints that resonate with LPs, GPs, and partners. Key Responsibilities 1. Brand Strategy & Positioning · Develop and refine KK39’s brand narrative to reflect our unique positioning as a listed-group-backed investment office. · Ensure consistency of tone, voice, and design across all communication channels. · Build branding frameworks (templates, messaging guides, outreach playbooks) that the investment team can easily adopt. 2. Events & Community Engagement · Lead the end-to-end planning, coordination, and execution of KK39-hosted events (eg. LP/GP networking sessions, roundtables, thought-leadership dinners). · Manage event logistics, invitations, attendee engagement, and follow-up communications. · Build and maintain a calendar of industry events and conferences; coordinate KK39’s participation, visibility, and speaking opportunities. 3. Content & Communications · Craft thought-leadership content (LinkedIn posts, press releases, newsletters, and op-eds) to highlight KK39’s activities and perspectives. · Produce post-event summaries and follow-up campaigns to ensure engagement is maximised beyond the event itself. · Coordinate with external partners (media, PR, design vendors) as needed. 4. Stakeholder Engagement · Work alongside the investment team to strengthen relationships with LPs, GPs, and ecosystem partners by creating professional and timely touchpoints. · Track attendee feedback, engagement data, and industry response to measure brand-building effectiveness. · Support development of investor-facing materials (event decks, thought pieces, conference presence). 5. Internal Enablement · Free up the investment team by owning the operational and execution-heavy aspects of branding and events. · Maintain an internal repository of content, event templates, and standard communications for reuse. Job Requirements · Bachelor’s degree in Marketing, Communications, Business, or related field. · 3–5 years of experience in branding, corporate communications, or marketing within financial services, investment firms, or professional services. · Strong understanding of brand strategy, positioning, and messaging. · Excellent written and verbal communication skills; ability to craft compelling narratives. · Familiarity with content creation for LinkedIn, press releases, newsletters, and thought-leadership pieces. · Ability to manage external vendors (PR agencies, media, design). · Strong organizational skills and attention to detail. · Proficiency in digital marketing tools and social media platforms. · Comfortable working in a fast-paced, multi-asset investment environment.",0.2709932724358535
Relationship Manager,"PropertyGuru is Southeast Asia’s leading PropTech company, and the preferred destination for over 32 million property seekers monthly to connect with over 50,000 agents monthly to find their dream home. PropertyGuru empowers property seekers with more than 2.1 million real estate listings, in-depth insights, and solutions that enable them to make confident property decisions across Singapore, Malaysia, Thailand and Vietnam. PropertyGuru.com.sg was launched in Singapore in 2007 and since then, PropertyGuru Group has made the property journey a transparent one for property seekers in Southeast Asia. In the last 18 years, PropertyGuru has grown into a high-growth PropTech company with a robust portfolio including leading property marketplaces and award-winning mobile apps across its markets in Singapore, Malaysia, Vietnam, Thailand as well as the region’s biggest and most respected industry recognition platform – PropertyGuru Asia Property Awards , events and publications across Asia. About the Role As a Relationship Manager, you will play a critical role in expanding PropertyGuru’s customer base by engaging and supporting mass market agent clients. This role is hunter-focused: you will drive new business acquisition through proactive outreach, effective prospecting, and strong product pitches. You will be responsible for building early-stage relationships, understanding agent needs, and helping them get started on our platform. You will recommend relevant products, and ensure every agent receives professional, high-quality service. This role is ideal for someone energetic, driven, and eager to grow a career in sales within the PropTech industry. As a Guru you will be accountable for: Acquire new clients through high-volume cold calling and proactive outreach to mass market agent clients. Conduct high-volume cold calling and outreach to build a strong pipeline of prospects and generate new revenue opportunities. Be comfortable with face-to-face engagements, including client meetings, networking sessions, and training events, representing PropertyGuru professionally and confidently. Deliver effective product pitches and demonstrations, clearly explaining how PropertyGuru’s solutions can support agent success. Build early-stage relationships with agent clients, providing guidance and support as they start using the platform. Identify client needs and recommend suitable products, ensuring agents understand the value and features of our solutions. Support account onboarding and activation, including helping new clients set up, navigate their account, and optimise their usage. Maintain strong service standards, ensuring mass market clients receive professional and timely support. Gather market feedback and competitor insights to help improve product offerings and sales strategies. Collaborate with team mates to surface opportunities, share market insights, and support go-to-market initiatives. Hit and exceed monthly sales and activity targets, demonstrating consistency, resilience, and drive. Be a strong team player, work and communicate well with team mates, sharing insights, and supporting team initiatives to contribute to a positive and cohesive working environment. We're looking for someone who: Experience in sales, telesales, customer service, or business development, preferably in a high-volume or fast-paced environment. Strong hunter mentality, motivated, persistent and results-oriented. Confidence in cold calling and client engagement, with the ability to deliver clear pitches and handle objections effectively. Excellent communication and interpersonal skills, with the ability to build rapport quickly with agent clients. Positive, energetic, and resilient, with a strong desire to learn and grow in a commercial role. Organised and self-driven, able to manage your time, track activities, and follow through consistently. Team player, willing to collaborate, share insights, and contribute to the overall success of the commercial team. Ability to work effectively with minimal supervision, demonstrating maturity, accountability, and strong organizational skills. You can prioritize tasks, manage time independently, and consistently deliver results in a fast-paced environment. Our commitment to you: Hybrid flexible working that focuses on outcomes over hours. Holistic rewards package covering your financial, physical & mental health. Multi-directional career development across all levels. Inclusive benefits like equal paternity leave, supporting all employees in work-life balance.",0.2686956186791272
Assistant Manager (Sales and Marketing),"We are a fast-growing start-up Facility Tech Enterprise. Our mission is to Improve the Quality of Urban Living. We provide integrated home and office services, such as facility management, cleaning, aircon, laundry, smart homes, and etc. to clients in UK and Singapore . We are building a high performance, energetic and cohesive team. We look forward to welcoming members who are enthusiatic, versatile, and willing to learn . You will be trained and groomed to be part of our core management and extend our global reach.",0.2643188915137716
Industrial Property Consultant,"About the Role We are seeking a motivated and analytical individual to join our consultancy team as an Industrial Property Consultant . In this role, you will work closely with industrial clients to develop a thorough understanding of their business operations, financial position, workforce profile and operational requirements. This understanding will be applied to support property-related decisions that have direct implications on the client’s operations, cost structure and long-term planning. The role is primarily analytical and report-driven. This position is well suited to individuals who are comfortable working with data, structured documentation requirements and who enjoy producing clear and substantiated reports. Key Responsibilities Business and Operational Assessment • Review clients’ financial statements. • Analyze clients’ business models and operational workflows. • Review employee headcount, manpower composition and organizational structure. • Assess operational scale, space utilization and site requirements. Property Planning Support and Reporting • Prepare structured analyses for industrial property planning. • Draft reports for property-related applications. • Develop structured strategies relating to space requirements and site usage. • Ensure reports and submissions are accurate, consistent and complete. Coordination and Engagement • Obtain information and data from clients. • Clarify data and assumptions with relevant parties. • Respond to queries on reports and supporting materials. • Coordinate documentation with internal and external parties. • Manage multiple assignments and timelines concurrently. Qualifications and Requirements • Ability to review and interpret financial statements. • Strong analytical capability. • Strong written communication and report-writing skills. • Proficiency in Microsoft Word and Excel. • Organized and detail-oriented. • Ability to manage multiple tasks and deadlines. • Diploma or higher qualification in any discipline. • Prior experience in business analysis, reporting, consultancy support or property-related roles is an advantage. What We Offer • Competitive monthly remuneration. • Performance-based incentives. • Annual performance bonus and Annual Wage Supplement. • On-the-job training and guidance. • Professional and collaborative working environment.",0.26227387335666946
"Director, Transactions Management","About the role You will deliver Portfolio Strategy and Transaction Management (TM) services to some of the world’s largest companies. This position calls for an energetic, detail-oriented professional with excellent project management, analytical, communication and collaboration skills as well as experience of managing real estate strategies and transactions across Asia Pacific. Comfortable in working towards achieving performance targets, you will be responsible to deliver a range of possible real estate and workplace solutions to clients looking for the next generation benefits that come from a vested partnership with JLL. Portfolio Strategy & Planning – Country, City and Metro plans, Global Initiatives Assessment of portfolio performance, portfolio rationalization and divestment, lease vs. ownership structures, cost reduction initiatives and bid support to achieve business change. Lead planning process to develop strategies to lower real estate costs and improve workplace effectiveness. Identify opportunities for optimization, cost saving and improved ROI in the Client portfolio Conduct fact-based analysis using occupancy, portfolio, real estate, and business data to align stakeholders on informed real estate plans. Through strong business relationships and clear, compelling business cases, challenge status quo thinking to drive unexpected portfolio optimization opportunities Develop overarching strategies related to workplace, organization, process, sustainability, operations and finance to govern the portfolio and set a foundation for city master plans Analyze inputs from the strategic planning process and on-account systems (business requirements, costs, facility information, cap-ex requirements, forecasts, occupancy data, lease and market data) Analyze and make recommendations with respect to strategic dispositions, investment and market opportunities, hold versus sell analysis, feasibility studies, asset review and market studies, highest and best use analysis, acquisition and advice analysis and valuations for sale/leaseback purposes Develop multiple practical options supported by strong business cases that optimize NPV and enhance productivity and innovation Be a SPOC for all Portfolio related client inquiries and a representative in global calls and initiatives Manage expectations, timelines and delivery against Client requirements, represent both JLL and the Client’s interest on the long term Transaction Management You will execute a wide variety of real estate transactions, including capital and lease acquisitions, sale and leasebacks and disposition transactions through local Markets teams across Asia, demonstrating a high level of proficiency and knowledge. You will actively engage with client’s senior stakeholders to define objectives and agree requirements at the outset of a strategy and transaction. Financial Acumen You will need to: Prepare and evaluate financial analysis documents. Support and contribute to the client’s budget forecasting. Forecast revenue and initiate and close-out projects to meet monthly cashflow plan. Monitor and closely control legal budgets and resolve billing queries. Relationship Management You will build strong and sustainable working relationships and help the client navigate through the JLL delivery platform in an efficient and productive manner. You will be the face of Portfolio Strategy and Transaction Management towards the Client both regionally and globally. People Management You possess strong leadership skills to manage brokers across geographies and actively engage across the client’s wider corporate real estate team and internal stakeholders in a collaborative manner. You demonstrate a high level of proficiency and knowledge in portfolio management and possesses the ability to orchestrate complex activities across multiple countries/properties/services at once to accomplish goals and objectives. Commercial Acumen You will understand account profitability, formulate an account plan to achieve revenue and performance targets whilst meeting client service standards. Armed with a sharp business acumen, you will leverage on technology and new products within JLL to deliver the next generation of benefits for our client. Operating a Global Account Can you see the bigger picture? Can you juggle regional delivery that aligns to a global strategy? As the TM lead for Asia on a Global Account, you are proactive in bringing Asia into the forefront, highlighting successes or potential issues whilst providing tangible solutions for the client. Can you communicate clearly and guide the client and your team on the best way forward for best in class processes and portfolio strategies at an account level? Sound like you? Here is what we’re looking for: Great Communicator Can you get your ideas across clearly both verbally and in writing? You’ll be working with many diverse interest groups so the way you share information and your ability to persuasively convey information is highly important. A high EQ is must for this role. You will have exceptional client management, communication and presentation skills and the ability to absorb and translate broad concepts and ideas into clear and logical communications. Ambitious You will be results-oriented with confidence to liaise effectively with all levels of management. Have commitment to collaboration and teamwork, and would thrive to exceed team goals. Resilient Transaction Management is a highly dynamic part of JLL’s business. It’s fast paced and you’ll need to be fast paced as well. You’ll need a positive mind set and a ‘can do’ attitude when multi-tasking driving change and delivering efficiencies. Naturally proactive, you’ll possess the innate ability to identify risks in delivery before it becomes an issue. At JLL, we have a continuous improvement mentality across our business and we’ll be looking for you to have the same. A flexible, resourceful and proactive individual who is able to produce results and guide the team to deliver the same. You will have the ability to work well under pressure and support the team without compromising quality. Experienced You will be an experienced real estate professional with a minimum of 10-12 years’ experience who has delivered positive results across the APAC region. You will be familiar with working with fast moving MNC clients with a regional presence and multiple service lines and possess prior experience in managing a team.",0.25897297133086267
Brand Ambassador,"Fresh graduate, recently ORD-ed, or considering a career transition? This opportunity offers a strong foundation for individuals looking to develop professionally in a dynamic and growth-oriented environment. No prior experience is required. Comprehensive training and guidance will be provided to ensure you acquire the necessary skills and confidence to excel in the role. Key Responsibilities & Exposure Events and Roadshows Participate in organised events and roadshows, where you will engage with the public and represent various brands in a professional manner. B2B Campaigns Be involved in business-to-business marketing campaigns, gaining real-world exposure and strengthening your communication and presentation abilities. Client Interaction Conduct direct, face-to-face engagements with clients. This will enhance your interpersonal skills and allow you to develop strong customer relations. Professional Team Environment Work within a supportive and performance-driven team that encourages learning, growth, and continuous improvement. Development Workshops Attend regular training workshops focused on communication, leadership, sales techniques, and personal development. Benefits & Opportunities Open to 18+ Singaporeans/PRs Weekly earnings with uncapped commissions Attractive performance incentives Ongoing upskilling workshops Clear leadership advancement pathways Travel opportunities for further exposure and training A positive and encouraging work culture that values progress Take the Next Step in Your Career If you are motivated, eager to learn, and looking for a role that offers both personal development and career progression, we encourage you to apply. Positions are limited. Please contact us to submit your application before slots are filled.",0.2549166796715744
"AVP, Real Estate Business Management & Operations (JR 16958)","GIC is one of the world’s largest sovereign wealth funds. With over 2,000 employees across 11 offices around the world, we invest in more than 40 countries globally across asset classes and businesses. Working at GIC gives you exposure to an extraordinary network of the world’s industry leaders. As a leading global long-term investor, we Work at the Point of Impact for Singapore’s financial future, and the communities we invest in worldwide. Real Estate We were an early entrant among institutional investors in real estate including traditional private real estate (brick-and-mortar assets), public equities, real estate investment trusts, and real estate-related debt instruments. Business Management & Operations (BMO) The Business Management & Operations team plays a vital role to provide business management and transaction execution support to Real Estate Investment Professionals globally. This includes developing governance structures for the Real Estate business, propagating industry best practices, improving efficiency by process design, coordinating deal execution and closings, and overseeing the process of identification and presenting data to ensure GIC Real Estate continues to retain its competitive edge. The team also manages the Real Estate portfolio insurance program to ensure appropriate protection of downside risks. We are looking for a suitable candidate to join our Real Estate Business Management & Operations team to develop best in class operational due diligence capabilities for the Real Estate business. What will you do as an AVP in the Business Management & Operations team? Co-ordinate the JV and vendor operational due diligence (ODD) program for the Real Estate business Support the continued development of the JV ODD program, including but not limited to process review and improvement Develop monitoring and reporting tools for better oversight of JV operational risk profile Review internal audit observations, co-ordinate business responses to internal audits and enhance governance standards for Real Estate Support periodic reviews of internal processes to enhance efficiency and / or controls, benchmarking processes to market best practices Proactively consider and implement process improvements, drive technology initiatives to achieve efficiencies and economies of scale Involved in any adhoc initiatives as directed by the Head of RE BMO What makes you a successful candidate? University degree in relevant field (business, accounting, or similar) At least 6 years of relevant work experience in internal audit, operational risk, operational due diligence or similar vocation within Financial Services or Real Estate Strong process re-engineering skills with good understanding of efficiency, internal controls and governance Detail-oriented with ability to work independently and manage projects Team player with good interpersonal and communication skills Inquisitive self-starter, with ability to work in a fast-paced environment Ability to drive co-ordination and project manage amongst multiple stakeholders Flexibility at GIC At GIC, our offices are vibrant hubs for ideation, professional growth, and interpersonal connection.  At the same time, we believe that flexibility allows us to do our best work and be our best selves.  Thus, our teams come into the office four days per week to harness the benefits of in-person collaboration, but have the flexibility to choose which days they work from home and adjust this arrangement as situational needs arise. GIC is an equal opportunity employer GIC is an equal opportunity employer, and we value diversity. We do not discriminate based on race, religion, color, national origin, sex, gender, gender expression, sexual orientation, age, marital status, veteran status, or disability status. We will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. Please email grphrodtaops@gic.com.sg at any point of the application or interview process if adjustments need to be made due to a disability. Learn more about our Real Estate Department here: https://gic.careers/group/real-estate/ To be considered for the role, please submit a formal application through the GIC Careers site at https://careers.gic.com.sg/job-invite/16958/",0.2548532651182389
Marketing Executive & Student Recruitment,"Responsibilities Actively promote the institution’s programs to prospective students and parents through on-site and online events, school visits, and information sessions. Manage and nurture a pipeline of local leads via CRM systems, ensuring timely follow-ups to convert prospects into applications and enrolments. Represent the institution at education fairs, open houses, and community outreach activities. Conduct regular school visits and build strong relationships with school counsellors and other key stakeholders. Support the admissions process in close coordination with academic and operations teams to ensure a smooth onboarding experience. Plan and execute social media campaigns on platforms such as Instagram, TikTok, Facebook, and LinkedIn. Produce engaging and brand-aligned content (videos, testimonials, live streams, reels) to boost awareness, engagement, and lead generation. Track campaign performance through analytics and optimise strategies based on data insights. Contribute to the creation of localized marketing campaigns tailored to Singapore’s student demographic. Collaborate with the central marketing team to ensure consistent messaging and campaign objectives. Provide insights and recommendations to improve the student journey and marketing touchpoints from awareness through enrolment. Requirements Preferable Diploma or Degree in Marketing, Business, Mass Communication, or a related discipline. Proficient in digital marketing tools and social media platforms (especially Instagram, TikTok, and YouTube Shorts) is added advantage. Content creation skills, including basic graphic design or video editing (Canva, CapCut, or similar tools), are an advantage is added advantage. Knowledge of Singapore’s education landscape is added advantage. We regret only shortlisted candidates will be contacted. All applications will be handled confidentially. By submitting your application, you agree to the collection, use, retention, and disclosure of your personal information to prospective employers. Wecruit Pte Ltd | EA License No: 20C0270 EA Personnel No: R22110981| EA Personnel Name: Law Mei Fong",0.25449385494265286
