title,description,avg_similarity
Legal Senior Executive / Assistant Manager (Raffles Place),"Brief Summary: Join a dynamic team as a Senior Executive/Assistant Manager in Legal, where you will play a key role in ensuring compliance and governance while supporting exciting business development projects. Responsibilities: Conduct legal reviews of standard commercial contracts, including NDAs and service agreements. Provide consultation on various legal and compliance matters. Execute legal research on applicable laws and regulations. Plan and implement compliance activities, including seminars and policy reviews. Support project management activities for real estate investments from a legal perspective. Collaborate with external legal counsels and relevant authorities. Educate employees on governance policies and monitor company activities for compliance. Conduct internal audits and rectify any identified issues. Liaise with governance and audit teams as needed. Assist with other ad-hoc tasks within the Administration Team. Requirements: Bachelor’s degree in law. 3-5 years of relevant working experience. Familiarity with legal reviews of standard commercial agreements is advantageous. Experience in legal, compliance, and governance matters is preferred. Understanding of the Singapore legal framework, corporate and commercial laws is a plus. Proficiency in computer applications, including Microsoft Word and legal review tools. PERSOLKELLY Singapore Pte Ltd | EA License No.: 01C4394 | UEN No. 200007268E Registration No.: R23112488 (Julian Nerchan) By sending us your personal data and curriculum vitae (CV), you are deemed to consent to PERSOLKELLY Singapore Pte Ltd and its affiliates to collect, use and disclose your personal data for the purposes set out in the
Privacy Policy available at https://www.persolsingapore.com/policies. You acknowledge that you have read, understood, and agree with the Privacy Policy.",0.38735873057099224
Senior Associate (Advocate & Solicitor),"Company Overview / Employee Value Proposition At Regal Law LLC, we are committed to providing quality and affordable legal services. We strive to do our best for the clients, keeping in mind their interests and also being a trusted and reliable partner to clients. Regal Law LLC aims to be known as a quality service provider by the courts and government agencies. With commitment to not only our clients but employees, we aim to be a likeable and trusted employer to current and future employees. Job Summary As an Associate at Regal Law LLC, you will contribute to high-profile criminal and civil litigation cases by applying your legal expertise and collaborating with a strong team of lawyers. You will develop your professional skills in a supportive environment that values work-life balance and long-term growth. Responsibilities Analyze complex legal issues and apply relevant laws to support criminal and civil litigation cases effectively Conduct thorough legal research to inform case strategies and support litigation outcomes Draft clear, precise legal documents and pleadings to advance client interests in court Collaborate with team members to develop case strategies and deliver reliable legal support Manage case files and documentation to ensure accuracy and compliance with legal standards Communicate legal concepts and case progress clearly to clients and internal stakeholders Demonstrate passion for litigation by proactively contributing to case preparation and courtroom proceedings Required competencies and certifications Hold a law degree from a recognized local or foreign institution under the Legal Profession Act Possess a minimum of 3 years post-qualification experience (PQE) in litigation practice Preferred competencies and qualifications Ability to work effectively within a team environment to achieve case objectives Other Information Working hours: 5 Days Work Week Salary (commensurate with experience): TBD Duration: Permanent Industry: Law firm specializing in various areas of practice such as Criminal, Family and Civil Litigation To apply, please submit a Cover letter and Detailed resume to ""ab@regallaw.com.sg"". Only shortlisted candidates will be notified.",0.38288587002805663
Conveyancing Lawyer (Office Hours),"Company Profile We are one of Singapore’s established law practice offering practical, client-focused legal advice across our core pillars including
property and conveyancing, private client and family matters, wills and
probate, and general dispute advisory work. We secure our client’s trust by
utilising a full hands-on approach, close partner involvement, and emphasis on
clear, commercially sensible solutions. Our treasured lawyers here
benefit from broad exposure, early responsibility, and direct client
interaction within a collegial, stable team environment that prioritises
mentorship, professional development, and long-term career growth over rigid
hierarchy. Location: Tanjong Pagar (5 mins walk from MRT) Working hours: Monday to Friday, 9.00am to 6.00pm Key Responsibilities: Client
     Consultation & Communication: Provide legal advice on various
     property transactions, such as sale and purchase agreements, leases, and
     title transfers. Drafting
     Legal Documents: Prepare and review legal documents, including
     contracts, sale and purchase agreements, and other paperwork related to
     property transactions. Due
     Diligence & Research: Conduct property title searches and due
     diligence on land records and related documentation. Review titles and
     assess risks to identify any potential legal concerns. Transaction
     Management: Oversee the entire conveyancing process, from initial
     instructions to completion and settlement. Negotiation: Facilitate
     settlements and resolve disputes related to property transactions when
     necessary. File
     Management & Compliance: Maintain accurate and up-to-date
     records for all property transactions, including legal documents,
     correspondence, and financial details. Professional
     Development: Stay informed on changes in property law and
     regulations to offer clients the most up-to-date legal advice. Requirements: Min.
     Bachelor's Degree in Legal Practice from an approved university on SILE Called
     to the Bar or have passed the Bar Exams Prior
     experience as a Practising Conveyancing Lawyer is a bonus but not a must Team-player
     and strong judgement in exercising professional law advice to clients Excellent
     problem-solving skills and attention to detail. 📩 Your recruiter: WhatsApp
your CV/resume to Celine at 8977 7051 for a quicker
response. You may also drop your resume via email to
celinechan@envirodynamics.com.sg – only shortlisted candidates will be
notified. Celine Chan I Reg. No: R21103433 EnviroDynamics Solutions Pte Ltd I EA License No.: 12C6285",0.3795762996102984
Legal Associate (Property / Real Estate),"Company Profile We are one of Singapore’s established law practice offering practical, client-focused legal advice across our core pillars including property and conveyancing, private client and family matters, wills and probate, and general dispute advisory work. We secure our client’s trust by utilizing a full hands-on approach, close partner involvement, and emphasis on clear, commercially sensible solutions. Our treasured lawyers here benefit from broad exposure, early responsibility, and direct client interaction within a collegial, stable team environment that prioritizes mentorship, professional development, and long-term career growth over rigid hierarchy. Location: Tanjong Pagar (5 mins walk from MRT) Working hours: Monday to Friday, 9.00am to 6.00pm Key Responsibilities: Client     Consultation & Communication: Provide legal advice on various     property transactions, such as sale and purchase agreements, leases, and     title transfers. Drafting     Legal Documents: Prepare and review legal documents, including     contracts, sale and purchase agreements, and other paperwork related to     property transactions. Due     Diligence & Research: Conduct property title searches and due     diligence on land records and related documentation. Review titles and     assess risks to identify any potential legal concerns. Transaction     Management: Oversee the entire conveyancing process, from initial     instructions to completion and settlement. Negotiation: Facilitate     settlements and resolve disputes related to property transactions when     necessary. File     Management & Compliance: Maintain accurate and up-to-date     records for all property transactions, including legal documents,     correspondence, and financial details. Professional     Development: Stay informed on changes in property law and     regulations to offer clients the most up-to-date legal advice. Requirements: Min.     Bachelor's Degree in Legal Practice from an approved university on SILE Called     to the Bar or have passed the Bar Exams Prior     experience as a Practising Conveyancing Lawyer is a bonus but not a must Team-player     and strong judgement in exercising professional law advice to clients Excellent     problem-solving skills and attention to detail. 📩 Your recruiter: WhatsApp your CV/resume to Celine at 8977 7051 for a quicker response. You may also drop your resume via email tocelinechan@envirodynamics.com.sg – only shortlisted candidates will be notified. Celine Chan I Reg. No: R21103433 EnviroDynamics Solutions Pte Ltd I EA License No.: 12C6285",0.3783610169057365
Associate,"We are looking for a Dispute Resolution Associate (2–4 PQE) to join an entrepreneurial disputes platform in Singapore of an international law firm. This role is ideal for an associate who is not afraid of ambition and who wants to play a meaningful role in building a disputes practice rather than simply servicing one. The successful candidate will work on high-value and complex disputes, including commercial and cross-border matters, and will be given meaningful responsibility with appropriate supervision and direct partner mentorship. Key Responsibilities • Act on a broad range of contentious matters, including commercial litigation and arbitration • Assist with and manage legal proceedings, including pleadings, interlocutory applications, discovery,affidavits, and trials • Conduct legal research and prepare written submissions, affidavits, and legal opinions • Support senior lawyers in hearings and oral advocacy, with opportunities to develop advocacy skills • Liaise with clients, experts, opposing counsel, and courts or arbitral tribunals • Contribute to case strategy, dispute risk assessments, and settlement discussions Qualifications and Requirements • Singapore-qualified lawyer with 2–4 years of post-qualification experience • Experience in court litigation and/or arbitration gained in a reputable law firm • Demonstrated interest in advocacy and dispute resolution work • Strong drafting, research, and analytical skills • Ability to manage matters efficiently and work well under pressure • Chinese language skills (written or conversational) are an advantage but not essential for communicating withChinese clients and understanding Chinese language documents • Strong interpersonal skills and a collaborative, professional approach Why Join Us • Exposure to substantive and high-quality disputes work rather than narrow task-based roles • Opportunities to develop advocacy and hearing experience as part of a litigation-focused practice • Close partner and senior associate mentorship in a flat and hands-on team structure • Involvement in strategic, cross-border, and complex matters • A professional, collegiate environment with clear opportunities for growth and responsibility",0.37505841254527233
[PERM] Assistant Director (Legal Service) – At least 4 years PQE,"Responsibilities: Working with senior management to develop and implement policies and actions; Drafting of regulatory instruments such as legislations and subsidiary legislations Providing legal advice and interpretation with respect to various legislations administered by organisation, as well as all other laws of Singapore as required by organisation in the discharge of its duties and functions; Drafting, reviewing and providing sound legal advice on a broad range of legal issues; Drafting, vetting and advising on general corporate and contractual matters including, but not limited to, tender documents, Memorandum of Understanding (MOUs), tenancy agreements and other commercial documents; Developing and setting in place internal legal processes and guidance for the various Divisions and Organisations, including setting up a repository of legal advice rendered to company; Advising and managing potentially contentious matters; Managing and liaising with external lawyers; and Undertaking such other tasks/projects as may be assigned from time to time. Requirements: Possess a law degree and be called to the Singapore Bar (or other commonwealth
jurisdictions). Have at least 4 years post-qualification experience. Corporate work experience (especially in contract law) would be an advantage. Please state your availability, current and expected salary in the resume. We regret that only shortlisted candidates will be notified. GMP Technologies (S) Pte Ltd   |   EA Licence: 11C3793   |   Eddie Tang |   Registration No: R1221129",0.3722058860275601
ASSISTANT DIRECTOR (LEGAL SERVICE),"(PERMANENT POSITION) ASSISTANT DIRECTOR (LEGAL SERVICE) SINGAPOREANS/ PRs ONLY ( Salary – $10,000.00 - $18,000.00 - Nego) LOCATIONS Town WORKING HOURS Mondays-Fridays: 8.30am to 6.00pm JOB DESCRIPTION The selected candidate will provide legal advice and support in all aspects of its functions and duties, including Partner with senior leadership to shape, review, and implement organisational policies, regulatory strategies, and governance frameworks. Lead the drafting and development of regulatory instruments, including primary and subsidiary legislation, Serve as a key legal advisor by providing authoritative legal opinions and statutory interpretation on legislation administered by Client and other relevant Singapore laws. Oversee and provide high-level legal guidance on a broad and complex range of legal, regulatory, and risk-related matters. Direct the drafting, review, and negotiation of corporate and commercial documents, including tender documentation, Memoranda of Understanding (MOUs), tenancy agreements, and other contractual arrangements. Establish, institutionalise, and continuously enhance internal legal policies, procedures, and advisory frameworks across different stakeholders, including the development of a central legal knowledge repository. Strategically manage and advise on sensitive, high-risk, or potentially contentious matters to mitigate legal and reputational exposure. Lead the engagement, management, and performance of external legal counsel, ensuring cost-effective and timely legal support. Undertake and lead special projects and assignments as directed by senior management. JOB REQUIREMENTS Qualified legal practitioner with a recognised law degree and admission to the Singapore Bar or another Commonwealth jurisdiction. Minimum of four years’ post-qualification experience, preferably within complex or regulated environments. Demonstrated experience in corporate and commercial legal work, with strong capabilities in contract law considered an advantage. Highly self-driven professional with strong analytical, problem-solving, and strategic thinking skills. Proven ability to manage multiple priorities and deliver sound legal outcomes under tight timelines and pressure. Excellent written and verbal communication skills, with the ability to articulate legal advice clearly, persuasively, and with sound judgment. Collaborative team player who is equally capable of working independently, exercising discretion, and operating with minimal supervision. Interested applicants, please email detailed to- SERVICE CONNECTIONS HR CONSULTANCY PTE LTD Email resume to - servcon@singnet.com.sg / recruit@serviceconnections.com.sg Call for more details please call at 6333 0052 Mondays to Fridays 9.00am - 5.00pm 111 North Bridge Road #07-30 Peninsula Plaza Singapore 179098 www.serviceconnections.com.sg License no: 09C4937 / R1102931",0.36819828593471365
Assistant Director (Legal Services),"Responsibilities ·       Working with senior management to develop and implement policies and actions. ·       Drafting of regulatory instruments such as legislations and subsidiary legislations. ·       Providing legal advice and interpretation with respect to various legislations, as well as all other laws of Singapore as required in the discharge of its duties and functions. ·       Drafting, reviewing and providing sound legal advice on a broad range of legal issues. ·       Drafting, vetting and advising on general corporate and contractual matters including, but not limited to, tender documents, Memorandum of Understanding (MOUs), tenancy agreements and other commercial documents. ·       Developing and setting in place internal legal processes and guidance for the various PA Divisions and GROs, including setting up a repository of legal advice. ·       Advising and managing potentially contentious matters. ·      Managing and liaising with external lawyers; and ·      Undertaking such other tasks/projects as may be assigned from time to time. Prerequisites of the Candidate ·       Possess a law degree and be called to the Singapore Bar (or other commonwealth jurisdictions). ·       Have at least 4 years post-qualification experience. ·       Corporate work experience (especially in contract law) would be an advantage. ·       Versatile and self-motivated with strong analytical skills. ·       Able and willing to multi-task and work well under pressure handling a wide range of legal work. ·       Good communication and interpersonal skills; the ability to write and reason clearly and compellingly is essential. ·       Team player who is also able to work independently with minimal supervision. Talents@Work Pte Ltd (21C0501) Lee Kit Ying Deanna (Li Jieying) (1655011)",0.36418937904713305
12 Months Admin Assistant - Education Sector ($2000 to $2300)  #NJN,"1 Year Contract Mon-Fri, 9am to 6pm Dhoby Ghaut Key Responsibilities Application Processing Enter applicant data accurately into the admissions systems. Screen application forms and supporting documents for completeness and accuracy. Check and verify application fees paid by applicants. Verify applicant documents against official identification to ensure compliance. Liaise with course consultants for missing or additional information when required. Offer Management Prepare and issue offer letters for successful applicants in line with institutional policies. Support the issuance of conditional or unconditional offers and required documents based on the programme admission requirements. Compliance & Quality Assurance Ensure all admissions records comply with regulatory requirements. Promptly flag discrepancies or fraudulent documents to supervisors. Maintain strict confidentiality of applicant data in compliance with the Personal Data Protection Act (PDPA). Administrative Support Collaborate with colleagues in the Admissions and Recruitment team to ensure a smooth and efficient admissions process for students. Requirements Diploma or equivalent qualification; prior experience in education administration or admissions will be an advantage. Proficient in MS Office applications and student information systems (training will be provided if needed). Jessica Nguyen Huynh Thanh Truc CEI Reg. No. R23113787 EA License No. 99C4599 We regret that only shortlisted candidates will be notified.",0.3627001017572299
Administrative Assistant,"We are a member firm of Rajah & Tann Asia, one of the largest regional networks comprising award winning law firms with offices in 10 countries. Individually, each firm offers the highest standards of service to locally based clients. Collectively, we handle the most complex regional and cross border deals. With over 1000 fee earners in the region working toward one shared goal of giving our clients the home advantage, we are the Lawyers Who Know Asia . Responsibilities: Prepare generic legal letters and documentation; Provide general administrative support; Prepare, collate and issue bills to clients; Check bills and work with Finance on billing issues with clients; Any other duties as assigned. Requirements: Prior experience as a billing and/or administrative assistant is preferred, but not necessary Keen willingness to learn, work hard and expand capabilities Organised, personable and good time management Team player and willing to work under pressure Good proficiency in Microsoft Office applications Strong attention to detail and problem solving skills Good written and verbal communication skills Willing to relocate to Singapore",0.3621321825665623
