title,description,avg_similarity
Process Engineer (Jurong),"Define processes, system specifications, and input-output parameters to ensure hardware and software compatibility. Conduct device qualification and application activities, developing optimized processes to meet or exceed customer requirements. Collaborate with cross-functional teams to design and implement effective process solutions. Provide technical training and support to customers during new product or process introductions, equipment buyoff, and post-sales troubleshooting. Assist in the development and execution of engineering plans and programs. Perform field visits or travel as required. Requirements Bachelor’s or Master’s degree in Engineering or Science related field Preferable 3-5 years of process experience on high precision electro- mechanical components and system Working experience in semi-conductor industry preferred We regret only shortlisted candidates will be contacted. All applications will be handled confidentially. By submitting your application, you agree to the collection, use, retention, and disclosure of your personal information to prospective employers. Wecruit Pte Ltd | EA License No: 20C0270 EA Personnel No: R22110981| EA Personnel Name: Law Mei Fong",0.3737460596351646
Electrical/Electronic Engineer,"Job Title: Electrical/Electronic Engineer Location: Singapore About Us: We are a leading AI and robotics company at the forefront of technological innovation, dedicated to creating cutting-edge solutions that revolutionize industries. As we continue to grow, we are seeking talented Electrical/Electronic Engineers to join our team. Job Description: dConstruct is looking for electrical/electronic engineers to join our vibrant and driven systems integration team working on solving challenging problems in robotics. As an electrical/electronic engineer at dConstruct, you will be designing, building and integrating robotic systems needed to solve complex real-world problems. You will be working with clients to understand their needs and, in turn, implement their requirements accordingly. Responsibilities: 1. Electrical and Electronic circuit design for robotics systems, actuators, sensors and systems integration. 2. Create schematics and PCB layouts for power distribution modules, motor driver circuits, actuator control electronics, peripheral and sensor interfaces. 3. Prototype and debug electrical and electronic circuits. 4. Create specifications and design schemes. 5. Select components and vendors. 6. Work with internal/external partners to support manufacture of sub-systems. 7. Work on cross functional systems design and test with mechanical, software, and robotics engineers. 8. Diagnose and resolve technical issues. 9. Define test plans and evaluate reliability. 10. Testing, deployment and commissioning of systems. Requirements and Skills: 1. Bachelor's degree in electrical engineering, electronics engineering, or other related fields. 2. 5+ years experience in electrical/electronic design engineering. 3. Experience in power distribution modules, motor driver circuits, actuator control electronics, peripheral and sensor interfaces. 4. Experience and knowledge in robotics fields is preferred. 5. Experience with PCB design and PCB design software such as KiCAD or Altium 6. Basic knowledge of C/C++. 7. Familiarity with sensors, actuators and design constraints common to robotic systems 8. Familiarity with industrial safety standards. 9. Good technical communication skills 10. Able to work independently with some guidance",0.3711037656941159
R&D Engineer (Mechanical Engrg/MFG Industry/Entry level Welcome),"New Product Development Proceeds development according to implement plan Makes functional specification Proceeds electrical, or firmware design Plans and proceeds prototype model evaluation and prepare evaluation to reports. Re-design of Products Supports Lead Engineer to estimate return and investment. Proceed re-design according to implementation plan. Proceeds electrical, mechanical or firmware design. Plans and proceeds prototype model evaluation and prepare evaluation report. Makes up product manufacturing standard. Technical Support Prepares technical information for parts localize and price negotiation. Supports production line if necessary according to superior’s direction. Supports parts faculty/investigation according to superior’s direction. Requirements: Bachelor of Mechanical Engineering or its equivement. Experience in analog or digital electrical hardware design Entry level are welcome to apply. Electronics Manufacturing Industry East/Bedok 5 days work week Interested Applicants, kindly email your detailed resume via email to hr@tempserv.com.sg Tempserv Pte Ltd License No: 06C3745 Tel: 62226441 Attention: Audris Teo / EA Personnel No: R1102063",0.36399101084926805
"Staff Engineer, Chemical, Global Facilities","Welcome! Are you ready to be at the forefront of ground breaking Engineering within the semiconductor industry?! Micron Technology, Inc., a global leader in memory and storage solutions, is seeking a dedicated and experienced Senior Engineer to join our Chemical team within the Global Facilities Engineering department. In this crucial role, you will play a vital part in providing high-quality Engineering services and support for the planning, design, construction, operation, and maintenance of our subject area specific Facilities systems across our Semiconductor Manufacturing sites worldwide for Chemical systems and Slurry systems. Responsibilities: Technical Support, Leadership, and Expertise Act as the Technical Field Domain Expert, offering consultation and support to all Site Facilities and Manufacturing teams. Collaborate with internal partners such as Technology Development, Procurement, Finance, and Legal to champion multi-functional collaboration. Develop, review, and maintain companies global system, equipment, and component Standards, Specifications, and Best Known Methods (BKMs) to ensure excellence in engineering practices. Implement Standardization and Alignment across Micron's Global Network and Sites for Engineering and Design concepts, Construction Project execution, Reliability Programs deployment, and Operations and Maintenance practices. Find opportunities for improvement in system designs to improve performance, efficiency gains, reduce maintenance, and achieve cost savings. Benchmark both within and outside Micron to capture Engineering Best Practices and Well Known Methods for Facilities buildings and systems. Stay up-to-date with industry trends, technological advances, emerging technology roadmaps, design innovations, and sustainability practices. Design and Construction Project Support: Provide valuable support to the Design teams in the Engineering development of new large-scale Facilities Infrastructure Expansion projects. Ensure that designs align with all applicable standards, codes, and regulations. Build and refine system design concepts for deployment. Ensure effective communication with local Facilities, Design, Construction, Procurement, and Manufacturing partners to deliver project objectives seamlessly. Conduct timely and thorough review of design packages, offering detailed comments and feedback to ensure the success of the projects. Assist in providing cost and schedule estimates and justifications for project approvals. Supervise progress and provide engineering expertise during construction as required per project if vital. Participate and lead capacity databases and system operating trends throughout the network, validating utilization and diversity factor assumptions. Review and guide on scope, schedule, and cost estimates for Facilities infrastructure additions or modifications. Global Initiatives Program Support: Take charge of Global Facilities Programs & Initiatives, including establishing and defining program objectives, roadmaps, and high-level implementation plans. Lead Sustainability Programs in alignment with Micron's Corporate Sustainability goals and initiatives. Job Requirements: Bachelor’s Degree in Mechanical, Chemical, Process, or Industrial Systems Engineering required. Minimum 7 to 10years experience in Semiconductor and/or Facilities related industry. Technical expertise, knowledge, and experience on Facilities and Semiconductor Chemical Systems including Bulk & Normal Chemical Systems, Chemical Blending Systems, Slurry Systems, Valve Manifold Boxes, Hazardous and High Purity Chemicals and Piping, and Chemical Distribution Systems. Ability to prioritize and schedule workload and work on multiple tasks concurrently. Self-motivated worker, good organizational skills and service demeanor. Excellent communication skills and good team working skills, English Required. Familiarity with Semiconductor Manufacturing and Facilities systems. Ability to travel internationally 25-40% on average, but up to 50-66% of the time during Critical Project phases or Site Activities. Provides engineering for semiconductor manufacturing site facilities changes for plant, office, and production equipment layouts, including semiconductor tool installations and R&D applications, working toward economy of operation, maximum use of facilities and equipment, and compliance with laws and regulations. Prepares bid sheets and contracts for construction and facilities acquisition. Completes engineering for requested changes to develop estimates for design costs including equipment, installation, labor, materials, preparation and other related costs for semiconductor manufacturing sites, including R&D applications. Inspects construction and installation progress for conformance to established drawings, specifications, and schedules. Develops criteria and performance specifications required to meet unique operating requirements and building and safety codes.",0.36224372308395575
Electrical Engineer,"Job Responsibilities i. Design and Development Design and develop electrical systems and components used in wafer probers, including sensors, actuators, control systems, and power distribution. Create detailed electrical schematics, wiring diagrams, and layout drawings using CAD software. Conduct feasibility studies, simulations, and analyses to validate design concepts and performance. ii. Prototyping and Testing Build and test prototypes to evaluate the performance and reliability of electrical systems. Conduct experiments and tests to ensure that designs meet performance criteria and industry standards. Analyze test results and make necessary design adjustments to improve functionality and efficiency. iii. Collaboration and Communication Work closely with cross-functional teams, including mechanical, software, and systems engineers, to ensure seamless integration of electrical systems with material handlers and wafer probers. Communicate design concepts, progress, and issues to stakeholders and team members. Collaborate with customers to understand their requirements and provide technical support and solutions. iv. Innovation and Improvement Stay updated with the latest advancements in electrical engineering and semiconductor industry trends. Identify opportunities for innovation and continuous improvement in electrical solutions for material handlers. Implement feedback from field tests and customer use to refine and enhance designs. v. Project Management Manage electrical design projects from concept to completion, ensuring timelines and quality standards are met. Prepare and maintain project documentation, including design reports, test plans, and technical manuals. Coordinate with project managers and other engineers to align with project goals and deadlines. vi. Quality Assurance and Compliance Ensure all electrical designs comply with industry standards, safety regulations, and company policies. Conduct risk assessments and implement safety measures in design and testing processes. Document and address any potential hazards associated with electrical systems. Required Skills and Qualifications 1. Technical Skills Proficiency in CAD software (e.g., AutoCAD Electrical, EPLAN) for designing electrical systems. Strong understanding of electrical principles, control systems, and power distribution. Knowledge of sensors, actuators, and other electrical components used in material handling systems. Familiarity with PLC programming and automation technologies. 2. Analytical and Problem-Solving Skills Strong analytical skills to assess system performance and identify areas for improvement. Ability to troubleshoot and resolve complex electrical design issues. Excellent problem-solving skills and attention to detail. 3. Education and Experience Bachelor’s or master’s degree in electrical engineering, mechatronics, or a related field. Relevant experience in designing electrical systems for material handling or semiconductor equipment. Experience with wafer probers or semiconductor testing equipment is advantageous. 4. Soft Skills Excellent communication and teamwork skills. Ability to work independently and manage multiple projects simultaneously. Strong organizational skills and a commitment to producing high-quality work. Additional Responsibilities · Supplier and Vendor Management Work with suppliers and vendors to source high-quality electrical components for material handling systems. Evaluate and select suppliers based on quality, cost, and reliability. Manage relationships with suppliers to ensure timely delivery of components and materials. · Training and Support Provide technical support and training to manufacturing and maintenance teams on electrical systems. Develop and maintain training materials and technical documentation for end-users. Assist in the resolution of customer issues related to electrical systems. · Sustainability and Efficiency Promote sustainable practices and environmental responsibility in electrical design activities. Identify and implement measures to improve efficiency and reduce waste in electrical processes. Conduct regular reviews and audits to ensure compliance with sustainability goals. · Customer Focus Develop and maintain strong relationships with key customers. Ensure that electrical solutions meet or exceed customer expectations. Act as a primary point of contact for customer inquiries and issues related to electrical systems.",0.35938916041052565
Product Engineer (West) - Up to $3500,"Job Description: · Conduct research to understand user needs, market trends, and product requirements. · R&D and/or source for new products for company to add to its product line. · Develop detailed mechanical designs, including drawings, models, and specifications. · Collaborate with engineers to ensure designs meet technical requirements and performance standards. · Select appropriate materials and manufacturing processes for product designs. · Assist in the build and test of prototypes to validate design concepts and functionality. · Analyse test results and refine designs to address any issues or improve performance. · Work closely with cross-functional teams, including industrial designers, electrical engineers, and manufacturing teams, to bring products from concept to production. · Participate in design reviews, provide feedback, and make necessary adjustments based on input from stakeholders. · Communicate effectively with suppliers and vendors to ensure the feasibility and cost-effectiveness of designs. · Create and maintain detailed documentation of designs, including specifications, calculations, catalogues and revisions. · Any other ad-hoc duties as assigned. Requirements: · Minimum Diploma in Electrical Engineering, Industrial Design, or a related field. · At least 2 years of experience in mechanical product design. · Proficiency in CAD software (e.g., SolidWorks, AutoCAD). · Strong knowledge of product development processes, materials, and manufacturing processes. · Ability to work collaboratively in a team environment and communicate effectively. Interested and suitable candidate kindly click quick apply. Resume will be forwarded to Stepfan Soon Yit We regret that only suitable candidate will be notified. GEMS Recruit/EA License : 23C1459 EA Personnel No : R24120893 (Stepfan Soon Yit)",0.354826736006847
Engineering Assistant / Technician (MNC/Office Hour/West),"Engineering Assistant / Technician (Industrialization) 📍 Location: West Region About the Role We are looking for a hands-on Engineering Assistant / Technician to support our Industrialization and New Product Introduction (NPI) activities. This role works closely with engineers to help bring new products from design into smooth, efficient manufacturing. If you enjoy working on the production floor, documenting processes, and supporting new product builds, this role is for you. Key Responsibilities Support Industrialization Engineers on new product introduction (NPI) and continuation projects Assist in setting up and documenting production floor layouts Create Work Instructions (DWI) and process flow diagrams Collect and analyze basic manufacturing process data Support prototype and pilot builds Assist with process improvement and cost reduction initiatives Collaborate with cross-functional teams to meet project goals Communicate clearly with engineers, production teams, and stakeholders Requirements Diploma / ITE in Electrical, Electronics, or related engineering field Minimum 3 years’ experience in manufacturing or assembly environment Familiar with manufacturing processes and documentation Basic problem-solving skills and attention to detail Comfortable using Microsoft Office, Visio (or equivalent) and email Organized, proactive, and able to work well with different teams Benefits / Perks: Hands-on experience in new product launches Exposure to manufacturing engineering and industrialization 📩 Apply now and grow your career! (Only shortlisted candidates will be notified) EnviroDynamics Solutions Pte Ltd I EA License No.: 12C6285 Lee Pui Shan I Reg. No: R25157211 Email CV to : jessicalee@envirodynamics.com.sg By submitting your personal data and/or resume, you give consent to the collection, use and disclosure of your personal data and/or resume by the company (or its agent) for the purpose of the processing and administration by company relating to this job application",0.35392614856761867
"Senior Engineer, Global Facilities - Instrumentation & Controls","As a Senior Engineer, Instrumentation & Controls for the Global Facilities Engineering department at Micron Technology, Inc., you will be responsible to provide Engineering system ownership and technical support for the planning, design, construction, operations, and maintenance programs of the critical Facilities systems. In this role, you will support the Micron Semiconductor Manufacturing sites across the network, including Facilities and Manufacturing teams, through all phases of design, construction, installation, start-up, operations and maintenance with focus and emphasis on Global Standardization and Alignment, Innovation, Reliability and Performance, and Sustainability. The Facilities system ownership and responsibilities include for the I&C, FMCS, SCADA, Life Safety Systems, Toxic Gas Monitoring, Telecom, and Security systems, as well as the Controls interfaces with other Facilities Mechanical, Electrical, Process, and Building systems.  This role will also lead the Facilities Digitalization and SMART Facilities program initiatives. Provide Technical Support, Leadership, and Expertise Provide consultation and support to Global, Regional, and Site Facilities and Manufacturing teams as the Technical Field Domain Expert. Collaborate with internal partners and collaborators including Technology Development Team, Procurement, Finance, Legal, etc. Analyze system designs to identify improvements that will result in better performance, efficiency gains, reduced maintenance, and cost savings Support sites with problem analysis using standard tools and methodologies as requested Benchmark within and external to Micron sites on Engineering Best Practices and Best Known Methods (BKM) of Facilities buildings and systems Maintain technical knowledge domain expertise on your respective subject area including for Industry Standards and Best Practices, Trends and Technological advances, emerging technology roadmap, Design Innovations, Sustainability, Digitalization, etc. Provide Design and Construction Project Support, Leadership, and Expertise Support the Micron Global, Regional, and Site Design and Construction project teams in the Engineering and Design development for new large-scale, Facilities Infrastructure Expansion projects Develop, review, and maintain the Micron Global Design and Construction Standards and Construction Specifications with focus and emphasis on Engineering Design and Construction of your respective systems. Develop the system design concepts for your respective field systems to be deployed into the Design and Construction Projects, including for Control System Architecture, System P&IDs, Sequence of Operations, and Functional Description of System Operations Ensure that project scope meets customer and requestor needs Ensure appropriate communication and collaboration with Facilities, Design, Construction, Procurement and Manufacturing stakeholders, to deliver project objectives and results Perform timely review of design packages and providing documented comments and feedback as necessary.  Ensure designs are in compliance with all standards, codes, and regulations Monitor progress and provide Engineering and Design support during construction projects Provide support for project cost and schedule estimates and justification for approval Provide supervision and coordination of Consultant resources Review capacity planning databases and system operating trends across the network and validating utilization and diversity factor assumptions Participate and/or lead capacity and scenario planning across the network, including evaluation of system and distribution capacity impacts based on scenario changes Review and advise on scope, schedule, and cost estimates for Facilities infrastructure additions or modifications Provide Global Initiatives Program Support, Leadership, and Expertise Develop, review, and maintain Micron Global Best Known Methods (BKM) documents with focus and emphasis on Operations and Maintenance Reliability and/or Performance Lead & own the Global Facilities Programs & Initiatives, including establishing and defining the program objectives, roadmaps, and high-level implementation plan Lead the Global Facilities Digitalization and SMART Facilities Programs in support of Micron’s Corporate Digitalization goals and initiatives Lead the Global Facilities Sustainability Programs in support of Micron’s Corporate Sustainability goals and initiatives Collect and consolidate Lessons Learned and feedback from Micron Global, Regional, and Site teams to incorporate into the Micron Global Standards and BKMs Job Requirements: Bachelor’s Degree in Mechanical, Electrical, Chemical, or Industrial Engineering required Minimum 7 to 10-years experience in Semiconductor and/or Facilities related industry Technical expertise, knowledge, and experience on Facilities and Semiconductor Instrumentation and Controls systems, including I&C, FMCS, SCADA, Life Safety Systems, Toxic Gas Monitoring, Telecom, and Security systems, as well as the Controls interfaces with other Facilities Mechanical, Electrical, Process, and Building systems Ability to prioritize and schedule workload and work on multiple tasks concurrently Good organizational skills and Service demeanor Excellent interpersonal skills and good team working skills, English Required Self-motivated worker Familiarity with Semiconductor Manufacturing and Facilities systems Ability to travel internationally 15-25% of the time on average, but up to 30% of the time during Critical Project phases or Site Activities",0.3529732439945382
Mechanical Design Engineer (Machine Design),"Job Description: Drive the design of next-generation semiconductor automation equipment and modules, transforming ideas into functional designs and prototypes. Create detailed fabrication, assembly, and layout drawings using 3D CAD tools, such as CREO , SolidWorks , or other acceptable software. Perform structural, kinematic, and dynamic analyses, including Finite Element Analysis (FEA) simulations and tolerance stack-ups, to ensure design robustness. Work with software, electronics, and vision engineering teams to integrate mechanical designs into complete system solutions. Apply Design for Manufacturing (DFM), Design for Assembly (DFA), and concurrent engineering principles to ensure efficient and robust designs. Develop and validate pneumatic and hydraulic circuits and ultra-precision, high-speed pick-and-place mechanisms. Contribute to design standardization, cost optimization, and project management for research and development initiatives. Job Requirement: Minimum Degree in Mechanical Engineering or related field Minimum 5 year working experience in Mechanical Design in Automation/ Semiconductor Industry To submit your application, please apply online to apply@rn-care.com or call +(65) 6513 5697 for private and confidential discussion. Your interest will be treated with the strictest of confidence. We regret that only shortlisted candidates will be notified or contacted. RN Care Pte. Ltd EA License No: 17C8900",0.3511331765652219
Product Engineer (Marine),"The company specializes in providing the marine and offshore industry with sustainability solutions. We focus on providing our customers with innovative solutions so that they can meet their companies’ ESG (Environment, Sustainability and Governance) goals, providing solutions for the energy transition, and marine maintenance, repair and overhaul. Responsibilities: · Mechanical Design & Development Skill: Translate product and system requirements into manufacturable mechanical designs, considering performance, safety, and production constraints. · Product Development: Build and test prototypes, analyze test results, and iterate designs to improve reliability, performance, and manufacturability throughout product lifecycle. · Machinery Arrangement & Layout Planning: Develop machinery arrangement and layout plans to optimize space utilization, accessibility, safety, and maintenance. · Conduct research to understand user needs, market trends, and product requirements. · Create detailed design concepts and prototypes using CAD software and Solidworks modelling software. · Develop detailed mechanical designs, including drawings, models, BOMs, and specifications. · Collaborate with engineers to ensure designs meet technical requirements and performance standards. · Work closely with cross-functional teams, including industrial designers, electrical engineers, and manufacturing teams, to bring products from concept to production. · Participate in design reviews, provide feedback, and make necessary adjustments based on input from stakeholders. · Communicate effectively with suppliers and vendors to ensure the feasibility and cost-effectiveness of designs. · Create and maintain detailed documentation of designs, including specifications, calculations, and revisions. · Any other ad-hoc duties as assigned. Requirements: · Minimum Diploma in Mechanical Engineering, Industrial Design, or a related field. · At least 2 years of experience in mechanical product design. · Proficiency in CAD software (e.g., SolidWorks, AutoCAD). · Strong understanding of mechanical principles, materials, and manufacturing processes. · Ability to work collaboratively in a team environment and communicate effectively. · Fresh graduates with relevant skills and a strong portfolio are welcome to apply.",0.3490120065082278
