title,description,avg_similarity
Finance / Accounting Trainer (Freelance/Part Time),"Position Overview: WLP Academy is looking for a skilled and experienced Accounting/Finance Trainer to join our team. The Trainer will play a key role in providing top-notch training, ensuring adult learners achieve effective learning outcomes and assessments. This role demands a strong commitment to upholding assessment integrity while contributing to a positive and engaging learning environment. The ideal candidate will be passionate about teaching and dedicated to promoting a culture of excellence. Training Delivery: •	Participate in curriculum improvements and deliver course content in alignment with WLP’s curriculum and learning standards. •	Facilitate manual and digital assessments to evaluate and track learner performance and progress. •	Delivery of Core Accounting Concepts: Double Entry, Accounting Standards & Accounting Cycle •	Financial Statement Analysis: Guide learners on how to read and interpret the Profit & Loss (Statement of Comprehensive Income) and Balance Sheet (Statement of Financial Position). •	Interpretation of financials: Teach calculation of key financial ratios (Current Ratio, ROI, Gross Margin) to assess business health. •	Data Analytics & Visualization: Guide learners on extracting raw financial data and transforming it into actionable insights. •	Ensure learners meet the specified course learning objectives through engaging and effective teaching methods. •	Conduct engaging, practical training sessions (in-person, virtual, or hybrid). •	Adapt delivery style to suit different audience types (e.g., professionals, entrepreneurs, junior staff). •	Encourage participant interaction, learning, and real-world application. •	Provide practical exercises and simulations in financial statements analysis Assessment Integrity: •	Uphold the highest standards of assessment integrity, ensuring that assessments follow WSQ guidelines and internal policies. •	Ensure that all assessment questions are marked, and learners' answers are accurately evaluated. •	Verify that all questions are answered and attempted by learners. Incomplete responses should not be marked as “pass.” •	Conduct and properly document oral recovery sessions, ensuring transparency and consistency. •	Prevent instances of “flashing” answers and address any behaviors that compromise assessment integrity. •	Ensure incorrect answers are not marked as ""pass""; only correct answers aligned with the assessment criteria should be considered. Administrative Responsibilities: •	Complete and submit Assessment Summary Records (ASRs) and other required documentation in a timely manner. •	Maintain accurate records of attendance, assessments, and learner-related data. •	Ensure that all training materials remain up-to-date and relevant in accordance with industry standards. Learner Support and Engagement: •	Provide constructive feedback on assessments and offer guidance for learners to improve. •	Address learner concerns professionally, promoting a supportive and positive learning environment. •	Foster inclusivity and respect in the classroom, ensuring equal learning opportunities for all students. Requirements •	ACLP (Advanced Certificate in Learning and Performance) or ACTA (Advanced Certificate in Training and Assessment) certification is required. •	Degree in Accounting, Finance, or a related field. •	Professional certification (e.g., CA, ACCA, CPA) is a plus. •	At least 3–5 years of practical accounting experience. •	Strong presentation, facilitation, and interpersonal skills. •	Prior training or teaching experience is highly desirable. •	Ability to simplify complex financial concepts for diverse learners.",0.43279987923261726
Valuation Advisory Manager,"Grant Thornton is a global professional service network of more than 73,000 people in 150 markets. Our team in Singapore is growing rapidly – and we know this success is made possible by our people. That’s why we make sure our people have the right tools and environment to thrive. Each individual at Grant Thornton Singapore is empowered to be themselves within an inclusive team. Our supportive structure gives our people the autonomy to shape their careers and drive positive change the firm. It’s an exciting time to join us as we grow with organisations of all sizes and industries to create change in Singapore, across the region and in the world. The Valuation team Our Valuation team blends technical expertise with a pragmatic outlook to deliver support during the financial reporting process, transactions, restructuring and disputes. The Valuations team creates meaningful value tailored to the needs of each client and is agile and adaptable to market developments. Responsibilities Perform valuations for businesses, intangible assets, financial instruments, etc., for the purpose of financial reporting, transactions, and litigation support Conduct market and industry research, construct and analyse financial models, and ensure best practices and quality in valuation work Support in pitching new projects, including preparation of proposals, engagement letters, marketing materials, and technical documents Perform purchase price allocations for post-transaction financial reporting purposes. Prepare comprehensive valuation reports and review memos which meet the requirements of internal and external clients. Assist in client management, practice development, and business development activities Build and maintain client relationships before, during, and after engagements Mentor and conduct training sessions for team member Qualifications and skills At least 5 years of relevant experience in valuation advisory in a professional services firm Recognised degree in Accounting, Finance, Business or other related fields or equivalent professional qualifications Familiar with Singapore Financial Reporting Standards, IFRS and US GAAP Strong written and verbal communication and presentation skills Good understanding of business valuation concepts and the ability to analyse situations and recommend valuation approaches and next steps Familiarity with key valuation methodologies Strong work ethic and ability to adapt to new challenges in a collaborative team environment Excellent problem-solving skills and ability to prioritise client engagements",0.4323750810674168
"Manager, Treasury & Governance, Office of Finance","COMPANY DESCRIPTION Singapore Management University is a place where high-level professionalism blends together with a healthy informality. The 'family-like' atmosphere among the SMU community fosters a culture where employees work, plan, organise and play together - building a strong collegiality and morale within the university. Our commitment to attract and retain talent is ongoing. We offer attractive benefits and welfare, competitive compensation packages, and generous professional development opportunities - all to meet the work-life needs of our staff. No wonder, then, that SMU continues to be given numerous awards and recognition for its human resource excellence. RESPONSIBILITIES Responsible for financial books of the University's subsidiaries, ensuring compliance with Singapore FRS and any local statutory requirements. Lead financial audits and statutory filings of overseas operations, as required by local regulations. Oversee monthly and annual close process and full financial reporting (all functions) of overseas operations. Keep abreast of new tax rules and guidance, in Singapore and locations where the University operates and assess impact to the University. Perform assessments of complex accounting issues and address queries on accounting and other financial matters. Engage in business partnership with other University departments, provide financial support and business insights. Develop and implement accounting policies, procedures and controls, governance framework for all overseas entities. Provide recommendations for continuous improvement on policies and processes. Design financial analysis to extract key insights from financial data. Prepare key reports, papers and presentations to senior management, the Board, and other stakeholders. Coordinate interactions both within Finance and with other internal and external stakeholders, eg represent SMU in independently liaising with external stakeholders (e.g. auditors, lawyers, bankers) and internal stakeholders (e.g. senior management). Manage/support systems implementation and related IT projects e.g. HRFS project. Lead/support finance related and cross department projects. Oversee the work of the direct reports, including the outsourced vendor and all offshore accounting staff. Other ad-hoc duties and responsibilities. QUALIFICATIONS Degree or professional qualification in Accounting or Finance with at least 5 years of relevant financial accounting experience. Prior experience in external audit or exposure to international operations, tax, or financial governance would be advantageous. Candidates with Chartered Accountant (CA) / Certified Public Accountant (CPA) would have an advantage. Prior experience in the government or education sector and/or management of overseas entities would be preferred. Strong technical knowledge in accounting, well versed in FRS and its application. Experience in process flow, governance and compliance matters. Highly proficient in Microsoft Office applications. Strong written and verbal communication and presentation skills. Knowledge and hands-on experience in SAP will be advantageous. Highly motivated individual, resourceful and able to multi-task and work independently. Good analytical and organization skills, able to work flexibly to lead projects and demonstrate critical thinking to problem solve. Effective team lead in a hands-on management capacity. Proactive and mature team player with good interpersonal skills who can communicate effectively with internal and external stakeholders. OTHER INFORMATION #LI-JN2 Candidates who do not possess the stipulated qualifications but have relevant work experience may still apply. Remuneration and appointment terms shall commensurate with qualifications and experience. SMU reserves the right to modify the appointment terms where necessary. Please note that your application will be sent to and reviewed by the direct employer - Singapore Management University",0.43172465663548054
"Manager/Senior Manager (2-year contract), IIE","COMPANY DESCRIPTION Singapore Management University is a place where high-level professionalism blends together with a healthy informality. The 'family-like' atmosphere among the SMU community fosters a culture where employees work, plan, organise and play together - building a strong collegiality and morale within the university. Our commitment to attract and retain talent is ongoing. We offer attractive benefits and welfare, competitive compensation packages, and generous professional development opportunities - all to meet the work-life needs of our staff. No wonder, then, that SMU continues to be given numerous awards and recognition for its human resource excellence. RESPONSIBILITIES This position is for Institute of Innovation & Entrepreneurship (IIE). Financial Management and Reporting: Drive the budgeting and forecasting exercises. Manage day-to-day financial operations, including financial control over budget expenditure and revenue collection and financial reporting. Ensure the finances of the Institute align with approved workplans and financial regulations of SMU. Financial Analysis: Undertake financial and performance analysis to align actual results with strategic plans. Compliance and Governance: Ensure compliance with university financial policies, procedures and controls. Oversee audit requirements for various grants and liaise with internal and external auditors. Training and Advisory: Provide training and advice on financial, procurement and administrative issues to staff. Proactively identify and resolve related issues. Policy and Procedure Oversight: Review discrepancies and implement improvements in finance, procurement and administrative policies, systems and controls. Maintain and update on the Institute's policies and procedures. Grant Management: Manage track and report on various grants received. Other duties as assigned. QUALIFICATIONS Diploma or Degree from a university, in accountancy, finance, business or management, with 5 to 8 years of relevant work experience. Proficient in financial analysis, including budgeting, forecasting, and variance analysis. Proficient in financial software and tool, such as SAP, Excel, Oracle etc. Strong knowledge in budget, grant administration and financial management principles. Ability to analyse and interpret financial data to provide insights and recommendations for decision-making. Experience with financial reporting, including preparation of financial statements and regulatory compliance. Adaptable technical skillsets. Able to generate, populate and interpret data and report with in-house application systems. Effective communication skills, both verbal and written, to convey financial information and analysis to stakeholders. Detail-oriented and team oriented with a strong desire to be successful. A keen sense of ownership and accountability, and act with a sense of urgency to meet tight deadlines. Humble, authentic, values hard work, creative problem solver. Prior experience in education sector or knowledge of investment accounting would be advantageous. OTHER INFORMATION #LI-XL1 Candidates who do not possess the stipulated qualifications but have relevant work experience may still apply. Remuneration and appointment terms shall commensurate with qualifications and experience. SMU reserves the right to modify the appointment terms where necessary. Please note that your application will be sent to and reviewed by the direct employer - Singapore Management University",0.4251522774355773
Analyst – Investor Relations & Corporate Development,"About CapBridge CapBridge, a member of FOMO Group, is a leading digital investment platform headquartered in Singapore. As a Capital Markets Services licensee, CapBridge is regulated by the Monetary Authority of Singapore (MAS) to deal in capital markets products, including securities and collective investment schemes, and to provide custodial services. It is also an exempt financial adviser licensed to issue or promulgate analyses and reports on investment products. CapBridge enables HNWIs and institutional clients to invest in traditional and digital assets via its one-stop digital investment platform, providing highly curated, top-quality, and institutional-grade opportunities to meet clients' diverse asset allocation needs. Through CapBridge's associated company, FOMO Pay Pte Ltd, a regulated MAS Payment Services Act (PSA) Digital Payment Token (DPT) entity, qualified clients can also invest into CapBridge curated products using DPTs, providing a seamless bridge between Traditional Finance (TradFi) and Web3 Finance. About the Role! This role is ideal for individuals who are intellectually curious, commercially minded, and motivated by building—not just advising on—the future of financial services. We are seeking a highly analytical and execution-focused Analyst to support the Investor Relations and Corporate Development function. This role will work closely with the senior Investor Relations lead to support fundraising, investor communications, financial analysis, and strategic initiatives across the group and its operating companies. The role requires strong financial rigor, including hands-on financial modelling, alongside the ability to develop, structure, and storyboard high-quality investor and executive-level presentations. Key Responsibilities Investor Relations & Fundraising Support · Support fundraising initiatives by preparing high-quality investor materials, including pitch decks, 	financial models, and investor updates. · Assist with investor outreach tracking, follow-ups, and pipeline management. · Coordinate and manage data rooms and due diligence materials for fundraising processes. · Conduct market, investor, and peer benchmarking research to support capital-raising efforts. Presentation Development & Storyboarding · Own the development, structuring, and storyboarding of investor presentations in collaboration with senior 	leadership. · Translate complex financial and strategic information into clear, compelling, and investor-ready narratives. · Create executive-level PowerPoint presentations for investors, board meetings, and internal stakeholders. · Ensure consistency of messaging, visuals, and data across all investor-facing materials. Financial Analysis & Modeling · Build and maintain detailed financial models, including forecasts, scenario analyses, and valuation models. · Analyse group and operating company performance to support investor reporting and strategic decisions. · Prepare sensitivity analyses and commercial assessments to support fundraising and strategic initiatives. Corporate Development & M&A Support · Support the evaluation of acquisition opportunities through financial analysis, market mapping, and 	benchmarking. · Assist in preparing investment memoranda and internal decision-making materials. · Support transaction execution processes in coordination with internal teams and external advisors. Reporting & Stakeholder Support · Support quarterly and ad hoc investor reporting, including performance summaries and KPI 	dashboards. · Coordinate inputs across finance, legal, and operating teams to ensure accuracy and alignment of 	investor materials. · Maintain a high standard of quality, accuracy, and professionalism across all communications. Qualifications & Experience · Bachelor’s degree in Finance, Accounting, Business, Economics, or a related discipline. · Minimum of 3 years’ experience in investment banking or a Big Four audit firm, with exposure to M&A 	advisory, transaction services, or corporate finance. · Proven ability to develop investor-ready presentations, including structuring and storyboarding 	complex financial and strategic narratives. · Strong financial modeling, valuation, and analytical capabilities. · Advanced proficiency in Excel and PowerPoint (or equivalent tools). · Excellent written and verbal communication skills, with strong attention to detail and visual clarity. · Ability to perform effectively under tight deadlines and manage multiple workstreams concurrently. · Comfortable working with senior executives, investors, and external advisors. · Highly proactive, hands-on, and execution-driven. · Fluent in both English and mandarin to manage Chinese stakeholders. Our Perks and Benefits: · Competitive Compensation and Benefit Package · Group Hospitalisation and Medical Insurance · Fun and Dynamic Environment with plenty of learning and growth opportunities · Career Advancement · Professional Development Training Workshops · Team Building Sessions",0.41937412017109965
Group Chief Financial Officer (CFO),"Financial Strategy Planning & Execution Lead the development and execution of the company/group’s financial strategy to drive measurable business growth and manage risks across banking, finance, and technology sectors Oversee financial planning, budget management, and capital allocation to support business expansion and enhance operational efficiency Financial System Establishment & Management Design and manage a financial reporting system tailored to multi-industry requirements, ensuring compliance with diverse financial reporting standards and information disclosure regulations Collaborate with professional service institutions in Singapore, China, Hong Kong, Japan, and the USA to align financial reporting with industry-specific standards and regulatory requirements Cross-Industry Project Management Lead end-to-end management of cross-industry projects by conducting due diligence, performing valuation analysis, and integrating resources to facilitate business expansion in real estate and technology sectors Drive synergy and integration of financial and operational resources to maximize project outcomes and business value Diversified Financing Strategy Develop and execute diversified financing strategies using equity and debt instruments to optimize the company’s capital structure Establish and maintain strategic relationships with financial institutions, industrial capital, and investment entities to attract external funding Funding Demand Assurance Monitor capital market and industry trends continuously to assess financing costs and implement effective fundraising initiatives that secure capital for business development and project investments Cross-Industry Resource Integration Integrate financial resources across industries by collaborating with professional service institutions to support and accelerate business implementation Core Management Experience Apply extensive financial management expertise across technology, finance, and real estate industries to lead cross-industry financial operations and overall management Support cross-city collaboration by undertaking monthly domestic inter-regional business trips to China, Japan, and the USA as required Financial Team & Digital Management Lead and develop the financial team to enhance capabilities and performance Drive the upgrade and digital transformation of financial systems to improve data-driven decision-making across multi-industry business scenarios Industry Experience Requirements Apply over 5 years of banking experience combined with financial and management expertise in the technology sector to integrate finance and technology business needs Adapt quickly to diverse business characteristics and financial requirements across banking, finance, and technology industries through proven cross-industry management experience Language Proficiency Communicate effectively in both Chinese and English to facilitate collaboration across language-diverse business environments, supporting cross-regional business operations",0.4172788547844826
🦅 Junior Management Trainee 🧠,"Management Trainee – Sales & Marketing Looking to develop leadership skills and step into management? Start here. What You’ll Learn: 📚 Sales & marketing fundamentals 👥 Team management & leadership 📊 Business operations & strategy Why Euphoria Organization: 💰 Performance-based earnings 🎓 Direct mentorship from leaders 📈 Clear, structured advancement plan 🌱 Long-term career growth into management We believe people are our greatest asset – grow with us.",0.4152650735754432
Senior Accountant,"Senior Accountant / Accountant (Retail & E-commerce | Singapore) Our client is a growing retail and e-commerce company with an established presence across physical stores, online platforms, and department store channels. As part of its continued expansion, the company is seeking a hands-on and experienced Senior Accountant / Accountant to oversee the full spectrum of finance operations in Singapore. This is a critical role that will work closely with business stakeholders and play an integral part in financial management, cashflow planning, and business performance. This is an excellent opportunity for a motivated finance professional to take ownership of the finance function and contribute to business growth in a dynamic retail and supply chain environment. Key Responsibilities: • Lead and manage the full spectrum of accounting and finance operations for the Singapore business. • Oversee cashflow planning and cash management to ensure smooth operational funding. • Handle GST reporting, IRAS compliance, and corporate tax filings in accordance with local regulations. • Assist in the budgeting and forecasting processes to support strategic and operational planning. • Prepare financial reports, analysis, and insights to support management decision-making. • Manage relationships with banks, including banking facilities, financing arrangements, and all company bank accounts. • Develop, standardize, and strengthen finance policies, processes, and internal controls. • Supervise 1–2 direct reports within the finance team. • Partner with internal stakeholders across retail operations, supply chain, and e-commerce functions. • Support financial matters related to physical retail stores, online sales channels, and department store partnerships. Qualifications & Experience: • Bachelor’s degree in accounting, Finance, or a related field; professional certifications (ACCA/CPA/CA) are an advantage. • Strong experience in full-spectrum accounting and finance operations in a commercial environment. • Solid hands-on knowledge of cashflow management, banking matters, and financial controls. • Confident stakeholder manager, able to work closely with operational and business teams. • Hands-on, proactive, and adaptable, with the ability to work independently in a fast-paced environment.",0.4146556345420052
Business Development Executive / Senior Business Development Executive,"Company Overview / Employee Value Proposition OA Group of Companies (OA GOC) is a regional professional services group headquartered in Singapore, with an expanding presence across Malaysia and the region. We partner with business owners, CFOs, and leadership teams to build strong corporate foundations, enhance governance and compliance, and enable sustainable, long-term growth. Our integrated platform spans Audit & Assurance, Accounting & Outsourcing, Corporate Secretarial & Compliance, Tax Compliance & Advisory, Business Advisory, and Digital Transformation. By combining technical depth with commercial insight, we help clients move from operational stability to strategic scale. At OA GOC, we value professionalism, ownership, and long-term partnership — with our clients and with our people. Job Summary As OA GOC advances its growth strategy, the Business Development Executive and Senior Business Development Executive roles are critical to expanding our client base and deepening client relationships. You will originate and convert business opportunities, collaborate with internal teams to deliver integrated solutions, and contribute measurably to group-wide revenue growth within a professional services environment. Responsibilities Identify, qualify, and convert business opportunities within SME and mid-market segments to drive revenue growth Build and sustain trusted relationships with founders, CFOs, finance leaders, and senior executives to support long-term client retention Execute targeted outreach campaigns, network strategically, and leverage events, referrals, and partnerships to generate new leads Prepare and deliver tailored proposals and presentations that align with client needs and business objectives Manage and forecast your sales pipeline with discipline, ensuring accuracy and accountability for achieving targets Collaborate cross-functionally with service teams to design and implement integrated client solutions that enhance client outcomes Demonstrate commercial judgment and resilience to progress from opportunity execution to ownership of key accounts or growth initiatives Contribute visibly to group-level revenue growth through consistent pipeline development and client conversion Who We Are Looking For Demonstrate strong ownership mindset and resilience to meet performance-driven targets Communicate professionally and build relationships confidently with senior stakeholders Manage sales pipeline and execution with discipline and accuracy Exhibit commercial acumen and outcome-focused decision-making in client engagement Adapt and grow within a professional services environment, maintaining credibility and quality of engagement Backgrounds That Succeed in This Role Experience in business development, B2B sales, consulting sales, or professional services business development Understanding of finance, compliance, governance, or business operations is advantageous Professionals transitioning from accounting, audit, tax, or corporate secretarial roles seeking a commercial client-facing position Curiosity about business challenges and ability to ask structured, commercial questions Career Development Progression opportunities include senior business development leadership, key account ownership, sector-focused growth roles, or group-level commercial functions Advancement is merit-based, aligned with demonstrated performance, capability, and leadership potential What We Offer Clear and structured career progression pathways Mentorship and ongoing professional development opportunities Competitive base salary with uncapped incentive compensation A professional, performance-driven team environment A meaningful role in shaping OA GOC’s continued growth Why Join OA GOC Build a long-term career in business development within a respected professional services group Join a culture that values professionalism, accountability, and measurable impact Thrive in a role that offers autonomy, ownership of outcomes, and opportunities for growth alongside the firm",0.41368691073512426
"Analyst, Market Business Partner","Be a part of a revolutionary change At PMI, we’ve chosen to do something incredible. We’re totally transforming our business and building our future on one clear purpose – to deliver a smoke-free future. With huge change, comes huge opportunity. So, wherever you join us, you’ll enjoy the freedom to dream up and deliver better, brighter solutions and the space to move your career forward in endlessly different directions. Being part of the Finance team at PMI feels like building a new business – but with the accumulated expertise of a global brand behind you. Bring us your curiosity and capacity to engage people and you can be part of the Finance team that’s driving our commercial organization forward. Your ‘day to day’ In this role with Philip Morris Singapore Pte Ltd, you will
be responsible for the following: Financial Planning & Forecasting • Manage monthly & Financial Year volume forecast to
ensure forecast accuracy • Support monthly Integrated Business Planning, Monthly Business Updates & budget management - coordinate volume, Share of Market and financials target setting • Monitor key volume drivers across channels and seasonal cycles to enhance forecast accuracy and guide financial decision‑making. • Strengthen supply planning processes with the supply chain team to ensure accurate volume alignment, mitigate operational and inventory‑related risks, and enhance working capital efficiency. • Support Commercial budget, Original Budget/Rolling Forecast reporting and commercial budget allocation and deployment • Provide recommendations, insights, and Return of Investment evaluation on commercial initiatives, Point of Sale Marketing investment, contract outlets, Partner for Performance mechanics/analysis Commercial Finance/ Scenario Building • Deliver data‑driven performance evaluations to generate commercially relevant insights. • Analyze & simulate macro-economic trend to support strategic direction setting & decisions making • Support scenario modelling by analyzing key volume drivers and their implications for business performance. Commercial deployment • Ensure effective utilization of commercial resources to strengthen business performance oversight. • Define channel & customer segmentation and determine priorities • Develop and support channel / account strategy • Support commercial cycle objectives framing and deployment Who we’re looking for • Bachelor’s Degree or equivalent experience holder, preferably in Finance, Economics, or Business Administration. • Minimum of 3 years of related experiences • Strong business acumen and budgeting & forecasting skills. • Proficient in financial modeling, analytical, and problem-solving skills. • Excellent communication and interpersonal skills to effectively collaborate with diverse teams. • Proactive, results-oriented, and able to work independently as well as part of a team.",0.41278122486324675
