title,description,avg_similarity
Engineer - Process (Design),"Responsibilities: Preparation of process scheme/process flow diagram/FEED and process description Familiar with material and heat balance calculations and thermal rating of heat exchangers Development of process data sheets and able to perform NPSH/hydraulic calculation and equipment and line sizing Participate in Hazop Study and develop the P&ID Prepare material selection diagram and establish requirements for any chemicals, solvents and catalyst Perform relief valve sizing, control valve sizing and popping philosophy Prepare the equipment and line list and review the various equipment and instrument data sheets Interface/coordinate with other discipline for design development Requirements: Degree in Chemical Engineering Preferred 3 years of design experience for process system in the oil and gas, chemicals storage and process environment. Candidate without relevant experience but with right aptitude and interest are welcome to apply. Familiar with respective code of practices for process design and fire protection such as API, NFPA, SS532, SS634 etc.",0.3216468111922687
Senior Production Engineer,"Job Descriptions: Process Optimisation: To ensure efficient operation of all plant and equipment with Production team. To participate and coordinate within Production, with discussions with other Departments involved, ensure process and system adherence is complied according to the required specifications. Production Coordination: Responsible for the coordination works for the day-to-day operations of all Production lines and other departments. This includes daily operational aspects of job planning, manpower arrangements, chemical processing, plant equipment and chemical bath maintenance. Production Line Upkeep: Be the main point of contact for production supervisors and operators to ensure chemical baths, chemical tanks and other critical equipment are properly maintained within specification and functioning efficiently. Collaborate with technical team to troubleshoot and resolve issues. Quality Control: Ensure documentation and procedures are updated and maintained within the Production lines. Assist in troubleshooting works in relation to production adherence to the related documentation and procedures. Continuous Improvement: To actively pursue and improve the efficiency of existing processes and procedures, meet technical specifications, seek continuous improvements, and to sustain the company’s internal capacity in order to meet output targets. Safety Compliance: To ensure safety regulations and company policies are adhered to within the Production lines. This includes participation in safety meetings and upholding safety standards to maintain a safe working environment in accordance to industry standards. Housekeeping: To coordinate with supervisors to ensure good housekeeping (5S), safe working condition, quality of work and proper handling of chemicals and waste disposal of production lines. Others: Senior Production Engineer may be delegated with additional duties by the reporting heads. However, such delegation does not relieve his or her overall work responsibilities as stated above. Requirements: Diploma or Degree in Engineering or related disciplines. Preferably in relation to Chemistry or Chemical Engineering. Preferred Experience: 3 - 6 years in Aerospace industry in supervisory positions relating to operations. 3 - 6 years of chemical processing experience including but not limited to anodizing, electroplating, chemical cleaning, etc.",0.301764855292376
Process Safety Engineer (Operations I Process Engineering),"Well Established Company Basic $4000 - $4800 + AWS + Variable Bonus Excellent Welfare and Benefits + Career progression Working location : Tuas (Transport Provided) Working days : Monday to Friday Working hours : 8am to 5pm Job Responsibilities: Develop technical studies towards the implementation of processes in the plant, evaluating plant capacity, process conditions, and other variables which can affect the process. Champion a culture of Process Safety excellence at the company based on the PSM 14 elements. Develops the Process Engineering Package (P&ID, PFD specification of process equipment, specification of electrical  process equipment, material balances, energy balances, and DCS control logics) for the plant processes. Reviewing Risk Assessment Screenings and Involve in Management of change procedure and be a team player. Involve in design safety review procedure for all processes and be a team player. Manage and conduct the PHA - HAZOP program, as well as track, assist and follow up with the resulting recommendations. Assist with data collection for Quantitative Assessment (QRA) tools. Organizing and delivering effective and efficient Process Safety studies (PSI, MOC, Mechanical integrity, Operating procedures & etc. for all plant processes as needed for stewardship of processes. Develop Pre Start-up Safety Review (PSSR) for plant processes and follow up with the design review. Perform risk analysis and coach others on the use of risk analysis techniques. Collaborate with the teams to discover and implement long-term process improvement efforts. Perform audit of process safety management systems and execute risk mitigation corrective actions. Assisting Incident Investigation teams in investigating and classifying process safety incidents, as well as      providing support in the development of process tools and action plans to close identified Process Safety gaps. Utilizes process simulation software to test and find  the most appropriate PSM strategies. Other ad-hoc duties as assigned Requirements: Minimum of Bachelor’s degree in Chemical Engineering and/or Equivalent. Minimum of 2 – 5 years of engineering experience supporting Operations, Engineering and/or Projects, such as plant or process engineering, project safety design, execution, engineering and/or technical service roles. Candidates are encouraged to apply this position via Apply Now button with the following information in the resume Work experiences and job responsibilities Current and Expected salary Reason for leaving Date of availability Education background We regret that only shortlisted candidates will be contacted. THIEN CHING MEI (R2198032) EA Recruitment Pte Ltd EA License No: 21C0492",0.2949534126273218
Chemical Process Engineer (West/ Japan MNC),"Job Summary This role responsible for improving production efficiency, quality, and productivity. This includes analyzing current processes, identifying improvement opportunities, and implementing changes. The role involves working closely with different teams to solve problems, ensure smooth operations, and support safety and regulatory compliance. The engineer also plays a key role in new product development and scale-up, helping to ensure a smooth transition from development to full-scale production. Responsibilities: Review and identify gaps in current processes, recommend improvements to HQ, and lead the implementation of approved changes. Collaborate with stakeholders to ensure smooth adoption of new or updated processes. Proactively identify and address potential issues before they lead to incidents. Ensure plant operations meet design specifications. Lead risk assessments and FMEA (Failure Mode and Effects Analysis) activities. Follow the Plan-Do-Check-Act cycle to drive continuous improvement. Conduct regular inspections and team briefings. Act as a trainer to engineers and senior engineers, sharing knowledge on new or updated processes. Train technicians on process changes and support the engineering team in achieving high proficiency. Requirements: Degree in Chemical Engineering or a related field. Minimum 3 years of relevant work experience. Strong planning, organization, and prioritization skills. Proficient in Microsoft Office (intermediate level). Skilled in data analysis, quality tools, and problem-solving. Effective written and verbal communication skills; able to engage with all levels of the organization. Able to read and understand P&IDs (Piping & Instrumentation Diagrams). Basic understanding of chemical process equipment and operations. Familiar with ISO standards: ISO 9001, 14001, 45001, and 50001. Experience in internal auditing. Knowledge of risk assessment frameworks and ability to conduct assessments. Strong analytical and problem-solving abilities. Well-versed in chemical handling procedures. Capable of writing clear and structured reports. Leadership qualities with the ability to lead and motivate others. Systematic thinker with a structured approach to tasks. Makes decisions based on sound technical and engineering judgment. Results-oriented and self-motivated. Follows management systems with diligence. Strong awareness of safety practices. Honest, dependable, and acts with integrity. Independent and proactive; takes initiative and ownership without needing supervision. Persistent in achieving goals and completing tasks. **Working Hours: 8am-4.45pm (Mon-Fri) **Company Transport provided. **AWS, Bonuses, Allowances Wecruit Pte Ltd | 20C0270 Tew Jie Wei | R22106822",0.2885703296805421
Chemical Plant Operator (East),"Role Overview: Responsible for operating and maintaining chemical processing and support equipment, ensuring smooth production workflows, safety compliance, and quality control in a pilot-scale manufacturing environment. Core Duties: Conduct material testing using instruments such as TGA analyzers and tensile strength testers. Perform preventive maintenance on mechanical components like pumps, valves, mixers, and tanks. Manage chemical receiving, unloading, and storage in line with standard operating procedures. Support fibre processing and wetlaid operations, including batch documentation and traceability. Qualifications & Skills: Diploma/Higher Nitec/Nitec in Chemical Process Technology, or equivalent certifications (e.g., WSQ in Chemical Operations and WSH). Hands-on experience with lab and plant equipment including mixers, pumps, and valves.",0.28796049210262553
Process R&D Engineer,"Roles and Responsibilities: Build and iterate bench‑top demonstration units that integrate multiple unit operations. You’ll prototype mechanical designs, implement controls & in‑line measurements, close mass/energy balances , and generate P&IDs and vendor packages. Key Responsibilities Lead experimental process design; integrate unit operations into a bench‑top demo. Prototype unit operations and implement design iterations (strong hands‑on mechanical skills). Optimise operations & controls; implement practical reliability improvements. Establish/test measurement strategies (in‑line sensors, data historians); close M&E balances . Perform equipment sizing (tanks, mixers, reactors, separators/columns, pumps, valves). Develop equipment/instrument lists, specs, and supplier options; coordinate with SMEs on materials   selection. Prepare P&IDs , detailed specs, draft cost estimates, and project schedules. Write operating procedures (start‑up, shutdown, normal & emergency), and sampling plans. Qualifications Degree in Chemical/Mechanical Engineering (or related). 3–7+ years in process development, prototyping, and pilot/demonstrator build. Proficient with CAD, instrumentation basics, and technical documentation.",0.28506788803087735
Senior E&A Engineer,"Position Snapshot Location: Tuas, Singapore Company: Wyeth Nutritionals, Singapore Type of role: Permanent Joining Nestlé means you are joining the largest Food and Beverage Company in the world. At our very core, we are a human environment – passionate people driven by the purpose of enhancing the quality of life and contributing to a healthier future. A Nestle career empowers you to make an impact locally and globally, as you are provided with the opportunity to make a mark and stand out, as long as you seek it. With Nestle, you are enabled and encouraged to grow not only as professionals, but also as people.' As a Senior E&A Engineer, you will be responsible to provide support for Manufacturing Execution Systems (MES), Electricity and Automation (E&A) professional and technical operational activities and participation in CAPEX projects; doing so in line with corporate guidelines, enforcing that all MES-E&A activities enhance business objectives, product quality and plant operation/performance while ensuring that people health and safety, product safety, and environment are never compromised. A day in the life of a Senior E&A Engineer... Excel in Industrialisation: Participates in Capital Investments projects in the factory ensuring that the technical solution follows corporate and market standards and is delivered with the expected quality, being on time and in budget. Responsibilities include: the preparation of the user and technical specifications, coordinating the requirements of the main users (production, quality, etc.), the follow up of the solution development, the pre-test, implementation and training of operators and maintenance crews. Must fully understand the technical details of the MES-E&A solutions in all projects. Product and Process Mastership: MES-E&A engineers play a key role in the continuous improvement of our factories through mastering the process and product characteristics. The MES-E&A engineer must have a deep insight of the processes, and continuously strive for the improvement of quality, safety or efficiency while protecting the technological know how and competitive advantage. Manage existing assets: Ensure Process and Equipment Safety for people, products and environment and that one exhibits an attitude of absolute intolerance for unsafe situations. Participates in the implementation of engineering tools at site level (i.e. NSAT, NEST, AMM, etc.), and in the M&I activities in the factory ensuring realibility of the assets. Functional Guidance: Execute the strategy of the market in terms of MES, Electricity and Automation in alignment with corporate standards best engineering practices. What will make you successful: Minimum 5 years Automation and/or MES engineer with Electrical experience Personnel Supervision (of technical teams, contractors or other 3rd parties) Participation in the development of engineering projects as part of a multidisciplinary team (preferably including different products and technologies in Electrical and Automation areas) Participation in the start-up of technical equipment(s) and/or production line(s) Self Management following defined KPIs/Objectives, and proactively tracking them Exposure to TPM, preventive maintenance planning and/or maintenance execution desired but not required",0.28427723378970815
"Manager/ Senior Manager, Process and Quality Control (Fab Operations) 3 Years Renewable Contract","Job Description: Leading a team in responsible for the strategic design, implementation, and continuous improvement of all quality and process control systems within Fab Operations. This role is critical for ensuring world-class product yield, reducing defectivity, and maintaining strict compliance with customer specifications, internal quality standards, and relevant industry certifications. Key Responsibilities: Develop and drive a strategic roadmap for yield improvement and defect reduction across critical
     process modules. Lead the design and maintenance of advanced, real-time Statistical Process Control (SPC) , Fault
     Detection and Classification (FDC) , and Advanced Process Control (APC) systems to stabilize and optimize all fabrication steps. Cross-contamination management to achieve balance between research and development flexibilities in
     integration run sheet flow path vs process tools health and process repeatability. Small volume prototype protocol and product and process control plan alignment and set-up with requestor, process margin runs till demonstration of product SPC repeatability and line defect and electrical yield. Serve as the technical expert and primary quality interface for key customers, leading customer audits, addressing quality-related concerns, and driving customer-specific quality improvement plans. Problem Solving: Direct and oversee high-level, cross-functional root-cause analysis (RCA) and corrective and preventive action (CAPA) teams for major process excursions, non-conformances, and field returns, utilizing methodologies like 8D or Six Sigma Metrology & Inspection: Oversee the selection, qualification, and maintenance of all in-line and off-line metrology and defect inspection tools, ensuring measurement system accuracy (Gage R&R) and high data quality. Process Window Definition: Collaborate with Process Integration and R&D teams to define, qualify, and stabilize robust manufacturing process windows for all new product introductions (NPI), ensuring Design for Manufacturability (DFM) principles are met. Data Analytics: Leverage large-scale manufacturing data (Big Data) to identify subtle process drifts, predict
     failures, and proactively implement controls. Lead, mentor, and manage a team of Quality Engineers, Process Control Engineers, and Technicians, setting
     performance goals, developing career paths, and fostering a culture of ownership and data-driven decision-making. Collaborate closely with all stakeholders to balance the trade-off between quality stability, process efficiency, and tool uptime. Required Qualifications: Degree in Engineering, Materials Science, Chemical Engineering, or a related technical field. Preferable 10+ years of experience in the semiconductor industry, with a minimum of 5 years in a leadership/management role focusing on Process Control, Quality Assurance, or Yield Engineering within a Fab environment. Deep technical knowledge of semiconductor fabrication processes in different modules. Expert-level knowledge of Statistical Process Control (SPC) , Design of Experiments (DOE) , Failure Mode and Effects Analysis (FMEA) , and Lean/Six Sigma methodologies (Black Belt certification highly preferred). Strong leadership, presentation, and interpersonal skills, with the proven ability to influence and align technical and executive stakeholders. ----------------------------------------------------------------------------------------------- We regret that only shortlisted candidates will be notified. GMP Technologies (S) Pte Ltd | EA Licence: 11C3793 | EA Personnel: Dianna @ dianna@gmprecruit.com | Registration No: R1327268 ---------------------------------------------------------------------------------------------- This is in partnership with the Employment and Employability Institute Pte Ltd (e2i). e2i is the empowering network for workers and employers seeking employment and employability solutions. e2i serves as a bridge between workers and employers, connecting with workers to offer job security through job-matching, career guidance and skills upgrading services, and partnering employers to address their manpower needs through recruitment, training, and job redesign solutions. e2i is a tripartite initiative of the National Trades Union Congress set up to support nation-wide manpower and skills upgrading initiatives. By applying for this role, you consent to GMP Recruitment Services (S) Pte Ltds PDPA and e2is PDPA.",0.28276200844842164
Process Engineer (1 year contract),"Key Responsibilities: Develop Manufacturing / Operating Instructions and necessary Standard Operating Procedures. Develop, maintain and troubleshoot the process control system recipe / models. Carry out technical assessment for evaluation of processes. Investigate, report and troubleshoot findings on both quality and EHS related issues observed during manufacturing or during batch record review. Develop, implement and monitor robust preventive measures for processing issues. Play a pro-active role in ensure the site safety and quality standards are adhered to. Proactively monitor, identify, develop and implement improvements in processes and equipment. Communicate on a regular basis to the plant personnel on process updates. Train the process technicians and fellow process engineers on the process and procedures as required. Requirements Bachelor's Degree in Chemistry or Chemical Engineering. Experience in Pharmaceutical / Chemical Plant with sound understanding of API unit of operations. Knowledge of Good Manufacturing Practices and experience in pharmaceutical environment. Driven and able to work in a dynamic environment. If you have what it takes, please send your resume to syafiqah@ambition.com.sg or click APPLY NOW. Data provided is for recruitment purposes only. Regrettably, only shortlisted candidates will be notified. Business Reg No : 200611680D | Licence No : 10C5117 | EA Reg No : R2199023",0.28217977456989013
Manager / Senior Manager (Semiconductor Process & QC),"Job Summary: Leading a team in responsible for the strategic design, implementation, and continuous improvement of all quality and process control systems within Fab Operations. This role is critical for ensuring world-class product yield, reducing defectivity, and maintaining strict compliance with customer specifications, internal quality standards, and relevant industry certifications. Responsibilities: Develop and drive a strategic roadmap for yield improvement and defect reduction across critical process modules. Lead the design and maintenance of advanced, real-time Statistical Process Control (SPC) , Fault Detection and Classification (FDC) , and Advanced Process Control (APC) systems to stabilize and optimize all fabrication steps. Cross-contamination management to achieve balance between research and development flexibilities in integration runsheet flow path vs process tools health and process repeatability. Small volume prototype protocol and product and process control plan alignment and set-up with requestor, process margin runs till demonstration of product SPC repeatability and line defect and electrical yield. Serve as the technical expert and primary quality interface for key customers, leading customer audits, addressing quality-related concerns, and driving customer-specific quality improvement plans. Problem Solving: Direct and oversee high-level, cross-functional root-cause analysis (RCA) and corrective and preventive action (CAPA) teams for major process excursions, non-conformances, and field returns, utilizing methodologies like 8D or Six Sigma Metrology & Inspection: Oversee the selection, qualification, and maintenance of all in-line and off-line metrology and defect inspection tools, ensuring measurement system accuracy (Gage R&R) and high data quality. Process Window Definition: Collaborate with Process Integration and R&D teams to define, qualify, and stabilize robust manufacturing process windows for all new product introductions (NPI), ensuring Design for Manufacturability (DFM) principles are met. Data Analytics: Leverage large-scale manufacturing data (Big Data) to identify subtle process drifts, predict failures, and proactively implement controls. Lead, mentor, and manage a team of Quality Engineers, Process Control Engineers, and Technicians, setting performance goals, developing career paths, and fostering a culture of ownership and data-driven decision-making. Collaborate closely with all stakeholders to balance the trade-off between quality stability, process efficiency, and tool uptime. Requirements: Degree in Engineering, Materials Science, Chemical Engineering, or a related technical field. Preferable 10+ years of experience in the semiconductor industry, with a minimum of 5 years in a leadership/management role focusing on Process Control, Quality Assurance, or Yield Engineering within a Fab environment. Deep technical knowledge of semiconductor fabrication processes in different modules. Expert-level knowledge of Statistical Process Control (SPC) , Design of Experiments (DOE) , Failure Mode and Effects Analysis (FMEA) , and Lean/Six Sigma methodologies (Black Belt certification highly preferred). Strong leadership, presentation, and interpersonal skills, with the proven ability to influence and align technical and executive stakeholders. GMP Technologies (S) Pte Ltd | EA Licence 11C3793 | EA Personnel: Novita Widjaja | Registration No: R22105960 This is in partnership with the Employment and Employability Institute Pte Ltd (e2i). e2i is the empowering network for workers and employers seeking employment and employability solutions. e2i serves as a bridge between workers and employers, connecting with workers to offer job security through job-matching, career guidance and skills upgrading services, and partnering employers to address their manpower needs through recruitment, training, and job redesign solutions. e2i is a tripartite initiative of the National Trades Union Congress set up to support nation-wide manpower and skills upgrading initiatives. By applying for this role, you consent to GMP Recruitment Services (S) Pte Ltds PDPA and e2is PDPA .",0.2815901802819815
