title,description,avg_similarity
"Senior Executive, Trade Pricing (Shipping Liner MNC)","The Client: Our client is a prominent and growing global shipping carrier, known for its excellence in providing reliable and efficient transportation solutions. With a strong presence in both domestic and international markets, they offer dynamic career opportunities within a fast-paced and innovative industry, making it an exciting business to be part of. Job Responsibility: · Analyse pricing strategies at different geographical and trade levels, applying these to ensure trade lane efficiencies and reduction of cost control. · Make key decisions on cost structures and pricing strategies to align with market trends and the company’s objectives. · Lead ongoing improvements in cost models to adapt to market changes, optimizing pricing and cargo selection. · Identify opportunities to adjust strategies based on shifting market conditions and competition. · Regularly analyze differences between estimated and actual shipping costs, taking action to correct discrepancies and improve forecasting accuracy. · Periodically assess container equipment availability and performance to inform decisions about balancing, repositioning, and managing costs effectively. Qualifications: · Bachelors Degree in Maritime, Business, or any related discipline is a plus. · Experience in a shipping carrier and various trade lanes is ideal as the role requires this individual to have strong trade lane knowledge. · Experience in yield management or pricing is highly advantageous. · Knowledge or background in Power BI or Tableau is highly advantageous as the role requires this individual to use these systems for price forecasting. · Fresh graduates with maritime background are welcome to apply. Morgan McKinley Pte Ltd Senjoo Khong EA Licence No: 11C5502 EA Registration No.: R23116117",0.35810681432072716
Research Fellow (Transport & Aviation),"Interested applicants are invited to apply directly at the NUS Career Portal Your application will be processed only if you apply via NUS Career Portal We regret that only shortlisted candidates will be notified. Job Description We are seeking a Research Fellow to join our research team to work with PIs and co-PIs in the Department of Civil and Environmental Engineering and the Department of Industrial Systems Engineering and Management. This position’s primary focus is to develop real-time truck-drone collaboration system to enhance Singapore safety and resilience and using learning-based approaches. Key responsibilities include: Collecting and analyzing relevant data. Designing mathematical models. Developing simulation program. Designing optimization or learning-based algorithms. Working on research projects, supervising research students, and preparing research proposals and reports. Job Requirements Possess a PhD degree obtained in a related discipline (transportation engineering, operations research, computer engineering/science, or related disciplines) Has strong interest and expertise in mathematical modeling, simulation, and optimization or learning-based methods. Proficiency in simulation software. Programming expertise in at least one language, e.g., Python, Java, or C++ Strong written and oral communication skills and able to present results clearly. Open to fixed-term contract",0.35007046016568605
"Executive, Trade Pricing - Global Shipping Liner","The Client: Our client is a prominent and growing global shipping carrier, known for its excellence in providing reliable and efficient transportation solutions. With a strong presence in both domestic and international markets, they offer dynamic career opportunities within a fast-paced and innovative industry, making it an exciting business to be part of. Job Responsibility: Analyse pricing strategies at different geographical and trade levels, applying these to ensure trade lane efficiencies and reduction of cost control. Make key decisions on cost structures and pricing strategies to align with market trends and the company’s objectives. Lead ongoing improvements in cost models to adapt to market changes, optimizing pricing and cargo selection. Identify opportunities to adjust strategies based on shifting market conditions and competition. Regularly analyze differences between estimated and actual shipping costs, taking action to correct discrepancies and improve forecasting accuracy. Periodically assess container equipment availability and performance to inform decisions about balancing, repositioning, and managing costs effectively. Qualifications: Bachelors Degree in Maritime, Business, or any related discipline is a plus. Experience in a shipping carrier and various trade lanes is ideal as the role requires this individual to have strong trade lane knowledge. Experience in yield management or pricing is highly advantageous. Knowledge or background in Power BI or Tableau is highly advantageous as the role requires this individual to use these systems for price forecasting. Fresh graduates with maritime background are welcome to apply. Morgan McKinley Pte Ltd Senjoo Khong EA Licence No: 11C5502 EA Registration No.: R23116117",0.34974701889019794
Lecturer (NUS College),"Interested applicants are invited to apply directly at the NUSCareer Portal Your application will be processed only if you applyvia NUSCareer Portal We regret that only shortlisted candidates will be notified. Job Description NUS College is the honours college of the National University of Singapore. Our focus is a rigorous and stimulating interdisciplinary education designed to help students cultivate the necessary skills to work effectively across boundaries, We plan to hire a dedicated individual  to fill a Lecturer’s position.  This is a full-time position that includes opportunities for pedagogical research funding and for promotion to an Associate Professor on the NUS Educator Track. The primary responsibility is to offer our mandatory courses, to which you will be expected to bring your own academic and intellectual expertise. Duties & Responsibilities For a start, you will be expected to offer the following, Computational Problem Solving (NPS2001) The CPS is a common curricular course designed to introduce NUS College students to the fundamental concepts, computational tools and techniques necessary to solve complex problems. The focus is on computer science and information technology, but course objectives are more general in nature, with the goal of developing essential skills for approaching and understanding new technology to critically assess potential benefits and risks. By having a comprehensive understanding of the potential of new technologies, students will be able to formulate a problem, outline potential technological solutions and set up a team to implement the solutions that can help achieve project goals. Impact Experience Project (NEP3001) The Impact Experience (IEx) is a eight-unit capstone course that all NUS College students will have to undertake for two years. Students will work in interdisciplinary teams to collaborate with non-profit partners and innovate future solutions for the benefit of communities and society in Southeast Asia, including Singapore. Each team of 6-7 students is supervised by a lecturer who specializes in the area they are working with. Students would choose to work with lecturers clustered into three broad areas: Science and Technology, Arts and Design, Civic and Community. Applicants from any field representing the Computer Sciences are welcome to apply for this position. We are interested in candidates whose work is cross-disciplinary and can be applied to better understand and tackle social, environmental and technological problems in the Singaporean context. The selected candidate's primary responsibility will be to teach the CPS together with other course instructors to ensure that students have a common curricular experience while allowing for individual instructor creativity in their seminars. Applicants should demonstrate their ability to teach such a course by providing evidence of teaching interdisciplinary computing courses in the university. The other responsibility will be to supervise IEx student teams working on projects that involve computing for social good. Successful candidates are expected to offer 2-3 sections of Computational Problem Solving in the academic year, an elective of their own design, supervise 3-6 IEx teams, and take on a small supervision load of independent study modules. Qualifications Candidates must hold a PhD. Remuneration and benefits are highly competitive on the global research university level. Expatriate benefits may include travel assistance from overseas and limited housing benefits. Appointments begin at the level of Lecturer on the Educator Track. Although the NUS Educator Track is not a tenurable line, it offers a pathway to promotion to Associate Professorship on an open contract (and beyond), as well as opportunities for pedagogical research funding, including overseas research and conference travel. The contract is for three years in the first instance and is renewable subject to good performance. Interested applicants should prepare and submit the following documents when they apply: •    A cover letter, clearly specifying which position they are applying for. •    CV: An abridged CV (5-page maximum), including details on education, employment history, past experience of teaching and supervision, research activities (including publications) and achievements, honours and awards, and service accomplishments. •    Qualifications: Include scanned copies of academic degrees. •    Teaching Portfolio: o    A Teaching Statement that commences with a preface (maximum 300 words) that makes the case for  appointment. This should be a highly distilled summary of key contributions to student learning and, if applicable, educational leadership, guided by your teaching philosophy. The rest of the Statement, of not more than 2,000 words, should outline your teaching philosophy and your educational contribution across multiple dimensions and roles. Please include evidence on how you have impact students' learning  experience and outcomes as well as how you have influenced peers and the community. o    Teaching evaluations and peer review reports, if available. Other evidence of teaching excellence and/or other contributions to education, e.g., curriculum development, pedagogical innovation etc., should also be provided. •    A proposal, of not more than 500 words, describing a prospective syllabus for the target course. •    A statement, of not more than 500 words, highlighting how you plan to contribute to pedagogical innovation and/or advance interdisciplinary honours education at NUSC. •    FOUR referees' letters (one of whom must be the applicant's PhD supervisor). Interviews will normally be conducted online. Only shortlisted applicants will be notified. More information about NUSC and our curriculum can be found on our website: https://nuscollege.nus.edu.sg/ Additional information about Academic Appointments at NUS can be found here: https://www.nus.edu.sg/careers/",0.34973125094069013
Senior Quant Developer,"Role Overview – Quantitative Developer We are seeking a Quantitative Developer to contribute to the implementation of quantitative trading strategies. This includes research, code optimization, deployment, order execution, risk monitoring, and compliance. You will collaborate with the research team to build strategy research tools on our in-house backtesting platform and take ownership of live trading processes, enhancing reliability and production quality. Opportunities also exist to contribute to RL/optimization-related research infrastructure and core components of our distributed systems, data platforms, and trading infrastructure, directly impacting research and trading performance. Required Qualifications Bachelor’s or Master’s degree in Computer Science, Software Engineering, Mathematics, Physics, Statistics, or related STEM fields from a top-tier university. Strong programming skills in Python and C++ , with experience in Linux environments . Hands-on experience in developing and trading APAC market stock strategies . Familiarity with brokerage requirements and trading rules; experience in trading risk control and designing monitoring frameworks. Solid mathematical foundation, particularly in probability and statistics. Excellent communication, logical reasoning, and problem-solving skills. Comfortable working in English and Chinese . Preferred Qualifications Experience with US stock strategies or other assets such as options and ETFs. Exceptional performance in programming competitions (e.g., NOI, ICPC). Publications in leading CS or statistics journals/conferences. Recognized achievements in Kaggle or other machine learning competitions. Internship or professional experience at proprietary trading firms, hedge funds, or leading tech companies. Interested candidates kindly click the APPLY NOW button. By submitting your personal data and/or resume, you give consent to the collection, use and disclosure of your personal data and/or resume by the company (or its agent) for the purpose of the processing and administration by company relating to this job application. Only shortlisted candidates will be notified EnviroDynamics Solutions Pte Ltd I EA License No.: 12C6285 Ng Chin Shen I Reg. No: R25127347 Email CV to : jasonng@envirodynamics.com.sg",0.34854930401377376
Research Fellow (Operations Research & Analytics),"Interested applicants are invited to apply directly at the NUS
Career Portal Your application will be processed only if you apply
via NUS
Career Portal We regret that only shortlisted candidates will be notified. Job Description Role Summary: Lead and manage multi-stakeholder research projects in operations research, analytics, and optimization, including collaborations with NTUC FairPrice (Plug-in Flow Routing Optimization Engine; Store Friendly replenishment packing) and PSA (data analysis to improve efficiency in the container logistics ecosystem), as well as other industry and academic projects. Drive end-to-end project delivery—from problem framing and model formulation to implementation, evaluation, and dissemination—while coordinating milestones and deliverables with collaborators. Key Responsibilities: Act as project manager for assigned projects, developing work plans, timelines, risk registers, and progress reports; ensure on-time delivery of milestones and industry-facing deliverables. Work closely with external collaborators (e.g., NTUC FairPrice, Store Friendly, PSA) and internal stakeholders to define objectives, align expectations, and translate operational needs into rigorous research questions. Design and formulate models for routing, packing, replenishment, scheduling, and network optimization; develop algorithms and decision-support tools using appropriate techniques (e.g., mathematical programming, stochastic optimization, simulation, machine learning). Lead data acquisition, cleaning, integration, and analysis; establish data pipelines and quality assurance processes; conduct experiments, benchmarking, and sensitivity analyses to validate models. Prototype and, where applicable, support pilot deployment of solutions; document methodologies, assumptions, reproducible workflows, and user guides. Prepare high-quality publications, technical reports, and presentations; contribute to dissemination through conferences, seminars, and industry briefings. Guide and mentor PhD students, research assistants, and interns; provide technical supervision, review work outputs, and foster a collaborative research culture. Coordinate compliance with NUS and partner data governance, ethics, and security requirements; manage project documentation and IP considerations in line with agreements. Contribute to grant proposals, project scoping, and resource planning; assist with budgeting and procurement related to project needs. Support broader IORA initiatives, including knowledge sharing, seminar organization, and collaborations across the University and with external partners Requirements PhD in Industrial Engineering/Operations Research/Management Science (or closely related), with a strong research record in stochastic modeling and optimization. Hands-on experience solving real-world routing, packing, replenishment, scheduling, and network optimization problems. Proficiency with large-scale decision methods (e.g., approximate dynamic programming/rollout, primal–dual or penalty controls, Lagrangian decomposition/index policies, queueing/fluid models). Strong programming skills in Python and/or Java (MATLAB a plus), with experience in data pipelines, simulation/digital twins, and reproducible experimentation. Proven project management and industry collaboration experience, delivering milestones and translating operational needs into deployable solutions. Strong communication and mentorship: publications, technical reporting, presentations, and guidance of PhD students/RAs.",0.34812497363647116
Senior Principal Data Scientist,"Get to Know the Team The Fulfilment Tech Family is an integral part of Grab, connecting our wide-ranging marketplaces across Southeast Asia. We develop real-time distributed systems and machine learning solutions to process hundreds of millions of requests daily, ensuring efficient allocation of supply, pricing, and seamless order matching. Our mission: Build reliable and impactful products for driver-partners. Optimize the ability to fulfil consumer needs in any conditions. Develop sustainable marketplaces, balancing user experience and operational costs across stakeholders. We're hiring a Senior Principal Data Scientist to join the Fulfilment team. You're an individual contributor whom will lead strategic optimization initiatives that elevate pricing, dispatch, and supply management strategies. You'll combine in-depth data-driven methodologies with a strategic mindset to drive automation and marketplace efficiency. Get to Know the Role As a Senior Principal Data Scientist, you'll shape and advance cross-system Fulfilment strategies, accounting for how passengers and driver-partners respond to platform interventions. You'll leverage machine learning and operations research methodologies to optimize marketplace-level operational outcomes. Through joint optimization across systems—pricing, dispatch, and supply positioning—you'll design interpretable, adaptable, and multi-objective-aware Reinforcement Learning decision agents. You'll model marketplace behaviour and develop policies to automate key aspects of platform operations, contributing lasting impact for customers, driver-partners, and Grab. You'll report to the Head of Data Science and work onsite at Grab's One North Singapore office. The Critical Tasks You Will Perform You will: Develop ML and DL models to improve generalisation and operational efficiency Create unified Reinforcement Learning architectures that coordinate multiple elements, including pricing, dispatch, and supply positioning, while balancing diverse marketplace objectives. Design frameworks for joint optimization of marketplace systems through hierarchical or multi-agent RL approaches that push the operational Pareto frontier. Explore representations of data that consider supply-demand signals, behaviour elasticity, and factors like weather, traffic, and user intent. Build interpretable models to capture passenger and driver decision-making across diverse scenarios and operational conditions. Devise feedback loops to respond to passenger and driver behaviour, considering geographical differences and behavioural patterns over time. Collaborate with data engineers and backend teams to refine and integrate optimization models into real-time production systems. Work with the platform and experimentation teams to validate models in live environments and drive iterative improvements. Guide technical teams by leading efforts in data science while fostering collaboration and excellence. What Essential Skills You Will Need You have a Master Degree in Computer Science, Operations Research, Applied Mathematics, or related field with at least 10 years of relevant experience. You have experience with Reinforcement Learning, MDPs, stochastic control, or behavioural modelling under uncertainty. You have experience deploying ML models in online learning systems, sequential decision frameworks, or simulation-based techniques for optimization tasks. You have fluency in Python and experience with ML libraries such as PyTorch or TensorFlow for developing robust learning algorithms. You are familiar with tools such as Spark or Ray to build scalable workflows for data-driven optimization and training. You can bridge business challenges into concrete modelling problems with actionable outputs. You have advanced skills to interpret platform data and understand marketplace elasticity, user behaviour, and external environmental influences, contributing to actionable insights for real-world applications. You may also apply directly via https://smrtr.io/wRtCm",0.34746512035854626
Application Consultant (Contract),"Responsibilities: Gather requirements, work with the vendors and drive the testing with the end users to ensure a successful deployment of the project. Identify, monitor and manage project risks, issues and dependencies, and agree appropriate solutions with sponsors and key stakeholders. Implementing large-scale, highly available applications or other large project implementations. Delivering strategic change solutions to enable effective solutions around traded risk management. Requirements: Bachelor's degree in computer science, engineering or in Finance domain Strong experience working with MUREX and SDLC. Strong technical & functional background. Experience in product pricing methodologies, VaR, MRA, MRE Configurations Understanding of the model assignments, market data, Rate curves, simulations and datamart module Good understanding of key market risk concepts like traded products, stress testing, risk/limit management Good understanding of traded products, counterparty risk, credit approval process, limit management, excess management. Interested candidates, who wish to apply for the above position, please send in your resume to Mohamed.basith@persolapac.com We regret that only shortlisted candidates will be contacted. EA License No. 01C4394 EA Personnel Reg.No. R1104824 (Samsudeen Mohamed Basith) This is in partnership with Employment and Employability Institute Pte Ltd (“e2i”). e2i is the empowering network for workers and employers seeking employment and employability solutions. e2i serves as a bridge between workers and employers, connecting with workers to offer job security through job-matching, career guidance and skills upgrading services, and partnering employers to address their manpower needs through recruitment, training, and job redesign solutions. e2i is a tripartite initiative of the National Trades Union Congress set up to support nation-wide manpower and skills upgrading initiatives. By applying for this role, you consent to e2i’s PDPA . By sending us your personal data and curriculum vitae (CV), you are deemed to consent to PERSOL Singapore Pte Ltd and its affiliates to collect, use and disclose your personal data for the purposes set out in the Privacy Policy available at https://www.persolsingapore.com/policies. You acknowledge that you have read, understood, and agree with the Privacy Policy.",0.34639245720645073
"Operations Planning Manager (Aerospace, Up to $15,000)","Translate demand forecasts and customer orders into executable production plans. Ensure material, labor, and machine capacity plans support delivery targets. Act as the primary planning interface for program management and customer-facing teams. Identify risks related to capacity, materials, or demand volatility and implement mitigation plans. Requirements: Degree in Business or equivalent At least 5 years of experience in production planning or supply chain in aerospace industry. Proficiency with ERP/MRP systems and advanced planning tools. If you are keen to apply for the position, kindly email your detailed resume in MS Word to hr@recruit-expert.com Please note that only shortlisted candidates will be notified. For more job opportunities, please visit our website at www.recruit-expert.com EA Licence: 19C9701 Registration: R1326740",0.34520743025264794
Lead Business Analyst,"Luxoft has one of the world's leading Orchestrade practices. We are a top-tier Orchestrade Partner and a market leader in implementation, integration, upgrade, and migration. We provide end-to-end project services and have delivered Orchestrade projects across all major asset classes and sectors including investment banking, asset management, corporate treasury, commodities. Whether you possess a background in finance, technology, or Mathematics, your experience in the capital markets industry or commodities industry would be of high interest to us. The project is a Trading and Position platform Implementation for Commodity products. You will be part of a Top Initiative for this commodity client. This is a brilliant opportunity to work on several type of commodity products and learn a new trading platform. You will have the ability to showcase the work directly to the End users. The team is responsible for the integration of a trading application (Orchestrade) used for: • Pre-deal origination workflow and post execution monitoring and life-cycle management. • Dedicated workflow, configuration of the platform, supporting business • Integration with Operations, Finance • Reporting, Reconciliation • Accounting The application is Orchestrade: - Orchestrade is in .Net (C#): Natively connected to Excel - Database: Microsoft SQL - Delivered In-House or Hosted (Amazon Web Services) Also, you will join our Orchestrade Practice and become a member of our open minded, progressive and professional team. You will have a chance to grow your functional and soft skills and build a thorough expertise of the industry of our client. Luxoft will invest into your professional training, and allow you to grow your professional career. Responsibilities: • Analyse current front to back processes (trading, risk, PnL, middle/back office) and document workflows, pain points, and control gaps. • Gather, structure, and prioritise business requirements from PMs, risk managers, operations, and compliance for new tools, reports, and system changes. • Translate requirements into clear functional specifications and work with developers/quant teams on design and implementation options. • Support testing (test cases, UAT, regression) and coordinate production releases for trading and risk platforms or internal tools. • Produce business and technical documentation (BRDs, user stories, process maps, runbooks) and keep them up to date. • Use data analysis to validate requirements, size issues, and monitor the impact of changes (e.g., trade flow metrics, latency, error rates). • Run workshops and interviews with stakeholders to clarify needs, uncover edge cases, and close open questions. • Create and refine product backlogs, user stories, and acceptance criteria; help prioritise work against business value and risk. • Perform impact analysis for changes (systems, data models, interfaces), including upstream/downstream dependencies. • Coordinate with legal, risk, ops, and external vendors when projects touch regulations, controls, or third party systems. Mandatory Skills Description: • Experience in a Hedge Fund organization is must • 10+ years of experience as a Business Analyst working on Financial products with strong understanding of listed and OTC products (equities, futures, options, fixed income, FX), order lifecycle, and risk/PnL concepts. • Excellent analytical skills, understanding of project life cycles, and ability to act in an entrepreneurial manner to ensure the requirements from the business are gathered in the appropriate manner. • Proven analytical, planning, problem solving and decision-making skills • Comfortable with direct communication with all levels of technical and business resources • Excellent organizational and time management skills with the ability to handle multiple tasks simultaneously • Experience with working in a highly collaborative and dynamic multi-team environment • Experience in writing user stories and working with JIRA /similar tools. Nice-to-Have Skills Description: • Ability to work under pressure in a fast paced environment • Have a willingness to learn new skills • Attention to detail; ability to work independently and also as part of a group • Technical knowledge (SQL, .NET)",0.34443922769432284
