title,combined_score,topic_label,topic_module_count,avg_similarity,max_similarity,best_module,description
Research Fellow,0.658359315707978,"lab operations, laboratory operations, medical laboratory",11,0.33022130874139344,0.631353961057103,BN4301 – Principles Of Tissue Engineering,"The Lee Kong Chian School of Medicine (LKCMedicine) trains doctors who put patients at the centre of their exemplary care. The School, which offers both undergraduate and graduate programmes, is named after local philanthropist Tan Sri Dato Lee Kong Chian. Established in 2010 by Nanyang Technological University, Singapore, in partnership with Imperial College London, LKCMedicine aims to be a model for innovative medical education and a centre for transformative research. The School’s primary clinical partner is the National Healthcare Group, a leader in public healthcare recognised for the quality of its medical expertise, facilities and teaching. The School is transitioning to an NTU medical school ahead of the 2028 successful conclusion of the NTU-Imperial partnership to set up a Joint Medical School. In August 2024, we welcomed our first intake of the NTU MBBS programme, that has been recently enhanced to include themes like precision medicine and Artificial Intelligence (AI) in healthcare, with an expanded scope in the medical humanities. Graduates from the five-year undergraduate medical degree programme will have a strong understanding of the scientific basis of medicine, with an emphasis on technology, data science and the humanities. Our research focuses on uncovering the cellular, molecular and metabolic mechanisms driving cardiovascular and skeletal diseases. We are a dynamic team of researchers studying fundamental cell biology using cutting-edge techniques, aiming to design novel and alternate therapeutic strategies for managing blood and bone diseases. We are looking for a highly motivated individual with a strong passion for research to join our team. If you're intrigued by our work and thrive in curiosity-driven research, we encourage you to reach out. We have an opening for a Research Fellow position. The successful candidate will work directly under the guidance of Assoc Prof Saravana Ramasamy. It will be a great opportunity work in multiple advance techniques related to tissue biology including 3-D tissue imaging, mouse genetics and cell biology. Key Responsibilities: Perform experiments involving advanced imaging, tissue/cell culture and mouse models, data compiling, result analysis etc. Perform research-related administrative tasks and assist in day-to-day management of laboratory. [For Research Fellow] must be able to train lab members, write manuscripts and prepare figures. Key Competencies and Requirements: PhD degree is required for Research Fellow position with publications in high-impact journals Previous research experience is required for Research Associate RCULAC training and experience with mouse models would be advantageous."
"Senior Manager, Asst Director, Occupational Therapy (Mentoring role)",0.6236452915025953,"lab operations, laboratory operations, medical laboratory",11,0.3055017843453749,0.5072228888222262,BN2105 – Medical Device Life Cycle Management,"Our client is actively searching for a Senior Professional Offier,  Lead Professional Officer - Occupational Therapy (Mentoring role) to join their team! If you are a dynamic individual seeking a new career opportunity, read further! The Professional Officers Division (POD) houses a centralized pool of academic staff under the Professional Officers scheme. Professional Officers come with specialised and deep technical skills acquired through extensive industry experience. They form the talent pool which brings a much-needed industry perspective to student learning. They facilitate applied learning and applied research in the University, complementing the academic expertise of the faculty to bring industry practices and applications into the curriculum. Professional Officers leverage on their industry experiences to create authentic learning environments, where discovery and innovation take place. They act as coaches and mentors to students during practical learning activities such as laboratory sessions, Capstone Projects and the Integrated Work Study Programme (IWSP). Professional Officers could also lead or work with faculty on industry innovation projects to provide solutions to the industry. In addition to their role in applied learning and applied research, Professional Officers manage the centralised laboratory facilities and resources in the University. With Technical Officers, laboratory safety professionals, and administrators in POD, they jointly develop central policies and processes for the safe and seamless operation of laboratories in the campus. The responsibilities of this role are: Design and teach labs & practice modules. Mentor students in Capstone Projects and the Integrated Work Study Programme (IWSP). Lead or co-lead innovation projects with industry. Manage labs and equipment to support academic programmes and applied research. Ensure safety in labs The ideal candidate will need to have the following qualities and experience: A Master degree in Occupational Therapy or related fields with relevant professional certifications would be advantageous. Deep technical specialist with 10 or more years of working experience in relevant setting such as hospitals, occupational therapy clinics, community-based setting, long-term care or skilled nursing facilities. Have deep, hands-on competence in the areas of psychosocial domain of health involving in occupational therapy or psychology Knowledge and experience in working with people with a range of conditions, including those who have physical disabilities, mental or social problems. Possess practice knowledge on administration and application of various occupational therapy assessment tools. Extensive experience and knowledge of industry practices to bring industry perspective to the University Keen interest in innovation projects, with demonstrated ability in developing solutions to technical problems. Strong supervisory skills and enjoy working closely with students in an educational environment. Demonstrate proficiency to keep abreast of development in the field and pursue professional certification programs. Possess industrial certifications in relevant areas will be an added advantage. All applicants' CV will be treated with the strictest confidentiality. We regret to inform that only shortlisted candidates will be contacted."
Research Fellow (Mechanobiology Institute),0.6216319078337268,"lab operations, laboratory operations, medical laboratory",11,0.2667139970301076,0.5747315451084182,BN2301 – Biochemistry and Biomaterials for Bioengineers,"Interested applicants are invited to apply directly at the NUS
Career Portal Your application will be processed only if you apply
via NUS
Career Portal We regret that only shortlisted candidates will be notified. Job Description The Mechanobiology Institute (MBI) at the National University of Singapore (NUS) is a leading multi­disciplinary institute devoted to developing new paradigms for understanding biological functions in health and diseases from the perspective of cell, tissue and organ mechanics/dynamics and mechano-signal transduction. The institute operates on a fully integrated open-lab philosophy, with an extensive infrastructure supported by core facilities dedicated to technology such as state-of-the-art light microscopy, nano- and micro- fabrication, and computing. We seek to recruit a highly motivated individual to join the research group of Prof. Yan Jie as a postdoctoral fellow at the Mechanobiology Institute, National University of Singapore. As part of a project funded by the Human Frontier Science Program (HFSP) Accelerator Grant recently awarded to Prof. Yan's lab, the selected candidate will work on investigating properties of the the hemicentin protein. For this position, candidates must possess a PhD in biophysic or closely related fields, a strong background in protein biochemistry and a demonstrated experience in protein biophysic. The successful candidate will have opportunities to work closely with talented, motivated senior research fellows and interdisciplinary PIs, as well as with cutting-edge methodologies and instrumentation. Qualifications Educational Qualifications:PhD (or equivalent) in biophysics, or a closely related field. Technical Expertise:Demonstrated experience in protein biophysics, with a focus on the mechanical stability of force-bearing or mechanosensitive proteins.Proven proficiency in single-molecule force spectroscopy using magnetic tweezers.Strong background in protein biochemistry, including recombinant protein expression and purification.Experience investigating the effects of oxidative stress on protein structure and stability. Research and Professional CompetenciesAbility to independently design and conduct hypothesis-driven research aligned with project objectivesStrong quantitative data analysis and scientific reporting skills. Communication and CollaborationExcellent written and oral communication skills in EnglishAbility to work effectively within a multidisciplinary research environment and contribute to the objectives of the HFSP Accelerator Grant. Salary and benefits are commensurable to educational qualifications and working experience of the candidates. We regret that only shortlisted candidates will be notified."
Research Assistant,0.6184964863349682,"lab operations, laboratory operations, medical laboratory",11,0.2499035381591912,0.5926753553564585,BN4302 – Organs in a Dish: Organoid Bioengineering,"Company Introduction:‌ OREGENX is an innovative biotechnology company focused on organoid applications. We are dedicated to revolutionizing organoid technology and pioneering a new paradigm of precision medicine driven by patient-specific organoid models. By providing high-fidelity disease model sand drug-testing platforms, we enhance translational efficiency for pharmaceutical R&D and offer personalized therapeutic decision-making tools for clinical institutions. Our company has established a comprehensive organoid biobank covering multiple organ systems and diseases, continuously exploring the full value chain from drug screening to organ regeneration therapies. ( http://oregenx.com/en ) Job Description:‌ We are seeking a Research Assistant to perform daily laboratory tasks related to human stem cell culture, direct differentiation and organoid application. This position is ideal for junior researchers embracing the translational application of regenerative medicine. Candidates areexpected to be highly motivated, possess strong communication and organizationskills. The successful applicant will have the opportunity to learn cutting-edgeorganoid and genome editing technologies and develop a promising career path. Key Responsibilities:‌ 1. Strictly adhere to laboratory Standard Operating Procedures (SOPs) and safety regulations to ensure a safe working environment for all laboratory users. 2. General administrative and laboratory duties, such as procurement, equipment and cleanroom maintenance. 3. Assist in maintaining the stem cell culture platform. 4. Perform molecular, cellular, biochemical and immunological analyses. 5. Contribute to the construction and management of organoid biobanks. 6. Faithfully document and present R&D procedures and data as required. Qualifications:‌ 1. A bachelor’s degree in biology, regenerative medicine, bioengineering, or a related field. 2. Highly responsible, self-motivated, resilient, and entrepreneurial, with a willingness to growalongside the company. 3. Hands-on experience in molecular and cell biology, including molecular cloning and cell culture, is preferred. 4. Experience in human stem cell culture is advantageous. Candidates interested in this position are invited to send their resumes to HR@OREGENX.COM . We regret that only short-listed candidates will be notified."
Research Fellow (Mechanobiology Institute),0.610862982423614,"lab operations, laboratory operations, medical laboratory",11,0.2391219583642394,0.5760709953895911,BN4302 – Organs in a Dish: Organoid Bioengineering,"Interested applicants are invited to apply directly at the NUS
Career Portal Your application will be processed only if you apply
via NUS
Career Portal We regret that only shortlisted candidates will be notified. Job Description The Mechanobiology Institute (MBI) at the National University of Singapore is a multidisciplinary institute dedicated to developing new paradigms in biomedical research. We focus on the quantitative analysis of dynamic functional processes in pathogenesis, tissue regeneration, and function. We seek to recruit a Postdoctoral Research Fellow to work on a collaborative project between Dr Yin Loon Lee, MBI co-PI, at the Agency for Science, Technology and Research (A*STAR), and Dr Alexander Bershadsky at the MBI. The research fellow will primarily be embedded in the multidisciplinary environment at the MBI, while having the opportunity to work with colleagues in A*STAR to place their work in a translational context. In line with Dr Lee’s experience moving mechanobiology projects from bench to potential therapeutics, the successful candidate will  work on a basic science project with biomedical relevance. Specifically, insights gained from the project could lead to identification of novel drug targets for fibrotic diseases, which has been suggested to contribute to 45% of mortality in the developed world The overarching scientific goal will be to understand cytoskeletal connections between the nucleus and various forms of cell-extracellular matrix (ECM) adhesions through the study of phenomena requiring coordination of these seemingly distal molecular complexes. We will focus on directed cell migration, especially durotaxis or the migration of cells along stiffness gradients. Durotaxis has been proposed to contribute to the mechanical feed-forward loop driving tissue fibrosis, where ECM-secreting myofibroblasts preferentially migrate to the stiffer fibrotic ECM at the injury site, resulting in formation of even stiffer ECM. It has been further suggested that interrupting durotaxis could have therapeutic benefit in fibrotic diseases and cancers, underlying the importance of understanding molecular regulation of durotaxis The successful candidate will leverage the MBI's core capabilities in live cell microscopy, bioengineering, and molecular genetics to establish and interrogate appropriate experimental systems, while monitoring insights arising from parallel genetic, biochemical and molecular work in disease models at A*STAR. Qualifications A PhD in cell biology, biophysics, bioengineering, or similar fields Demonstrated expertise in cellular mechanobiology, molecular biology and genetics, microscopy, and image analysis Prior knowledge generating and working with cell culture substrates with well-defined biophysical properties in 2D and 3D would be advantageous Proven ability to work independently and as part of a collaborative team Excellent written and oral communication skills To apply Interested applicants should include the folllowing in their online applications: a cover letter describing their research experience and interests their Curriculum Vitae the contact information for at least two academic referees Scientific enquiries can be sent to Dr Yin Loon Lee at yinloon_lee@asrl.a-star.edu.sg . We regret that only shortlisted candidates will be notified."
Product Development Scientist,0.6091161062453976,"lab operations, laboratory operations, medical laboratory",11,0.23383515172766609,0.5779102277716552,BN4304 – Engineering Strategies for Gene and Cell Manufacturing,"Mirxes is a Singapore-headquartered molecular diagnostic company with R&D, manufacturing, and clinical lab  operations in Singapore, USA, Japan, and China. We specialize in microRNA technologies and the development, manufacturing, and provision of diagnostic test kits and clinical services. Our mission is to enable early disease detection and provide insights for better patient care by harnessing the power of microRNA to augment traditional testing. Our vision is to be the world’s leading developer and provider of accurate, actionable, and affordable microRNA-powered diagnostic tests. Job Location: Helios (Onsite) Job Summary We are seeking a highly motivated Product Development Scientist to drive innovation and develop new products from concept through commercialization. In this role, you will design experiments, analyze data and translate scientific insights into high-quality products that meet customer and business needs. This role offers the unique opportunity to collaborate cross-functionally to guide project direction and design. Roles and Responsibilities Lead the research, formulation, and development of new products and technologies. Design and execute laboratory experiments, following sound scientific and statistical methods. Evaluate product performance through analytical testing, stability studies, and prototype iterations. Collaborate with cross-functional teams (Clinical, Assay Development, Data Science and Bioinformatics, Quality, Manufacturing, Commercial, Regulatory) to define requirements and ensure successful scale-up. Maintain detailed documentation, including lab notebooks, test plans, and technical reports. Analyze data to draw conclusions and guide decision-making; present findings to stakeholders. Support intellectual property efforts, including literature reviews and patent disclosures. Troubleshoot product and process issues, identifying root causes and proposing solutions. Stay current with scientific advancements, competitive products, and emerging technologies. Desired Skills and Competencies Required At least BSc in molecular biology or related discipline. 2–5+ years of relevant experience in product development or applied R&D (or strong academic research
experience). Hands-on laboratory skills and familiarity with experimental design and data analysis, particularly in DNA/RNA-based diagnostic assays (quantitative real-time PCR, multiplex-PCR), NGS and circulating nucleic acid analysis. Experience with software as medical device (SaMD) preferred. Strong problem-solving ability and a track record of scientific creativity. Must be able to work independently and is self-motivated. Excellent communication skills and the ability to work in cross-functional teams. Experience managing multiple projects and meeting deadlines. Ability to work and collaborate effectively in a dynamic environment with a team of diverse disciplines. Preferred Experience taking products from concept to commercialization. Knowledge of regulatory requirements relevant to the industry such as ISO13485. Proficiency with analytical instrumentation, formulation tools and statistical software. Prior patent or publication experience. This position is based in Singapore. We appreciate your interest in the above-mentioned position, however, only shortlisted candidates will be contacted."
"1 year contract Associate Scientist, Cell Culture (Pharma) - Up to $4K #HKH",0.6084175417292055,"lab operations, laboratory operations, medical laboratory",11,0.2552027203357941,0.5316822679744391,BN4304 – Engineering Strategies for Gene and Cell Manufacturing,"Associate Scientist, Cell Culture The candidate will work in a diverse team to support and troubleshoot commercial biologics cell culture manufacturing processes. The successful candidate will have experience in cell culture, excellent communication skills, and a collaborative mindset toeffectively work with cross-functional groups. Key responsibilities include: Manufacturing process trending, participating in process validation activities, providing technical support, drafting technical justifications and process understanding by processmapping Additional activities include the design, execution, and interpretation of experiments to perform process characterization, evaluate novel technologies, identify process improvements, drafting risk assessments and providing technical expertise to support regulatory submissions A basic understanding of cell culture or fermentation biology, process scale-up and statistical methods is essential. Hands-on experience working in the lab, aseptic technique, cell culture and bioreactor operations, to support the routine responsibilities with solid scientific data is also desirable. The position necessitates extensive interaction with manufacturing, quality, purification process development as well as CMC/Regulatory Affairs groups Requirements Min Degree in Science Min 1 to 3 years of working experience / internship in pharma plant $3.5K + $500 site allowance Office hours, mon to Fri office hours Interested candidates, please forward your resume to kevynhuang@recruitexpress.com.sg Consultant: Huang Jingsheng Kevyn (R1333338) Recruit Express Pte Ltd (99C4599)"
Medical Technologist (Haematology/Microbiology/Pathology) (ID: 670440),0.6063323545950343,"lab operations, laboratory operations, medical laboratory",11,0.2652512943390696,0.5011591842970318,BN2105 – Medical Device Life Cycle Management,"Responsibilities: •	Ensuring the highest level of laboratory standard is carryout daily basis •	To manage and ensure the technical competencies and skill improvement process of the junior and experienced medical technologists through learning curve •	To ensure quality controls setting/ LIS management/ continuous quality improvement processes in day to day basis and whenever necessary •	To assist section manager in implementing new/improved work-flow and processes in continual approach, and assist in any other duties assigned by management •	Strictly follow the guidelines and operational improvement processes laid out by the operation manager whenever required Requirements: •	Degree/Diploma in Biomedical Science •	At least 3 years of relevant working experience in a clinical laboratory setting •	Proficient in Microsoft Office Application •	Possess good analytical skills and work well under pressure Interested candidates who wish to apply for the advertised position, please click on “Apply”. We regret that only shortlisted candidates will be notified. EA License No.: 01C4394 (PERSOL Singapore PTE LTD) By sending us your personal data and curriculum vitae (CV), you are deemed to consent to PERSOL Singapore Pte Ltd and its affiliates to collect, use and disclose your personal data for the purposes set out in the Privacy Policy available at https://www.persolsingapore.com/policies. You acknowledge that you have read, understood, and agree with the Privacy Policy."
Senior Research Fellow (Dept of Pharmacology),0.6020207092455718,"lab operations, laboratory operations, medical laboratory",11,0.22116663335294048,0.5677702795219782,BN4302 – Organs in a Dish: Organoid Bioengineering,"Interested applicants are invited to apply directly at the NUS
Career Portal Your application will be processed only if you apply
via NUS
Career Portal We regret that only shortlisted candidates will be notified. Job Description The National University of Singapore invites applications for a Senior Research Fellow for “ Engineered extracellular vesicles for anti-cancer therapy (EVANTICA) ” in the Department of Pharmacology , Yong Loo Lin School of Medicine.  Teaching and research activities in our department range from clinical pharmacology, systems pharmacology, to basic molecular and cellular pharmacology. More information on the department is available at http://medicine.nus.edu.sg/medphc/index.html. Purpose of the post The Senior Research Fellow (SRF) will be responsible to conduct research on cell culture, mouse experiments and various functional assays, and work closely with, the Principal Investigator and study team members to ensure the successful completion of the experiments on time. The SRF’s principal role will be to work in general practices such as molecular cell experiments, in vivo experiments, data collection, data analysis, manuscript & grant writing and presentations. Main duties and responsibilities The SRF will perform extracellular vesicles characterization, assays in cell culture. The SRF will be able to: Project and Laboratory Management: Oversee the overall management and day-to-day coordination of the main research project, and provide supervisory support to other ongoing projects within the laboratory. Research Planning and Coordination: Contribute to strategic planning of research activities, including setting timelines, coordinating resources, and ensuring project milestones are met. Mentorship and Supervision: Mentor and supervise a small team of approximately 4–6 members, including research assistants, graduate students, and undergraduate students. Provide scientific guidance, technical training, and performance feedback to team members. Experimental Design and Execution: Design, plan, and perform experiments independently or collaboratively, ensuring scientific rigor and reproducibility. Data Analysis and Reporting: Analyze and interpret experimental data using appropriate methods. Prepare research reports, manuscripts, and other scientific documentation for publication and dissemination. Scientific Communication: Present research findings at internal meetings, seminars, and conferences. Actively engage in scientific discussions with team members and collaborators to refine experimental approaches and interpretations. Additional Duties: Assist Principal Investigator with other research-related and administrative duties of a similar nature as assigned by the PI. Grant application: Apply for additional research grants. Qualifications The applicant should: Have a Ph.D. degree in Molecular Cell Biology or related disciplines; with fluent English At least 5–8 years of postdoctoral or equivalent research experience, with a strong track record of independent research. A good publication record with recent first-author research papers in good journals Demonstrated the ability to perform high caliber research Ability to lead research projects independently, manage timelines, and coordinate multidisciplinary collaborations Be able to work independently and in a team, have an investigative nature, attention to detail; and Have a strong experience in wet-lab experiments especially with human cell culture and in vivo experiments in mouse models Strong experience in supervising and mentoring junior researchers, PhD students, and technical staff. Experience in industry collaboration, translational research, or technology development will be an advantage. Remuneration will be commensurate with the candidate’s qualifications and experience. Formal application : Please submit your application, indicating current/expected salary, supported by a detailed CV (including personal particulars, academic and employment history, complete list of publications/oral presentations and full contacts of 3 referees to the NUS Career Portal. We regret that only shortlisted candidates will be notified."
Research Associate,0.6013237043554921,"lab operations, laboratory operations, medical laboratory",11,0.22148495589902026,0.5636486099794198,BN4304 – Engineering Strategies for Gene and Cell Manufacturing,"About Nuevocor Nuevocor is a clinical-stage biotechnology company developing novel therapies for genetic cardiomyopathies driven by aberrant mechanobiology, headquartered in Singapore with offices in the U.S. and Europe. Our unique approach, enabled by our proprietary PrOSIA mechanobiology platform, overcomes the limitations of traditional gene replacement therapy to treat defects in shared disease pathways across multiple cardiomyopathies. By addressing the root cause of disease, Nuevocor develops first-in-disease therapies for genetic cardiomyopathies that are not amenable to gene replacement therapy and have no effective treatment options. We are looking for highly motivated Research Associates to join our Discovery & Pipeline Program. This role is ideal for someone who thrives in an innovative, translational and fast-paced global biotech environment and is eager to participate in mission-oriented R&D focused on targeted outcomes. Key Responsibilities Execute and support in vivo mouse studies as part of preclinical AAV gene therapy programs, with a strong focus on mouse husbandry, transgenic colony management, and experimental animal work. Work with company scientists to execute and troubleshoot experiments in a variety of areas, including lead optimization and preclinical development of AAV gene therapy for genetic cardiomyopathies. Contribute to multiple projects and work with collaborators to achieve project milestones. Keep detailed and accurate records of experiments, data and analysis to support and protect intellectual property of the company. Contribute to lab management Qualifications Minimum Bachelor’s degree in Life Sciences or related fields. Willing to work with mice, preferably with hands-on experience. At least one of the following technical capability areas is required. - Experience working with in vivo mouse models, such as transgenic colony management, administration of drugs, tissue harvesting and processing; and/or - Experience in cell and molecular biology and biochemistry, such as cell culture, transfections, molecular cloning, PCR, qPCR, Western blots, ELISA, immunoprecipitations, immunofluorescence microscopy Experience in cardiac phenotyping (e.g. echocardiography), AAV vectors, or proteomics would be advantageous. Keen interest in translational research and comfortable working efficiently to meet timeline and milestones. High standards in documentation. Good time management and proactive attitude. Excellent communication skills and ability to work in a team. What We Offer A unique opportunity to contribute to a cutting-edge biotech company at a pivotal stage. Exposure to executive-level decision-making and strategic initiatives across the company. A collaborative and  inclusive culture that values initiative and growth. Competitive compensation package. Nuevocor is an equal opportunity and equal benefits employer. All qualified applicants will receive consideration for employment. If you are passionate about science and business and want to be part of a team driving meaningful change in cardiovascular medicine, we would love to hear from you. Please submit a CV and cover letter to http://tinyurl.com/nuevocorcareer"
