title,combined_score,topic_label,topic_module_count,avg_similarity,max_similarity,best_module,description
Finance / Accounting Trainer (Freelance/Part Time),0.7416235416540379,"accountancy, accountant, accounting finance",8,0.5003164110770013,0.7074848861161862,ACC1701 – Accounting for Decision Makers,"Position Overview: WLP Academy is looking for a skilled and experienced Accounting/Finance Trainer to join our team. The Trainer will play a key role in providing top-notch training, ensuring adult learners achieve effective learning outcomes and assessments. This role demands a strong commitment to upholding assessment integrity while contributing to a positive and engaging learning environment. The ideal candidate will be passionate about teaching and dedicated to promoting a culture of excellence. Training Delivery: •	Participate in curriculum improvements and deliver course content in alignment with WLP’s curriculum and learning standards. •	Facilitate manual and digital assessments to evaluate and track learner performance and progress. •	Delivery of Core Accounting Concepts: Double Entry, Accounting Standards & Accounting Cycle •	Financial Statement Analysis: Guide learners on how to read and interpret the Profit & Loss (Statement of Comprehensive Income) and Balance Sheet (Statement of Financial Position). •	Interpretation of financials: Teach calculation of key financial ratios (Current Ratio, ROI, Gross Margin) to assess business health. •	Data Analytics & Visualization: Guide learners on extracting raw financial data and transforming it into actionable insights. •	Ensure learners meet the specified course learning objectives through engaging and effective teaching methods. •	Conduct engaging, practical training sessions (in-person, virtual, or hybrid). •	Adapt delivery style to suit different audience types (e.g., professionals, entrepreneurs, junior staff). •	Encourage participant interaction, learning, and real-world application. •	Provide practical exercises and simulations in financial statements analysis Assessment Integrity: •	Uphold the highest standards of assessment integrity, ensuring that assessments follow WSQ guidelines and internal policies. •	Ensure that all assessment questions are marked, and learners' answers are accurately evaluated. •	Verify that all questions are answered and attempted by learners. Incomplete responses should not be marked as “pass.” •	Conduct and properly document oral recovery sessions, ensuring transparency and consistency. •	Prevent instances of “flashing” answers and address any behaviors that compromise assessment integrity. •	Ensure incorrect answers are not marked as ""pass""; only correct answers aligned with the assessment criteria should be considered. Administrative Responsibilities: •	Complete and submit Assessment Summary Records (ASRs) and other required documentation in a timely manner. •	Maintain accurate records of attendance, assessments, and learner-related data. •	Ensure that all training materials remain up-to-date and relevant in accordance with industry standards. Learner Support and Engagement: •	Provide constructive feedback on assessments and offer guidance for learners to improve. •	Address learner concerns professionally, promoting a supportive and positive learning environment. •	Foster inclusivity and respect in the classroom, ensuring equal learning opportunities for all students. Requirements •	ACLP (Advanced Certificate in Learning and Performance) or ACTA (Advanced Certificate in Training and Assessment) certification is required. •	Degree in Accounting, Finance, or a related field. •	Professional certification (e.g., CA, ACCA, CPA) is a plus. •	At least 3–5 years of practical accounting experience. •	Strong presentation, facilitation, and interpersonal skills. •	Prior training or teaching experience is highly desirable. •	Ability to simplify complex financial concepts for diverse learners."
Financial Accountant,0.7141057937959427,"accountancy, accountant, accounting finance",8,0.4712902081329842,0.6279485527137451,ACC1701 – Accounting for Decision Makers,"Lico Resources is partnering with a reputable financial institution known for its stability, disciplined operations, and long-standing presence in the industry. With a strong track record of compliance and financial stewardship, the organization offers a collaborative environment that values continuous learning and professional growth. This is an excellent opportunity for a finance professional with a strong foundation in external audit or financial accounting to transition into a commercial accounting role within the financial services industry. Based in Singapore, the role is ideal for individuals looking to build a long-term career in finance with exposure to a regulated and fast-paced environment. Key Responsibilities: Prepare timely and accurate monthly and quarterly financial reports in compliance with internal and regulatory requirements Perform general ledger accounting, including journal entries, accruals, and account reconciliations Support month-end and year-end closing activities across various business units Assist with external and internal audits by preparing required schedules and documentation Ensure adherence to accounting standards (e.g. IFRS) and internal financial      controls Participate in the preparation of budgets and forecasts, supporting variance analysis as required Maintain up-to-date documentation of accounting processes and policies Collaborate with internal stakeholders to resolve accounting queries and improve      financial processes Contribute to initiatives related to finance transformation, automation, and system enhancements Qualifications: Must-Have: Degree in Accounting, Finance or a related field 3 to 5 years of relevant experience, preferably from a Big 4 external audit firm or in a financial institution Solid understanding of accounting principles and financial reporting standards (e.g. IFRS) Proficiency in Microsoft Excel and accounting systems such as SAP, Oracle, or equivalent Strong attention to detail, good analytical skills, and a hands-on approach to problem solving Excellent communication and interpersonal skills, with the ability to work both independently and in a team setting Nice-to-Have: Professional certifications such as CPA, ACCA, or equivalent (completed or in progress) Familiarity with MAS reporting and regulatory requirements Exposure to the financial services sector or regulated environments Experience participating in process improvement or automation projects If you are interested in this role, please send us your updated resume today to nicole@licoresources.com quoting
reference number A07216. Please note that only shortlisted candidates will be notified. ""Data provided is for recruitment purposes only."" Job Reference No: A07216
EA Licence No.: 13C6733 EA Registration No.: R1333454"
AI Finance / Accounting Trainer (Freelance/Part Time),0.7128734999656225,"accountancy, accountant, accounting finance",8,0.45879308064424507,0.6467813385396227,ACC1701 – Accounting for Decision Makers,"Position Overview: WLP Academy is looking for a skilled and experienced Accounting/Finance Trainer to join our team. The Trainer will play a key role in providing top-notch training, ensuring adult learners achieve effective learning outcomes and assessments. This role demands a strong commitment to upholding assessment integrity while contributing to a positive and engaging learning environment. The ideal candidate will be passionate about teaching and dedicated to promoting a culture of excellence. Training Delivery: •	Participate in curriculum improvements and deliver course content in alignment with WLP’s curriculum and learning standards. •	Design and develop AI training content, including both core/beginner and advanced levels. •	Prompt Engineering for Finance: Teach learners how to construct precise prompts to generate financial summaries, draft overdue payment emails, and interpret P&L variances using LLMs (Large Language Models). •	Excel & AI Integration: Guide learners on using AI features within spreadsheets (e.g., Copilot for Excel) to clean data and generate formulas automatically. •	Facilitate manual and digital assessments to evaluate and track learner performance and progress. •	Ensure learners meet the specified course learning objectives through engaging and effective teaching methods. •	Conduct engaging, practical training sessions (in-person)making complex AI tools accessible and relevant to learners. •	Adapt delivery style to suit different audience types (e.g., professionals, entrepreneurs, junior staff). •	Encourage participant interaction, learning, and real-world application. •	Provide practical exercises and simulations in financial statements analysis Assessment Integrity: •	Uphold the highest standards of assessment integrity, ensuring that assessments follow WSQ guidelines and internal policies. •	Ensure that all assessment questions are marked, and learners' answers are accurately evaluated. •	Verify that all questions are answered and attempted by learners. Incomplete responses should not be marked as “pass.” •	Conduct and properly document oral recovery sessions, ensuring transparency and consistency. •	Prevent instances of “flashing” answers and address any behaviors that compromise assessment integrity. •	Ensure incorrect answers are not marked as ""pass""; only correct answers aligned with the assessment criteria should be considered. Administrative Responsibilities: •	Complete and submit Assessment Summary Records (ASRs) and other required documentation in a timely manner. •	Maintain accurate records of attendance, assessments, and learner-related data. •	Ensure that all training materials remain up-to-date and relevant in accordance with industry standards. Learner Support and Engagement: •	Provide constructive feedback on assessments and offer guidance for learners to improve. •	Address learner concerns professionally, promoting a supportive and positive learning environment. •	Foster inclusivity and respect in the classroom, ensuring equal learning opportunities for all students. Requirements •	ACLP (Advanced Certificate in Learning and Performance) or ACTA (Advanced Certificate in Training and Assessment) certification is required. •	Degree in Accounting, Finance, or a related field. •	Prior experience teaching (preferably 3 years) or training adult learners in AI / digital technology. •	Professional certification (e.g., CA, ACCA, CPA) is a plus. •	At least 3–5 years of practical accounting experience. •	Strong presentation, facilitation, and interpersonal skills. •	Prior training or teaching experience is highly desirable. •	Ability to simplify complex financial concepts for diverse learners."
Graduate Trainee (Accounting Services),0.7126721213660071,"accountancy, accountant, accounting finance",8,0.4696216470169635,0.6241173127961078,ACC2706 – Managerial Accounting,"Nexcore is a renowned consultancy firm dedicated to offering comprehensive solutions for businesses and individuals aiming for overseas operations and cross-border expansions. Our footprint spans globally, including pivotal regions like Singapore, Hong Kong, Japan, the US, Dubai, and China. Whether it's setting up company structures, accounting, or tax and legal compliance issues, our expert team is equipped to handle every challenge and ensure smooth business transitions. Role Overview As a Graduate Trainee (Accounting Services), you will receive hands-on training in bookkeeping and accounting support functions. This role is ideal for candidates who are looking to build a strong foundation in accounting and compliance, even without prior working experience. Key Responsibilities Assist in bookkeeping and maintenance of accounting records Support preparation of management accounts and financial schedules Assist with bank reconciliations, invoices, and expense tracking Prepare supporting documents for audit and tax filing purposes Maintain proper documentation and filing of accounting records Communicate with clients to follow up on accounting-related information Support the accounting team in day-to-day operational tasks Requirements Diploma or Degree in Accounting, Finance, Business, or related fields Fresh graduates are welcome to apply; candidates with up to 1 year of accounting experience will be considered Basic understanding of accounting principles is preferred (training will be provided) Comfortable working with numbers and Excel Good written and spoken English Responsible, detail-oriented, and willing to learn What We Offer Structured training in accounting and compliance work Exposure to SME and international client portfolios Career development opportunities in professional services Supportive team and learning environment CPF contributions in accordance with local regulations"
Assistant Accounting Manager (Tech MNC | Based in Vietnam).,0.7101881835198929,"accountancy, accountant, accounting finance",8,0.4644280514592712,0.6220848146809222,ACC1701 – Accounting for Decision Makers,"Job Responsibilities Financial Reporting: Assisting in the timely and accurate preparation and review of monthly, quarterly, and annual financial statements, reports (P&L, balance sheets, cash flow), and general ledger activities. Month-End/Year-End Close: Managing and coordinating the month-end and year-end closing processes to ensure deadlines are met. Auditing and Compliance: Coordinating with external auditors, preparing audit schedules, and ensuring compliance with all statutory laws, financial regulations, and accounting standards (e.g., GAAP, IFRS). Budgeting and Forecasting: Supporting the development of annual budgets and financial forecasts, monitoring expenditure against budgets, and analyzing variances. Supervision and Guidance: Overseeing, training, and mentoring accounting staff, reviewing their work (such as accounts payable/receivable and reconciliations) to ensure high-quality output. Process Improvement: Evaluating existing accounting practices and suggesting or implementing improvements to enhance efficiency and accuracy. Taxation: Assisting with tax planning and preparing and filing tax returns in collaboration with internal teams or external consultants. Financial Analysis: Performing in-depth financial analysis to identify trends, resolve discrepancies, and provide actionable insights to senior management for decision-making. Transfer Pricing: ﻿﻿Ensures that internal, cross-border transactions between related company entities are priced correctly to comply with tax laws and regulatory guidelines. Job Requirements Dachelor's degree in Accounting, Finance, or a related field with 8 years of related working experience. ﻿In-depth knowledge of accounting principles and financial reporting standards. Candidates with ﻿transfer pricing (TP) compliance and Country-by-Country Reporting (CbCR) will be an advantage. Strong analytical and problem-solving abilities. Excellent organizational skills and the ability to manage multiple tasks and tight deadlines. Willingness to take on overseas assignments and overseas postings. This is in partnership with the Employment and Employability Institute Pte Ltd (e2i). e2i is the empowering network for workers and employers seeking employment and employability solutions. e2i serves as a bridge between workers and employers, connecting with workers to offer job security through job-matching, career guidance and skills upgrading services, and partnering employers to address their manpower needs through recruitment, training, and job redesign solutions. e2i is a tripartite initiative of the National Trades Union Congress set up to support nation-wide manpower and skills upgrading initiatives. By applying for this role, you consent to GMP Recruitment Services (S) Pte Ltds PDPA and e2is PDPA."
Accounts Executive (Full Set),0.707386913340833,"accountancy, accountant, accounting finance",8,0.4565961924374986,0.6237421818291679,ACC2706 – Managerial Accounting,"About the Role The incumbent will support daily full-set accounting operations and partner with the offshore Batam finance team to ensure accuracy, timeliness, and operational excellence in financial transactions. Reporting to the Assistant Finance Manager, this role focuses on hands-on accounting work, coordination, and follow-up to support month-end closing, reporting, and compliance requirements with the relevant stakeholders. Key Responsibilities Accounting Operations Handle daily accounting activities including posting/review of sales invoices, purchase invoices, payments, receipts, and journal entries. Perform reconciliations for bank accounts, e-commerce platforms, accounts receivable/payable, and intercompany balances. Support month-end and year-end closing activities to ensure accurate and timely reporting. Assist in the timely preparation and submission of GST returns in compliance with Singapore tax regulations. Maintain proper filing of accounting records and supporting documents. Work closely with the offshore Batam team to ensure daily accounting tasks are completed accurately and on time. Follow up on outstanding items, discrepancies, and documents with internal stakeholders (e.g. Sales, Operations, Procurement). Escalate unresolved issues to the Assistant Finance Manager when required. Reporting & Audit Support Assist in preparing financial reports and schedules for management review. Support internal and external audits by preparing documents and responding to queries. Follow established accounting procedures and suggest process improvements where applicable. Requirements Diploma in Accounting, Finance, LCCI, or a related field; candidates pursuing ACCA are welcome to apply. 1–2 years of relevant accounting experience; fresh graduates with relevant internship experience may be considered. Good understanding of accounting principles and Singapore tax regulations, including GST. Familiar with Microsoft Dynamics 365 Business Central Accounting Software is an advantage. Proficient in Microsoft Excel, with hands-on experience using Formulas, PivotTables and lookup functions (e.g. VLOOKUP, XLOOKUP). Detail-oriented, organized, and able to follow up on tasks independently in a fast-paced environment. Good communication and collaboration skills, with the ability to work effectively with internal and external stakeholders. Positive learning attitude, proactiveness and accountability in assigned task."
Accounting & Tax Manager,0.7063009111533709,"accountancy, accountant, accounting finance",8,0.4330261597825322,0.6654522362017903,ACC3703 – Taxation,"Bestar is a full-service accounting and corporate services firm in Singapore. A Manager-level role at Bestar involves overseeing a portfolio of clients (ranging from SMEs to international subsidiaries) and leading a team of associates. Job Title: Accounting & Tax Manager Employment Type: Full-Time Job Purpose As an Accounting & Tax Manager at Bestar, you will be responsible for the high-level management of client portfolios, ensuring all financial reporting and taxation requirements are met with precision and in compliance with Singapore’s regulatory frameworks (SFRS and IRAS). You will act as a key advisor to clients and a mentor to junior staff. Key Responsibilities 1. Client Portfolio Management Oversee the preparation of full sets of accounts and management reports for a diverse range of clients. Review unaudited financial statements and ensure they comply with Singapore Financial Reporting Standards (SFRS) . Act as the primary point of contact for clients, providing advisory on complex accounting issues, business structuring, and internal controls. 2. Taxation & Compliance Lead the preparation and review of Corporate Income Tax (CIT) returns (Form C/C-S) and Estimated Chargeable Income (ECI) filings. Oversee GST reporting and ensure accurate quarterly submissions (Form 5). Provide tax planning and advisory services, including withholding tax, transfer pricing, and identifying relevant tax incentives. Liaise with the Inland Revenue Authority of Singapore (IRAS) regarding tax queries or audits. 3. Audit & Advisory Manage and coordinate year-end audit processes for clients, liaising with external auditors to resolve technical accounting issues. 4. Leadership & Operations Manage, mentor, and review the work of Accounts Associates and Senior Associates. Drive workflow efficiency through the adoption of cloud accounting software like Xero or QuickBooks Online . Monitor billing, collections, and the recoverability of team hours for assigned projects. Job Requirements Education: Bachelor’s Degree in Accountancy, Finance, or a related field. Professional Qualification: CA Singapore, ACCA, CPA, or equivalent is highly preferred. SCTP (Singapore Chartered Tax Professionals) accreditation is a significant advantage. Experience: Minimum 6–8 years of relevant experience in a professional accounting firm in Singapore, with at least 2 years in a supervisory or managerial capacity. Technical Skills: * Deep knowledge of Singapore Companies Act and Income Tax Act. Proficiency in cloud accounting software (Xero, QuickBooks) and MS Excel. Soft Skills: Strong leadership, excellent communication (English), and the ability to manage multiple deadlines in a fast-paced environment. Why Join Bestar? Diverse Exposure: Work with a wide range of industries, from local startups to international businesses. Professional Growth: Opportunity to move into specialized advisory or senior leadership roles. Collaborative Culture: Bestar emphasizes a supportive, team-oriented environment focused on SME success."
"Senior Executive, Accounts",0.703206802112939,"accountancy, accountant, accounting finance",8,0.45996156761313206,0.5961108753384305,ACC2706 – Managerial Accounting,"Our Finance Team ensures the overall financial health of the organization, and supports the development of the organization's budgeting, financial planning and long-term financial goals. The  Senior Executive, Accounts plays a critical role in maintaining financial integrity and supporting effective financial management for RC. The Senior Executive, Accounts is responsible for ensuring accurate financial reporting, compliance with statutory and regulatory requirements, and the implementation of strong internal controls. The Senior Executive, Accounts will work closely with school leaders, programme and unit leaders to support budgeting, forecasting, and financial analysis for sound decision-making aligned to the RC’s strategic goals. Key Tasks and Responsibilities Financial Accounting & Reporting Accounting Operations: Perform General Ledger function for assigned programmes and units, along with supporting tasks which may include Accounts Payable and Accounts Receivable; Cash and Fixed Asset Management; and Ad-hoc tasks as and when required Financial Reporting & Month-End Closing: Prepare accurate and timely monthly financial closing, monthly balance sheet schedules and reconciliations, monthly cash flow forecasts and annual statutory financial statements Subledger Reconciliation & Resolution: Reconcile subledger transactions with the Financial Accounting System, perform investigation on discrepancies (if any), and resolve discrepancies to ensure accurate and reliable reporting Banking Transactions Management: Record all banking transactions timely and accurately Management Reporting Support: Support Lead Manager, Finance Operations to prepare monthly management reports Budgeting, Financial Planning & Analysis Budget Preparation & Financial Forecasting: Assist in the preparation and consolidation of the annual budget and regular financial forecasts for assigned units Variance Analysis & Financial Planning Support: Support Lead Manager, Finance Operations in conducting monthly budget and forecast variance analysis to provide insights for financial planning and decision-making Cost Analysis & Strategic Insights: Generate cost analysis reports to support management in strategic financial decision-making Compliance & Internal Controls Regulatory & Compliance Monitoring: Stay updated with the financial aspect of funding requirements and ensure compliance with tax, legal and regulatory requirements Petty Cash Administration: Administer petty cash, including claim verification, processing, and reconciliation Documentation & Approvals: Review RC’s monthly financial transactions for proper documentation, accurate account assignment, and timely approvals Internal Controls Monitoring: Monitor the effectiveness of internal controls, promptly escalating risks or irregularities to Lead Manager, Financial Operations Audit Follow-Up & Implementation: Take follow-up actions on audit findings and recommendations, and ensure timely implementation of recommendations Asset Reconciliation: Safeguard RC’s assets (cash, inventory and equipment) through appropriate internal control procedures and periodic reconciliations Collaboration & Process Improvement Process Improvement & Efficiency: Work with other Finance Operations team members to streamline processes and improve efficiency Financial Systems & Controls Enhancement: Participate in financial system or workflow improvements, including documentation of procedures and sharing of best practices Job Holder Requirements Diploma or Degree in Accountancy / Finance with relevant professional accounting certification (ACCA) Minimum 2 years of relevant working experience Experience in budgeting, forecasting, and variance analysis, will be an advantage Prior working experience in Social Services or Special Education sector will be an advantage."
Senior Accountant,0.7017463160805655,"accountancy, accountant, accounting finance",8,0.4543883930163191,0.599954794370189,ACC3703 – Taxation,"Senior Accountant / Accountant (Retail & E-commerce | Singapore) Our client is a growing retail and e-commerce company with an established presence across physical stores, online platforms, and department store channels. As part of its continued expansion, the company is seeking a hands-on and experienced Senior Accountant / Accountant to oversee the full spectrum of finance operations in Singapore. This is a critical role that will work closely with business stakeholders and play an integral part in financial management, cashflow planning, and business performance. This is an excellent opportunity for a motivated finance professional to take ownership of the finance function and contribute to business growth in a dynamic retail and supply chain environment. Key Responsibilities: • Lead and manage the full spectrum of accounting and finance operations for the Singapore business. • Oversee cashflow planning and cash management to ensure smooth operational funding. • Handle GST reporting, IRAS compliance, and corporate tax filings in accordance with local regulations. • Assist in the budgeting and forecasting processes to support strategic and operational planning. • Prepare financial reports, analysis, and insights to support management decision-making. • Manage relationships with banks, including banking facilities, financing arrangements, and all company bank accounts. • Develop, standardize, and strengthen finance policies, processes, and internal controls. • Supervise 1–2 direct reports within the finance team. • Partner with internal stakeholders across retail operations, supply chain, and e-commerce functions. • Support financial matters related to physical retail stores, online sales channels, and department store partnerships. Qualifications & Experience: • Bachelor’s degree in accounting, Finance, or a related field; professional certifications (ACCA/CPA/CA) are an advantage. • Strong experience in full-spectrum accounting and finance operations in a commercial environment. • Solid hands-on knowledge of cashflow management, banking matters, and financial controls. • Confident stakeholder manager, able to work closely with operational and business teams. • Hands-on, proactive, and adaptable, with the ability to work independently in a fast-paced environment."
Accounts Assistant,0.7012277139036099,"accountancy, accountant, accounting finance",8,0.43880681287151485,0.6285249437750201,ACC2706 – Managerial Accounting,"Company Overview A retail and manufacturing company which bakes bread and other confectionery products. Currently, we have 11 outlets across the island and 1 factory located at Woodlands. Job Summary Manage the full set of accounts and lead day-to-day accounting operations to ensure accurate financial records, compliance, and timely reporting that support business growth and operational efficiency. Responsibilities Process and record all financial transactions daily, ensuring accuracy and proper documentation with required approvals Manage accounts payable, accounts receivable, general ledger, and bank reconciliations to maintain comprehensive financial records Execute month-end closing activities and prepare financial reports to deliver timely and accurate insights for decision-making Collaborate with auditors, bankers, and tax agents by preparing audit schedules and supporting audit processes to ensure compliance Respond promptly to accounting-related queries to resolve issues and maintain stakeholder confidence Utilize accounting software effectively to streamline processes and enhance data accuracy Independently manage accounting tasks to maintain consistent and compliant financial operations Perform additional ad-hoc accounting assignments as required to support business needs"
