title,description,semantic_avg_similarity,skill_votes,skill_coverage
Strategy and Operations Manager - Up to $10K - WEST,"Job Description Streamline operations and foster a culture of well-being to help teams thrive while achieving high-impact outcomes. Oversee operational tracking, performance monitoring, and reporting of key initiatives to maintain transparency. Manage administrative and logistical tasks to support the smooth functioning of projects and initiatives. Assist in planning, and organizing, and training programs for internal teams for skills development. Develop clear and engaging technical documentation and reports to support team initiatives. Coordinate outreach efforts to enhance internal and external community engagement and strengthen presence. Manage ad hoc projects and special assignments to deliver high-quality outcomes. Lead employee engagement initiatives such as recognition programs, feedback systems, and team-building activities. Required Work Experience: Bachelor’s degree in Business Administration, Operations Management, or a related field. 3-7 years of experience in operations, strategy, or program management. Strong understanding of business operations and process improvement methodologies. Proven experience in implementing and optimizing processes to drive operational efficiency. Strong organizational skills with attention to detail in tracking, reporting, and documentation. Excellent communication, adaptable to diverse audiences. Skilled in collaboration and relationship-building across teams and stakeholders. Proficient in data analysis, trend identification, and operational improvements. Experienced in event planning and execution, including logistics and engagement. Proficiency in productivity and project management tools (e.g., Microsoft Office, Google Workspace) Familiarity with AI and automation technologies. This is a 1-year Contract position under People Advantage(Certis Group). We appreciate your application and regret only shortlisted candidates will be notified. By submitting your resume, you consent to the handling of your personal data in accordance with Certis Group Privacy Policy (www.certisgroup.com/privacy-policy). EA Personnel Name: Siti Khatijah EA Personnel No: R22111204 EA License No: 11C3955",0.19167772781208847,0,0.0
Junior Project Manager (Machine Learning Suite),"3-5 years of experience preferred Experience end-to-end projects for system implementation of Machine Learning Suite (MLS) Strong in driving project deliverables, actively tracking timelines, escalating issues when needed, and ensuring accountability
across teams. Strong in Project Management, Financial Management, Application Management, Risk and Issue Management, Change
Management and Resource Management Experience in Production Support Management, Incident and Problem Management Knowledge in networking, firewall, data migration, password encryption, SSO integration, and disaster recovery planning
and testing",0.23184492997459863,0,0.0
"Planning Engineer (Construction, MS Project, Primavera P6)","Create, update, and manage project timelines to ensure efficient workflow and execution. Monitor project schedules, track progress, and provide regular updates while identifying any deviations. Analyse scheduling data, assess budget forecasts, and oversee cost estimations to maintain financial accuracy. Collaborate with engineering, procurement, and project teams to align work scope and prepare detailed reports for management. Requirements: Degree in any relevant discipline. At least 4 years of project planning experience in Construction industry. Proficiency in Microsoft Project If you are keen to apply for the position, kindly email your detailed resume in MS Word to hr@recruit-expert.com Please note that only shortlisted candidates will be notified. For more job opportunities, please visit our website at www.recruit-expert.com EA Licence: 19C9701 Registration: R1326740",0.1874575031233918,0,0.0
Trading Analyst,"Job Description Provide market analytic support to the trading and refinery team by delivering timely insights, data-driven recommendations, and performance analysis. Enhance trading effectiveness through research, quantitative modeling, and operational support to enable strategic and profitable decision making. Key Responsibilities Conduct market research and maintain analytical models to support crude trading decisions. Build and enhance quantitative models for forecasting prices, flows, arbitrage, and supply–demand dynamics. Analyze large datasets (pricing, fundamentals, freight, refinery yields) to identify trading signals and optimization opportunities. Prepare daily/weekly/monthly market reports, pricing updates, and actionable insights for traders. Track trading positions, exposure, and P&L ensure accuracy of valuations and trade data. Maintain and automate datasets, dashboards, and analytics tools to improve decision quality and workflow efficiency. Perform scenario analysis, risk metrics assessment, and back-testing of trading strategies. Collaborate with Operations, Risk, Finance, and Supply teams to support seamless execution and reporting. Provide analytical input to value chain strategy and optimization and broader commercial strategy evaluations. Requirements Bachelor’s degree in Engineering, Science, Economics, Finance, Data Science, or a related discipline. 1–3 years in trading analytics, market analysis, commodities, energy, finance, refinery supply & commercial business or a similar analytical role. Analytical Skills, Quantitative Modeling, Market Analysis, Data Management, Risk Management, Problem Solving, Communication, Collaboration, Technical Proficiency (Excel / Python / SQL). TOEIC Score: 600",0.22782127136612162,0,0.0
"Staff Data Engineer, GenAI Applications, Global Business Consulting - Singapore","Product area Google Play offers music, movies, books, apps and games for devices, powered by the cloud. It syncs across devices and on the web. As part of the Android and Mobile team, Googlers working on Google Play do everything from engineering our backend systems, to shaping product strategy, to forming great content partnerships. They make it possible for people to do things like buy an ebook or song on their Android phone, then have it instantly available on their laptop. The Google Play team enhances the Android ecosystem by giving developers and partners a premium store where they can reach millions of users. Job description In this role, you will need to have a strong background and passion for Generative AI to lead the architectural design, development, and operationalization of the end-to-end Generative AI solution. This full-stack solution will be built directly upon Google Play Partnerships' critical data assets and integrated into our core business consultation workflows. This role offers a unique opportunity to work with mobile games and apps developers, translating complex data into innovative AI-driven products that directly enable the growth of their businesses. Qualifications Job responsibilities Design, build and maintain scalable and secure data pipelines (ETL/ELT) required for GenAI and ML models, integrate and prepare large-scale, various datasets for model training and serving. Lead the implementation of full-stack GenAI applications, and focus on robust data-centric techniques such as RAG and Fine-tuning. Develop and maintain LLM-based agents, including configuring RAG workflows and utilizing advanced prompt engineering techniques like Multi-hop Chain of Thought Prompting (MCP). Define and implement best practices for deploying, monitoring, and maintaining GenAI models and data systems in production environments, ensure performance, reliability, and scalability. Serve as subject matter expert, partner with data scientists, stakeholders to translate complex, ambiguous business challenges into robust data modeling designs and production-ready solutions. Minimum qualifications Bachelor’s degree or equivalent practical experience. 7 years of experience troubleshooting technical issues for internal/external partners or customers. Experience in either system design or reading code (e.g., Java, C++, Python). Preferred qualifications 10 years of experience writing and maintaining high-quality Extract, Transform, and Load (ETL) pipelines operating on a variety of structured and unstructured data sources. Experience applying GenAI technologies to enterprise-scale products and solutions, particularly within a quantitative domain. Understanding of MLOps/LLMOps practices for productionizing AI agents and models, and of cloud-native platforms (e.g., Google Cloud/GCP). Ability to break down complex, ambiguous problems and propose impactful solutions through robust data modeling and system design. Ability to communicate technical concepts to non-technical stakeholders, and attention to detail. Excellent written, and verbal communication skills.",0.18568673121055176,0,0.0
Senior Project Manager,"Hydroinformatics Institute Pte. Ltd. (""H2i"") are looking to strengthen its leadership team with a Senior Project Manager. This is a pivotal role for a professional capable of not only executing complex consultancy and technology development projects in water resources and environmental management but also playing a strategic role in shaping our Consulting business. You will act as a primary interface with our customers, fostering strong partnerships while holding them accountable to project prerequisites and timelines. You will provide leadership to cross-functional teams and contribute directly to the company’s strategic initiatives for growth and market leadership. Key Responsibilities ·      Strategic Leadership & Business Shaping o   Collaborate with the COO to refine delivery methodologies, improve Standard Operating Procedures (SOPs), and drive operational excellence within the division. o   Provide mentorship and leadership to cross-functional teams, fostering a culture of accountability and high performance. o   Proactively work with management to develop new business opportunities and lead the preparation of high-quality proposals for new projects. ·      Client Management & Accountability o   Act as the trusted advisor to clients while rigorously managing client-side dependencies. You will hold customers accountable for their deliverables (data, approvals, resources) to ensure project momentum. o   Lead difficult conversations regarding scope creep and change control, ensuring that project objectives remain aligned with commercial agreements. ·      Project Execution & Financial Control o   Execute and manage consultancy and technology development projects related to real-time water resource management (e.g., forecasting systems, water quality modelling) from initiation to post-completion handoff. o   Develop detailed project plans outlining scope, milestones, and resource allocations. Proactively identify risks and implement mitigation measures. o   Financial Management: Manage project budgets (> $1 million SGD) and cash flows, including processing payment claims, assessing financial impacts of changes, and ensuring projects are delivered within budget. o   Reporting: Maintain accurate data in the project management system and report project status to senior management on a bi-weekly and ad-hoc basis. Minimum Qualifications ·   Minimum 8-10 years of experience in managing consultancy and technology development projects, with a proven track record of delivering projects on time and within budget. ·      Master of Science degree in relevant field. ·      Must be legally eligible to work in Singapore. Singapore citizens and PRs preferred. Desirable Qualifications ·      Familiarity with working with government procurement procedures and executing projects in public sector domains. ·      Experience in managing projects with budgets exceeding $1million SGD. ·      Experience or affinity with real-time control applications and operational management systems (e.g. FEWS, MIKE Operations). ·     Experience or affinity in working with water modelling software packages (e.g. WFLOW, Sobek, Mike11, Delft 3D). ·      Experience or affinity in working with management/collaboration tools such as Confluence, Slack, Zoho and Gitlab. ·      PMP certification or equivalent. Skills and Competencies ·      Ability to navigate complex regulatory environments. ·      Excellent communication skills for stakeholder management and reporting progress updates within and outside of own domain. ·      Analytical skills for problem solving and risk mitigation. ·     Strong leadership skills to manage cross functional teams effectively.",0.23225192772184655,0,0.0
AI Engineer,"Job Description & Requirements Description & Requirements Position Summary The AI Engineer with GenAI expertise is responsible for developing advanced technical solutions, integrating cutting-edge generative AI technologies. This role requires a deep understanding of modern technical and cloud-native practices, AI, DevOps, and machine learning technologies, particularly in generative models. You will support a wide range of customers through the “Ideation to MVP” journey, demonstrating proficiency in leading projects and ensuring delivery excellence. Key Responsibilities Technical & Engineering Leadership • Develop solutions leveraging GenAI technologies, integrating advanced AI capabilities into cloud-native architectures to enhance system functionality and scalability. • Lead the design and implementation of GenAI-driven applications, ensuring seamless integration with microservices and container-based environments. • Create solutions that fully leverage the capabilities of modern microservice and container-based environments running in public, private, and hybrid clouds. • Contribute to thought leadership across the Cloud Native domain with an expert understanding of open-source technologies (e.g., Kubernetes/CNCF) and partner technologies. • Collaborate on joint technical projects with partners, including Google, Microsoft, AWS, IBM, Red Hat, Intel, Cisco, and Dell/VMware. Service Delivery • Engineer innovative GenAI solutions from ideation to MVP, ensuring high performance and reliability within cloud-native frameworks. • Optimize AI models for deployment in cloud environments, balancing efficiency and effectiveness to meet client requirements and industry standards. • Assess existing complex solutions and recommend appropriate technical treatments to transform applications with cloud-native/12-factor characteristics. • Refactor existing solutions to implement a microservices-based architecture. Innovation & Initiative • Drive the adoption of cutting-edge GenAI technologies within cloud-native projects, spearheading initiatives that push the boundaries of AI integration in cloud services. • Engage in technical innovation and support position as an industry leader. • Author whitepapers, blogs, and speak at industry events. • Maintain hands-on technical credibility, stay ahead of industry trends, and mentor others. Client Relationships • Provide expert guidance to clients on incorporating GenAI and machine learning into their cloud-native systems, ensuring best practices and strategic alignment with business goals. • Conduct workshops and briefings to educate clients on the benefits and applications of GenAI, establishing strong, trust-based relationships. • Perform a trusted advisor role, contributing to technical projects (PoCs and MVPs) with a strong focus on technical excellence and on-time delivery. Mandatory Skills & Experience • A passionate developer with 7+ years of experience in Java, Python, and Kubernetes, comfortable working as part of a paired/balanced team. • Extensive experience in software development, with significant exposure to AI/ML technologies. • Expertise in GenAI frameworks: Proficient in using GenAI frameworks and libraries such as LangChain, OpenAI API, and Hugging Face Transformers. • Prompt engineering: Experience in designing and optimizing prompts for various AI models to achieve desired outputs and improve model performance. • Strong understanding of NLP techniques and tools, including tokenization, embeddings, transformers, and language models. • Proven experience developing complex solutions that leverage cloud-native technologies—featuring container-based, microservices-based approaches; based on applying 12-factor principles to application engineering. • Exemplary verbal and written communication skills (English). • Positive and solution-oriented mindset. • Solid experience delivering Agile and Scrum projects in a Jira-based project management environment. • Proven leadership skills and the ability to lead projects to ensure delivery excellence Desired Skills & Experience • Machine Learning Operations (MLOps): Experience in deploying, monitoring, and maintaining AI models in production environments using MLOps practices. • Data engineering for AI: Skilled in data preprocessing, feature engineering, and creating pipelines to feed AI models with high-quality data. • AI model fine-tuning: Proficiency in fine-tuning pre-trained models on specific datasets to improve performance for specialized tasks. • AI ethics and bias mitigation: Knowledgeable about ethical considerations in AI and experienced in implementing strategies to mitigate bias in AI models. • Knowledgeable about vector databases, LLMs, and SMLs, and integrating with such models. • Proficient with Kubernetes and other cloud-native technologies, including experience with commercial Kubernetes distributions (e.g., Red Hat OpenShift, VMware Tanzu, Google Anthos, Azure AKS, Amazon EKS, Google GKE). • Deep understanding of core practices including DevOps, SRE, Agile, Scrum, Domain-Driven Design, and familiarity with the CNCF open-source community. • Recognized with multiple cloud and technical certifications at a professional level, ideally including AI/ML specializations from providers like Google, Microsoft, AWS, Linux Foundation, IBM, or Red Hat. Verifiable Certification • At least one recognized cloud professional / developer certification (AWS/Google/Microsoft) 2. SKILLS Agile Scrum API Azure C++ Data Engineering FEED Java Kubernetes Linux Machine Learning Pipelines Python PyTorch TensorFlow Tokenization",0.18735524926158717,0,0.0
Application Engineer (Equipment),"Job Description Responsible in analyzing and troubleshooting customer issues via phone or email as well as on-site Taking charge of conducting product application testing for sales reps and customers. Responsible in conducting  post sales application training to customers. In charge of receiving phone calls or emails from sales reps and customers and answering to the enquiries concerning product capabilities, specifications, and applications Responsible in creating and updating manuals for post sales application training for customers. Responsible to travel yo customer’s site for on-site support including setup, adjustment/ finetuning the system. In charge of assisting sales engineer with on-site presentations to customers when required Other duties or projects, as assigned Requirements Minimum Diploma in Electrical / Electronic Engineering or equivalent Minimum 1 Years of working experience in industrial equipment industry Familiar with Logic control, Microsoft Excel skills, communication protocol (i.e Serial, Modbus TCP, Ethernet, EIP etc.) and HMI programming To submit your application, please apply online to apply@rn-care.com or call +(65) 6513 5697 for private and confidential discussion. Your interest will be treated with the strictest of confidence. We regret that only shortlisted candidates will be notified or contacted. RN Care Pte. Ltd EA License No: 17C8900",0.1903921718680518,0,0.0
TLM Smartstream Techno Functional Consultant,"TLM Smartstream application development and reconciliation automation for a large bank in Singapore. Responsibilities: • Development and configuration of solutions utilizing smart stream TLM Application suite including TLM Control, TLM Smart studio, TLM Recon admin, TLM View, MI to support enhance and develop the platform • TLM Solution config and implementation working with users/project team to design, build, test and deliver the solutions • Create and maintain documentation • Execute the unit testing, system integration & user acceptance testing • Configuration/code management and maintenance of dev/test environment • Follow the delivery governance model and regular updates to project & Business stakeholders Mandatory Skills Description: - 3-8 years of relevant experience with TLM 2.4 & TLM 3.0 - Good knowledge of a RDBMS in particular at least one of Oracle, Sybase & SQL Server. - Good knowledge of at least two operating systems including Windows, Unix, and/or LINUX - Has solid solution configuration/ implementation skills including the ability to configure business applications using front end tools, database table updates, and data transformation tools (ETL). - Strong experience in smart stream TLM Application suite including TLM Control, TLM Smart studio, TLM Recon admin, TLM View, MI to support enhance and develop the platform - Have worked on TLM Solution config and implementation working with users/project team to design, build, test and deliver the solutions - Experience in unit testing, system integration & user acceptance testing, - Writing test case, test design and configuration/code management and maintenance of dev/test environment - Good communication skills and stakeholder management",0.19326391884303437,0,0.0
Executive (Exam Unit - Higher Educations) - Central - WCDT,"Examination Operations Manage confidential student and examination data in the student and learning management systems. Coordinate end-to-end examination operations for quizzes, class tests, and exams (onsite and online). Pre-Assessment Preparation Liaise with lecturers and module leaders on exam paper preparation and pre-moderation. Plan examination resources, including venue booking and invigilator deployment. Prepare and update examination schedules accurately. Prepare assessment materials for onsite and online examinations. Brief invigilators to ensure smooth assessment operations. Examination Day Operations Manage onsite and online examinations to ensure smooth execution. Work with invigilators to ensure compliance with examination procedures. Handle examination issues and academic misconduct cases when required. Post-Assessment Processing Coordinate post-assessment activities, including marking timelines and post-moderation. Liaise with academic staff on moderation and results finalisation. Update students’ graduation status in the student management system and at Examination & Awards Boards. Examination Board Management Support University Examination Board meetings, including pre- and post-moderation coordination with university partners. Prepare documentation and provide administrative support for board meetings. Programme & Administrative Support Support examination operations for new programmes, including planning first assessments. Liaise with internal and external stakeholders to align assessment processes and timelines. Draft and document examination workflows for new programmes. Process exam-related procurement and finance matters according to timelines. Stakeholder & Vendor Coordination Work closely with school operations and academic teams on examination matters. Coordinate with outsourced partners to monitor and track examination processes. Manage the assignment and deployment of invigilators for onsite and online exams. Others Perform other duties as assigned by the Reporting Officer from time to time. Wecruit Pte Ltd | 20C0270 Tew Jie Wei | R22106822",0.20558131580105457,0,0.0
