title,description,avg_similarity
Interior Designer (Hospitality),"Aedas is one of the world’s leading architecture design practices with a core mission to create inspiring designs that enhance the built environment and enrich lives — today and for future generations. Aedas leverages on its global network of expertise and deep understanding of local culture to deliver design solutions tailored to the nuances and needs of the communities we design for. We take a holistic design approach to sustainability with the goal of maximising benefits to the natural environment and communities, thereby building a better environment in which to work, live, play, and learn. Aedas operates from 3 principal Design Centres in Asia, Europe and the Middle East with a global network of 13 offices and over 1,000 staff spanning 4 continents. With a commitment to design excellence, we offer expertise in Architecture, Interior Design, Master Planning and Urban Design, across a broad range of sectors including Commercial, Residential, Mixed-Use, Education, Hospitality (including Integrated Resorts), Retail, Transportation, Aviation, Civic & Cultural, and Sports & Leisure. Key Responsibilities : • Assist in space planning, layouts, and design development. • Support design presentations, material boards, and visualization work. • Prepare drawings and documentation for design and construction phases. • Coordinate with vendors and consultants on finishes and FF&E. • Maintain project documentation with attention to consistency and detail. Key Competencies: • Good design sensibility and attention to detail. • Good visual communication and presentation skills. • Organized and responsive in managing tasks and timelines. • Clear communicator and collaborative team member. Application Link: https://careers.aedas.com/jobs/7119873-interior-designer-hospitality?promotion=1808769-trackable-share-link-application-link",0.45208800663206883
Design Manager,"Develop and present innovative design concepts that balance functionality, aesthetics, and sustainability Collaborate with the project management team to ensure seamless integration of the design process with overall project execution Attend client meetings, presentations, and site visits as needed Lead and manage the design process for a portfolio of architectural projects, collaborating closely with clients, project managers, and the design team Oversee the production of detailed design drawings, specifications, and technical documentation Ensure projects adhere to relevant building codes, regulations, and industry standards Provide mentorship and guidance to junior designers, fostering their professional development Interested applicants, please apply online or send your resume in WORD format to davidnhbsg@gmail.com; ram@deshingroup.com; wayne@deshingroup.com; shawn@deshingroup.com Thank you for your application but we regret that only shortlisted candidates will be notified.",0.4431629521632397
Internship Interior Designer,"Launch Your Interior Design Career: A Career-Focused Internship About Us: At HG Works Pte Ltd, we are passionate about crafting inspiring and functional spaces. As a dynamic interior design firm, we believe in nurturing the next generation of talent. When you join our collaborative team, you’re not just completing tasks; you’re building the foundation for your professional future. Your Career Opportunity: This full-time internship is designed as a launchpad for your design career. Go beyond academic theory and immerse yourself in the complete lifecycle of live projects. Under the direct mentorship of our senior designers, you will develop the practical skills and professional mindset essential for success in the industry. The internship begins with a 3-month introductory period to ensure a valuable mutual fit, with the opportunity to extend for deeper, long-term career development. Build Your Professional Skills & Portfolio: In this role, you will actively contribute while building critical career assets: Develop Design Solutions: Assist in creating tangible design concepts, including space planning, material palettes, and colour schemes that solve real client needs. Master Project Coordination: Gain hands-on experience supporting projects from concept to installation, learning to liaise effectively with clients, suppliers, and contractors. Enhance Client Communication: Participate in client meetings and contribute to presentation materials, building confidence and professional communication skills. Execute Collaborative Workflow: Collaborate with our internal team to see how design intent is translated into actionable project plans. Strengthen Industry Knowledge: Conduct research on trends, materials, and innovations, keeping your design thinking current and informed. Your Foundational Profile: We are looking for a future colleague who is building their professional toolkit: Currently pursuing or a recent graduate of a Diploma/Degree in Interior Design or a related field. Building Technical Proficiency: Foundational skills in AutoCAD, SketchUp, and Adobe Creative Suite (Photoshop, InDesign) are essential. Demonstrating Core Competencies: A keen visual eye, clear communication, and strong organizational abilities. Possessing a Professional Mindset: A proactive, eager-to-learn attitude and the collaborative spirit needed in a studio environment. Showcasing Your Potential: A portfolio that reflects your design thinking and passion, even if it's academic or personal work. Invest in Your Career Future – What You Will Gain: This internship is an investment in your long-term success. Here’s how it will propel your career forward: Professional Mentorship: Receive direct, ongoing guidance from experienced designers who are invested in your growth. A Robust Professional Portfolio: Contribute to real-world projects, giving you compelling, client-based work to showcase to future employers. Inside Industry Insight: Understand the full professional workflow, from initial briefing and client management to project execution and delivery. Practical Experience: Translate classroom knowledge into applied skills, making you a confident and job-ready candidate. Competitive Monthly Stipend: Your contribution is valued, and you will be supported with a stipend for the duration of your internship. Ready to build your future in design? Submit your portfolio and resume to start the conversation. Key Changes and Benefits: Strong Career-Oriented Framing: The headline and descriptions consistently frame the internship as a strategic career step, not just a temporary role. Focus on Skill Acquisition: Responsibilities are phrased to highlight the transferable professional skills the intern will develop and master . Reframed Requirements: Changed to ""Your Foundational Profile,"" positioning requirements as the starting point for growth rather than just a checklist. Enhanced Value Proposition: The ""What You Will Gain"" section is expanded to clearly articulate the long-term career benefits, including job readiness and industry insight. Professional Tone: Uses more assertive and professional language (""Launch Your Career,"" ""Master Project Coordination,"" ""Invest in Your Career Future"") to attract serious, ambitious candidates. Clear Call to Action: The closing line invites candidates to take a proactive step for their career",0.43782084972867097
BIM Modeller,"Aedas is one of the world’s leading architecture design practices with a core mission to create inspiring designs that enhance the built environment and enrich lives — today and for future generations. Aedas leverages on its global network of expertise and deep understanding of local culture to deliver design solutions tailored to the nuances and needs of the communities we design for. We take a holistic design approach to sustainability with the goal of maximising benefits to the natural environment and communities, thereby building a better environment in which to work, live, play, and learn. Aeda s operates from 3 principal Design Centres in Asia, Europe and the Middle East with a global network of 13 offices and over 1,000 staff spanning 4 continents﻿. With a commitment to design excellence, we offer expertise in Architecture, Interior Design, Master Planning and Urban Design, across a broad range of sectors including Commercial, Residential, Mixed-Use, Education, Hospitality (including Integrated Resorts), Retail, Transportation, Aviation, Civic & Cultural, and Sports & Leisure Job Summary: Supports the Interiors Design team (Hospitality) in preparing drawings and documentation. ﻿Key Responsibilities: • Assist in preparing design and technical documentation under supervision. • Assist in preparing statutory documentation under supervision. • Assist with BIM model updates and design coordination under supervision. • Work with Interior Designers and team members to prepare drawings, specifications and models. • Maintain drawing accuracy and documentation consistency using firm standards. ﻿Key Competencies: • Basic technical drafting and digital modelling skills. • Good attention to detail and well organised. • Ability to review own work and contribute to documentation quality. • Awareness of digital delivery tools and digital collaboration workflows. Apply Here - https://careers.aedas.com/jobs/7127757-bim-modeller?promotion=1810978-trackable-share-link-application-link",0.43246136600407187
Architectural Designer,"We create vibrant, distinctive designs focused on contributing positively to people and cities. We see possibilities. We transform and regenerate spaces to celebrate context, inspire meaningful purpose and create value. SPARK is a global team of designers and thinkers creating architecture, urbanism, interiors, landscapes, research and branding. Using the evocation of the studio’s name “SPARK”; we have built vibrant, distinctive designs by generating ideas, collaboration, communication and an energy borne out of possibilities. We love people, places and all forms of culture, our open source of inspiration to purposefully transform and regenerate environments. We have designed at all scales; from handbags, pavilions, residential towers, mixed-use, waterfront destinations, civic buildings to urban planning. Our award winning projects include Clarke Quay in Singapore, the Shanghai International Cruise Terminal and the Starhill Gallery in Kuala Lumpur. Our Homefarm and BeachHut projects won the Future Experimental Category at the World Architecture Festival in 2015 and 2016. SPARK’s residential towers Arte S and MK won the German Design Council’s Iconic Awards for 2018 and 2021. Architectural Designer Responsibilities: Education: Degree or equivalent majoring in architecture and/or Urban Design 0-2 years of experience Enthusiasm for architecture, commitment, reliability and team spirit Excellent design and drafting skills and proficiency with computer-aided design (Sketch-up, CAD, Adobe CS, InDesign, Illustrator, Photoshop, Enscape, Rhino) Excellent physical model-making skills Organisational, project management and planning skills, including the ability to juggle multiple tasks Good communication skills If you think you fit the role, please send your CV to: admin@sparkarchitects.com Only shortlisted candidates will be contacted. SPARK is an equal opportunity employer.",0.42421785443305843
Senior/ Architect,"Key Responsibilities Take ownership of multiple project responsibilities within a collaborative project team environment. Lead or contribute to large-scale projects in commercial, residential, healthcare, or infrastructure sectors. Ensure coordination across disciplines and compliance with project timelines and design intent. Exhibit strong creative thinking and design detailing skills. Present a design portfolio that showcases a broad range of sustainable architecture and innovative solutions. Proficiency in SketchUp, InDesign, and rendering/graphics software is preferred for conceptual and visual presentation work. Requirements: Demonstrated track record of project involvement and successful delivery. Proficient in BIM/Revit, ArchiCAD, and AutoCAD. If interested, please submit your application to cvs@jdawms.com with your expected salary and resume. We regret that only short-listed candidates will be contacted shortly. By submitting your application or resume, you agree to the collection, use, retention, and sharing of your personal information with potential employers for their assessment. JDA WMS Pte Ltd | EA Personnel: Pham Thi Tuyet Mai EA License No: 23S1595 | EA Registration No: R25127838",0.42327478641110183
"Art, Design, Media & Technology (ADMT) Teacher","Duties and Responsibilities ●      Deliver creative and engaging lessons in Art, Design, Media & Technology. ●      Incorporate design thinking, digital tools, and applied learning approaches into the classroom. ●      Guide students through the creative process, from ideation to prototyping and showcasing their work. ●      Collaborate with colleagues to create interdisciplinary projects that connect with other subject areas. ●      Support co-curricular programmes, projects, and events that foster innovation and creative confidence. Job Requirements ●      A recognised degree in Art, Design, Media, Technology, or related fields. ●      Passion for applied learning, creativity, and interdisciplinary teaching. ●      Proficiency in relevant design and/or multimedia software. ●      Strong communication and collaboration skills, with a student-centred approach. ●      Teaching qualification and experience in a school setting are preferred, but industry professionals with a passion for education are welcome to apply.",0.4195864511991741
Senior Graphic Designer,"Work closely with project team and print production teams to ensure designs are optimized for efficient and high-quality printing. Understand different printing methods, material types, finishes, and techniques to create designs suitable for each project. Provide creative direction and leadership to the design team, guiding designers and ensuring high-quality design output. Manage and coordinate multiple design projects simultaneously, ensuring deadlines and quality standards are met. Approach design challenges with creativity, innovation, and the ability to propose alternative solutions. Fluency in current graphic design practices; such as Adobe Photoshop; Adobe Illustrator and Adobe InDesign.",0.4173352551313482
Senior Interior Designer,"Join Our Creative Team at SOG Design! Are you passionate about interior design and eager to work on diverse projects? SOG Design is a leading architectural and interior design firm dedicated to designing cutting-edge structures that inspire and transform spaces, is looking for a talented Senior Interior Designer to join our dynamic team. About Us: At SOG Design, we pride ourselves on delivering innovative and high-quality design solutions to our clients. Our collaborative environment allows you to work closely with architects and designers from our regional offices, ensuring a holistic approach to every project We are currently looking for a highly motivated Senior Interior Designer to join our team based in Singapore. As a Senior Designer, your main responsibility will be to collaborate closely with the SOG Design lead on design and construction projects across Singapore and the Asia Pacific region, while also contributing to the expansion of our interior design capabilities. You will play a crucial role in producing design work for architectural projects, including the creation of presentations, 3D models, graphics, and visualization documents to effectively communicate design ideas and project concepts to clients. Roles and Responsibilities: • Display exceptional creativity and innovative thinking while delivering high-quality design and technical work, inspiring others. • Execute the complete design process, starting from initial sketches and continuing through to the beginning of production. • Demonstrate a comprehensive understanding of the design process and project objectives, coordinating the preparation of project deliverables and other related activities. • Apply your expertise in all phases of Interior Design project deliverables, from Concept Design to Construction Administration, to ensure the successful realization of design concepts. • Work independently or with minimal supervision on various assignments, including conceptual design, schematic design, design development, space planning, and construction documentation. • Foster a boundlessly creative approach and constantly push the boundaries. • Actively participate in internal and consultant meetings. • Possess excellent time management, communication, collaboration, and multitasking skills, including the ability to manage multiple projects and meet deadlines, while also being capable of working independently. • Exemplify a collaborative work environment that encourages innovation and the sharing of best practices. • Take a leadership role in team efforts, delegating work to team members to enable them to work autonomously. • Cultivate professional relationships across the organization and actively seek leadership opportunities by guiding and supporting junior team members. • Develop effective relationships with clients and consultants. • Assist senior colleagues in client presentations and make valuable contributions during project meetings and client engagements. • Take responsibility for aspects of project budgeting and collaborate with stakeholders to ensure successful project delivery. • Strive to gain a working understanding of cost control, fee management, project finance, and explore methods to maximize project fees without jeopardizing client relationships and potential future work opportunities. Job Requirements: • Possess a Bachelor's or Master's degree in a relevant design field or hold equivalent certification, with professional registration preferred. • Singaporeans and Singapore PRs are preferred for the position • Fluent in both spoken and written English. • Have at least 6 years of experience working on large-scale, mixed-use projects. • Display enthusiasm for architecture and design, along with a commitment to reliability and teamwork. • Proficient in commonly used computer applications within the field, with expertise in Revit being essential. • Showcase exceptional design talent through a portfolio that demonstrates creativity and innovative thinking. • Have a successful track record of delivering large-scale projects through all stages of work, particularly within the APAC regions. • Possess strong organizational and supervisory skills, with a proven ability to manage projects and teams to achieve excellent results. • Demonstrate leadership abilities and a desire to mentor junior staff. • Exhibit excellent time management, communication, organizational, and collaboration skills. • Coordinate and integrate the work of external contractors, suppliers, and professionals.",0.4160652511756555
"Interior Designer (Architectural, minor M&E","Production of scaled site plans and as built drawings (Architectural / minor M&E) Production of detailed, shop and construction drawings Liaison between supporting vendors together with Senior Designer / Creative Director from project commencement to completion Compilation of completed as built drawings Develop and prepare drawings and designs from sketches, specification sheets Ensure timely completion with project team members Attend site meetings /conduct site measurements for drawings production Perform any other duties and responsibilities as may be assigned from time to time Requirements Min of 5 years and proficient in AutoCAD, SketchUp, Revit and other modelling software or programs. Knowledge and experience of UD and BCA requirements advantageous Experienced with interior decoration, finishing materials, furnishing, accessories and artwork. Ergonomics design / drafting standards advantageous Nitec/ITC/Diploma/Degree in related field (Architectural / Engineering / Civil) Exceptional communicator Team player, self motivated, able to work independently Good interpersonal and people management skills Company profile ID.Inc Interiors Pte Ltd Architectural & Design Services11-50 employees ID.inc. is a regional interior design firm specialising in offering intelligent solutions for the corporate sector. Headquartered in Singapore we have regional experience across Asia including Malaysia, Thailand, and Hong Kong- and have undertaken projects up to 50,000 sq ft in size.",0.4155137272408365
